record_id,donor,value_unit,disposition,target_capability,target_nodes,test_node,claim_boundary
PR229-S001,hiddify-app-main,per-app include/exclude intent and app identity,adapted,split-tunnel admission truth,src/apps/daemon/internal/analysis/diagnostics/split_tunnel_plan.go#owner;src/packages/control-ui/src/pages/Rules.tsx#owner,src/apps/daemon/internal/analysis/diagnostics/post_refactor_229_plans_test.go#hiddify-per-app-intent,planning/import must never be presented as enforced routing
PR229-S002,hiddify-app-main,per-app backup/restore manifest semantics,adapted,split-tunnel backup identity,src/apps/daemon/internal/analysis/diagnostics/split_tunnel_plan.go#owner,src/apps/daemon/internal/analysis/diagnostics/post_refactor_229_plans_test.go#hiddify-per-app-backup,restore identity cannot imply kernel enforcement
PR229-S003,hiddify-app-main,profile refresh scheduling and per-profile update intervals,superseded,profile refresh scheduler,src/apps/daemon/internal/integrations/sub/profile_service.go#owner,scripts/checks/check_post_refactor_229_convergence.py#hiddify-profile-refresh-owner,UI timers cannot become refresh authority
PR229-S004,hiddify-app-main,profile parsing/storage/details/sorting UX,inspired-native,profile catalogue UX,src/packages/control-ui/src/pages/Profiles.tsx#owner,scripts/checks/check_post_refactor_229_convergence.py#hiddify-profile-ux,presentation state cannot replace parser/catalogue authority
PR229-S005,hiddify-app-main,route-rule editor and predefined-rule workflow,superseded,routing policy planning,src/apps/daemon/internal/analysis/diagnostics/local_ruleset_plan.go#owner;src/packages/control-ui/src/pages/Rules.tsx#owner,scripts/checks/check_post_refactor_229_convergence.py#hiddify-route-rules,mutable donor rule corpora cannot become policy truth
PR229-S006,hiddify-app-main,explicit connection status/failure state model,adapted,tunnel safety lifecycle,src/apps/daemon/internal/analysis/diagnostics/tunnel_safety_plan.go#owner;src/packages/control-ui/src/pages/Health.tsx#owner,src/apps/daemon/internal/analysis/diagnostics/post_refactor_229_plans_test.go#hiddify-connection-state,a connected-looking UI state cannot assert firewall safety
PR229-S007,hiddify-app-main,reset-tunnel recovery affordance,inspired-native,tunnel recovery planning,src/apps/daemon/internal/analysis/diagnostics/tunnel_safety_plan.go#owner,src/apps/daemon/internal/analysis/diagnostics/post_refactor_229_plans_test.go#hiddify-reset-tunnel,planner cannot mutate routes/firewall or restart tunnels
PR229-S008,hiddify-app-main,proxy/system-proxy/TUN service modes,superseded,host network authority,src/apps/daemon/internal/platform/system/host_network.go#owner,scripts/checks/check_post_refactor_229_convergence.py#hiddify-service-mode-owner,mobile service-mode enums cannot create a parallel mutator
PR229-S009,hiddify-app-main,balancer/domain/IP strategy enums,superseded,routing and endpoint policy,src/apps/daemon/internal/analysis/diagnostics/routing_policy_group_plan.go#owner;src/apps/daemon/internal/analysis/diagnostics/endpoint_pool_plan.go#owner,scripts/checks/check_post_refactor_229_convergence.py#hiddify-routing-enums,donor enum names cannot bypass target evidence requirements
PR229-S010,hiddify-app-main,DNS settings UX and strategy options,superseded,DNS policy,src/apps/daemon/internal/analysis/diagnostics/dns_resolution_policy_plan.go#owner,scripts/checks/check_post_refactor_229_convergence.py#hiddify-dns,UI settings cannot silently downgrade DNS
PR229-S011,hiddify-app-main,TLS trick settings,superseded,evasion planning,src/apps/daemon/internal/analysis/diagnostics/sni_decoy_handshake_plan.go#owner,scripts/checks/check_post_refactor_229_convergence.py#hiddify-tls-tricks,UI trick toggles do not create raw-packet authority
PR229-S012,hiddify-app-main,extra-security/unblocker/profile chaining modes,reference-only,n/a,n/a,n/a,donor packaging does not gain target authority
PR229-S013,hiddify-app-main,connection and transfer statistics UX,reference-only,n/a,n/a,n/a,donor packaging does not gain target authority
PR229-S014,hiddify-app-main,active proxy delay presentation,superseded,endpoint health/scoring,src/apps/daemon/internal/analysis/diagnostics/endpoint_pool_plan.go#owner,scripts/checks/check_post_refactor_229_convergence.py#hiddify-delay,displayed latency cannot silently select endpoints
PR229-S015,hiddify-app-main,GitHub release based application update workflow,guardrail-derived,signed update admission,src/apps/daemon/internal/foundation/updateadmission/updateadmission.go#owner;src/apps/daemon/internal/foundation/store/update_metadata.go#owner,src/apps/daemon/internal/foundation/updateadmission/post_refactor_229_test.go#hiddify-update-negative,remote release metadata alone cannot authorize staging or installation
PR229-S016,hiddify-app-main,battery optimization guidance,reference-only,n/a,n/a,n/a,donor packaging does not gain target authority
PR229-S017,hiddify-app-main,system tray state and actions,reference-only,n/a,n/a,n/a,donor packaging does not gain target authority
PR229-S018,hiddify-app-main,keyboard shortcut wrapper,reference-only,n/a,n/a,n/a,donor packaging does not gain target authority
PR229-S019,hiddify-app-main,deep-link admission workflow,reference-only,n/a,n/a,n/a,donor packaging does not gain target authority
PR229-S020,hiddify-app-main,protobuf management/tunnel service contracts,reference-only,n/a,n/a,n/a,donor packaging does not gain target authority
PR229-S021,ProxyCloud-master,batched auto-selection with cancellation/progress,guardrail-derived,endpoint selection,src/apps/daemon/internal/analysis/diagnostics/endpoint_pool_plan.go#owner,scripts/checks/check_post_refactor_229_convergence.py#proxycloud-auto-select,batch orchestration cannot invent health or bypass scoring
PR229-S022,ProxyCloud-master,early-exit latency thresholds,guardrail-derived,endpoint selection,src/apps/daemon/internal/analysis/diagnostics/endpoint_pool_plan.go#owner,scripts/checks/check_post_refactor_229_convergence.py#proxycloud-early-exit-rejected,arbitrary threshold/order cannot become hidden ranking authority
PR229-S023,ProxyCloud-master,blocked-app/per-app tunnel product workflow,adapted,split-tunnel admission truth,src/apps/daemon/internal/analysis/diagnostics/split_tunnel_plan.go#owner;src/packages/control-ui/src/pages/Rules.tsx#owner,src/apps/daemon/internal/analysis/diagnostics/post_refactor_229_plans_test.go#proxycloud-per-app,UI cannot claim installed enforcement
PR229-S024,ProxyCloud-master,configuration backup/restore workflow,reference-only,n/a,n/a,n/a,donor packaging does not gain target authority
PR229-S025,ProxyCloud-master,host checker tool,reference-only,n/a,n/a,n/a,donor packaging does not gain target authority
PR229-S026,ProxyCloud-master,IP information tool,reference-only,n/a,n/a,n/a,donor packaging does not gain target authority
PR229-S027,ProxyCloud-master,speed test workflow,reference-only,n/a,n/a,n/a,donor packaging does not gain target authority
PR229-S028,ProxyCloud-master,subscription management workflow,superseded,subscription/profile lifecycle,src/apps/daemon/internal/integrations/sub/profile_service.go#owner,scripts/checks/check_post_refactor_229_convergence.py#proxycloud-subscription,UI screen state cannot schedule background refresh authority
PR229-S029,ProxyCloud-master,network update-service pattern,guardrail-derived,signed update admission,src/apps/daemon/internal/foundation/updateadmission/updateadmission.go#owner;src/apps/daemon/internal/foundation/store/update_metadata.go#owner,src/apps/daemon/internal/foundation/updateadmission/post_refactor_229_test.go#proxycloud-update-negative,remote version JSON cannot authorize staging
PR229-S030,ProxyCloud-master,Telegram proxy feed,rejected-with-reason,remote preset provenance,scripts/checks/check_post_refactor_229_convergence.py#owner,scripts/checks/check_post_refactor_229_convergence.py#proxycloud-telegram-feed,feed popularity/freshness cannot grant target authority
PR229-S031,ProxyCloud-master,battery settings workflow,reference-only,n/a,n/a,n/a,donor packaging does not gain target authority
PR229-S032,ProxyCloud-master,V2Ray service wrapper,superseded,proxy core lifecycle,src/apps/daemon/internal/runtime/proxy/core_manager.go#owner,scripts/checks/check_post_refactor_229_convergence.py#proxycloud-v2ray-owner,donor wrapper cannot bypass target core compatibility
PR229-S033,ProxyCloud-master,bundled Android V2Ray AAR,rejected-with-reason,proxy runtime supply chain,src/apps/daemon/internal/runtime/proxy/core_manager.go#owner,scripts/checks/check_post_refactor_229_convergence.py#proxycloud-aar,binary presence is not semantic or security proof
PR229-S034,ProxyCloud-master,native installed-app enumeration bridge,reference-only,n/a,n/a,n/a,donor packaging does not gain target authority
PR229-S035,ProxyCloud-master,server list and selector UX,superseded,endpoint selection,src/apps/daemon/internal/analysis/diagnostics/endpoint_pool_plan.go#owner;src/packages/control-ui/src/pages/Profiles.tsx#owner,scripts/checks/check_post_refactor_229_convergence.py#proxycloud-server-selector,list order/UI state cannot become authority
PR229-S036,mullvadvpn-app-main,daemon as sole security/network authority with client management interface,guardrail-derived,network/security authority,src/apps/daemon/internal/platform/system/host_network.go#owner;src/apps/daemon/internal/adapters/api/routes_system.go#owner,scripts/checks/check_post_refactor_229_convergence.py#mullvad-daemon-authority,client/UI state cannot directly alter firewall/routes/DNS
PR229-S037,mullvadvpn-app-main,persisted target state corrupt -> secured fail-closed,adapted,tunnel safety lifecycle,src/apps/daemon/internal/analysis/diagnostics/tunnel_safety_plan.go#owner,src/apps/daemon/internal/analysis/diagnostics/post_refactor_229_plans_test.go#mullvad-corrupt-target-state,corruption cannot silently choose unsecured
PR229-S038,mullvadvpn-app-main,desired target state separate from observed tunnel state,adapted,tunnel safety lifecycle,src/apps/daemon/internal/analysis/diagnostics/tunnel_safety_plan.go#owner;src/packages/control-ui/src/pages/Health.tsx#owner,src/apps/daemon/internal/analysis/diagnostics/post_refactor_229_plans_test.go#mullvad-desired-observed,connected transport alone cannot assert secure posture
PR229-S039,mullvadvpn-app-main,error state with firewall block failure is unsafe,adapted,tunnel safety lifecycle,src/apps/daemon/internal/analysis/diagnostics/tunnel_safety_plan.go#owner,src/apps/daemon/internal/analysis/diagnostics/post_refactor_229_plans_test.go#mullvad-block-failure,error state cannot be labeled secure after firewall failure
PR229-S040,mullvadvpn-app-main,post-disconnect actions nothing/block/reconnect,adapted,tunnel recovery planning,src/apps/daemon/internal/analysis/diagnostics/tunnel_safety_plan.go#owner,src/apps/daemon/internal/analysis/diagnostics/post_refactor_229_plans_test.go#mullvad-after-disconnect,planner cannot perform reconnect/firewall mutation
PR229-S041,mullvadvpn-app-main,multi-platform firewall enforcement plane,superseded,host network authority,src/apps/daemon/internal/platform/system/host_network.go#owner;src/apps/daemon/internal/analysis/diagnostics/tunnel_safety_plan.go#owner,scripts/checks/check_post_refactor_229_convergence.py#mullvad-firewall-owner,planner or donor firewall cannot attach independently
PR229-S042,mullvadvpn-app-main,LAN exception semantics,adapted,tunnel safety lifecycle,src/apps/daemon/internal/analysis/diagnostics/tunnel_safety_plan.go#owner,src/apps/daemon/internal/analysis/diagnostics/post_refactor_229_plans_test.go#mullvad-allow-lan,LAN exception cannot imply firewall enforcement
PR229-S043,mullvadvpn-app-main,cross-platform split-tunnel responsibility plane,adapted,split-tunnel admission truth,src/apps/daemon/internal/analysis/diagnostics/split_tunnel_plan.go#owner,src/apps/daemon/internal/analysis/diagnostics/post_refactor_229_plans_test.go#mullvad-split-root,planning state cannot masquerade as installed split routing
PR229-S044,mullvadvpn-app-main,Windows driver/path/volume enforcement,reference-only,n/a,n/a,n/a,donor packaging does not gain target authority
PR229-S045,mullvadvpn-app-main,macOS BPF/process enforcement,reference-only,n/a,n/a,n/a,donor packaging does not gain target authority
PR229-S046,mullvadvpn-app-main,Linux split-tunnel enforcement,reference-only,n/a,n/a,n/a,donor packaging does not gain target authority
PR229-S047,mullvadvpn-app-main,Android per-app enforcement,reference-only,n/a,n/a,n/a,donor packaging does not gain target authority
PR229-S048,mullvadvpn-app-main,multi-platform DNS mutation backends,superseded,DNS policy/host mutation,src/apps/daemon/internal/analysis/diagnostics/dns_resolution_policy_plan.go#owner;src/apps/daemon/internal/platform/system/host_network.go#owner,scripts/checks/check_post_refactor_229_convergence.py#mullvad-dns-owner,donor DNS backend cannot silently alter host resolver
PR229-S049,mullvadvpn-app-main,location/provider/ownership/activity relay constraints,adapted,relay eligibility,src/apps/daemon/internal/analysis/diagnostics/relay_constraint_plan.go#owner;src/packages/control-ui/src/pages/Profiles.tsx#owner,src/apps/daemon/internal/analysis/diagnostics/post_refactor_229_plans_test.go#mullvad-relay-query,constraint planner cannot perform probes or quality ranking
PR229-S050,mullvadvpn-app-main,active-relay and endpoint capability filtering,adapted,relay eligibility,src/apps/daemon/internal/analysis/diagnostics/relay_constraint_plan.go#owner,src/apps/daemon/internal/analysis/diagnostics/post_refactor_229_plans_test.go#mullvad-relay-filter,scoring cannot resurrect ineligible candidates
PR229-S051,mullvadvpn-app-main,entry and exit identities must differ,adapted,relay multihop eligibility,src/apps/daemon/internal/analysis/diagnostics/relay_constraint_plan.go#owner,src/apps/daemon/internal/analysis/diagnostics/post_refactor_229_plans_test.go#mullvad-entry-exit,a single relay cannot satisfy both multihop roles
PR229-S052,mullvadvpn-app-main,prefer viable single-hop then bounded multihop fallback,adapted,relay eligibility,src/apps/daemon/internal/analysis/diagnostics/relay_constraint_plan.go#owner,src/apps/daemon/internal/analysis/diagnostics/post_refactor_229_plans_test.go#mullvad-autohop,autohop cannot bypass entry/exit constraints
PR229-S053,mullvadvpn-app-main,udp2tcp relay capability constraint,adapted,relay eligibility,src/apps/daemon/internal/analysis/diagnostics/relay_constraint_plan.go#owner,src/apps/daemon/internal/analysis/diagnostics/post_refactor_229_plans_test.go#obfuscation-udp2tcp,planner cannot launch obfuscation transport
PR229-S054,mullvadvpn-app-main,shadowsocks relay capability constraint,adapted,relay eligibility,src/apps/daemon/internal/analysis/diagnostics/relay_constraint_plan.go#owner,src/apps/daemon/internal/analysis/diagnostics/post_refactor_229_plans_test.go#obfuscation-shadowsocks,planner cannot launch obfuscation transport
PR229-S055,mullvadvpn-app-main,quic relay capability constraint,adapted,relay eligibility,src/apps/daemon/internal/analysis/diagnostics/relay_constraint_plan.go#owner,src/apps/daemon/internal/analysis/diagnostics/post_refactor_229_plans_test.go#obfuscation-quic,planner cannot launch obfuscation transport
PR229-S056,mullvadvpn-app-main,lwo relay capability constraint,adapted,relay eligibility,src/apps/daemon/internal/analysis/diagnostics/relay_constraint_plan.go#owner,src/apps/daemon/internal/analysis/diagnostics/post_refactor_229_plans_test.go#obfuscation-lwo,planner cannot launch obfuscation transport
PR229-S057,mullvadvpn-app-main,ephemeral peer exchange exponential timeout schedule,adapted,WireGuard device policy,src/apps/daemon/internal/analysis/diagnostics/wireguard_device_policy_plan.go#owner,src/apps/daemon/internal/analysis/diagnostics/post_refactor_229_plans_test.go#mullvad-wg-ephemeral-timeout,timeout cap cannot create unbounded retries
PR229-S058,mullvadvpn-app-main,temporary MTU change and restore during peer exchange,reference-only,n/a,n/a,n/a,donor packaging does not gain target authority
PR229-S059,mullvadvpn-app-main,ephemeral PSK exchange for multihop,reference-only,n/a,n/a,n/a,donor packaging does not gain target authority
PR229-S060,mullvadvpn-app-main,WireGuard/tunnel connectivity monitoring,reference-only,n/a,n/a,n/a,donor packaging does not gain target authority
PR229-S061,mullvadvpn-app-main,settings patch/migration ownership,superseded,configuration mutation authority,src/apps/daemon/internal/foundation/config/config.go#owner,scripts/checks/check_mutation_retry_authority.py#229-mullvad-settings,settings migration cannot bypass CAS/retry authority
PR229-S062,mullvadvpn-app-main,signed metadata monotonic-counter threat model,hardened,signed update replay protection,src/apps/daemon/internal/foundation/updateadmission/updateadmission.go#owner;src/apps/daemon/internal/foundation/store/update_metadata.go#owner;src/apps/daemon/internal/adapters/api/update_metadata_admission.go#owner,src/apps/daemon/internal/foundation/updateadmission/post_refactor_229_test.go#mullvad-update-replay,valid signature alone cannot authorize stale metadata
PR229-S063,mullvadvpn-app-main,deterministic staged rollout cohort,adapted,update rollout planning,src/apps/daemon/internal/analysis/diagnostics/update_rollout_plan.go#owner;src/packages/control-ui/src/pages/Settings.tsx#owner,src/apps/daemon/internal/analysis/diagnostics/post_refactor_229_plans_test.go#mullvad-rollout,planner cannot download/install or persist replay state
PR229-S064,mullvadvpn-app-main,signed metadata verification,hardened,signed update admission,src/apps/daemon/internal/foundation/updateadmission/updateadmission.go#owner,src/apps/daemon/internal/foundation/updateadmission/post_refactor_229_test.go#mullvad-update-verify,download success cannot substitute for signed intent
PR229-S065,mullvadvpn-app-main,installer download/cache/staging recovery,superseded,update staging,src/apps/daemon/internal/foundation/updateadmission/stage.go#owner,scripts/checks/check_post_refactor_229_convergence.py#mullvad-installer-staging,staging cannot execute/promote artifact
PR229-S066,mullvadvpn-app-main,trusted signing key set,reference-only,n/a,n/a,n/a,donor packaging does not gain target authority
PR229-S067,mullvadvpn-app-main,typed daemon/client management interface,reference-only,n/a,n/a,n/a,donor packaging does not gain target authority
PR229-S068,mullvadvpn-app-main,tunnel state conversion to client DTOs,inspired-native,tunnel safety product state,src/apps/daemon/internal/analysis/diagnostics/tunnel_safety_plan.go#owner;src/packages/control-ui/src/pages/Health.tsx#owner,scripts/checks/check_post_refactor_229_convergence.py#mullvad-state-dto,UI cannot write authoritative tunnel safety
PR229-S069,mullvadvpn-app-main,API access modes/domain-fronting/address cache,reference-only,n/a,n/a,n/a,donor packaging does not gain target authority
PR229-S070,mullvadvpn-app-main,device lifecycle and revocation,reference-only,n/a,n/a,n/a,donor packaging does not gain target authority
PR229-S071,mullvadvpn-app-main,problem-report collection/metadata,reference-only,n/a,n/a,n/a,donor packaging does not gain target authority
PR229-S072,mullvadvpn-app-main,security audits corpus,reference-only,n/a,n/a,n/a,donor packaging does not gain target authority
PR229-S073,mullvadvpn-app-main,desktop tray/autostart/notification state,reference-only,n/a,n/a,n/a,donor packaging does not gain target authority
PR229-S074,mullvadvpn-app-main,Android DNS and anti-censorship settings state,reference-only,n/a,n/a,n/a,donor packaging does not gain target authority
PR229-S075,mullvadvpn-app-main,build/packaging/release workflows,reference-only,n/a,n/a,n/a,donor packaging does not gain target authority
PR229-S076,mullvadvpn-app-main,platform leak/known-issue documentation,reference-only,n/a,n/a,n/a,donor packaging does not gain target authority
