donor,path,symbol,line,snippet,sha256,semantic_record_ids
whiteaesther_mobile,app/src/androidTest/java/com/whitedns/whiteaesther/ui/WhiteAestherAppTest.kt,WhiteAestherAppTest,25,class WhiteAestherAppTest {,d89ce4617bd3c530e1951aea54ea8aeb51228c365d2f4d890a09057cdc7ba1ab,PR223-R01
whiteaesther_mobile,app/src/androidTest/java/com/whitedns/whiteaesther/ui/WhiteAestherAppTest.kt,setApp,29,private fun setApp(,d89ce4617bd3c530e1951aea54ea8aeb51228c365d2f4d890a09057cdc7ba1ab,PR223-R01
whiteaesther_mobile,app/src/androidTest/java/com/whitedns/whiteaesther/ui/WhiteAestherAppTest.kt,homeShowsStatusAndNoSettingsControls,55,fun homeShowsStatusAndNoSettingsControls() {,d89ce4617bd3c530e1951aea54ea8aeb51228c365d2f4d890a09057cdc7ba1ab,PR223-R01
whiteaesther_mobile,app/src/androidTest/java/com/whitedns/whiteaesther/ui/WhiteAestherAppTest.kt,endpointLivesUnderRoutesAndAcceptsAnAddress,66,fun endpointLivesUnderRoutesAndAcceptsAnAddress() {,d89ce4617bd3c530e1951aea54ea8aeb51228c365d2f4d890a09057cdc7ba1ab,PR223-R01
whiteaesther_mobile,app/src/androidTest/java/com/whitedns/whiteaesther/ui/WhiteAestherAppTest.kt,endpointScanCanBeStarted,78,fun endpointScanCanBeStarted() {,d89ce4617bd3c530e1951aea54ea8aeb51228c365d2f4d890a09057cdc7ba1ab,PR223-R01
whiteaesther_mobile,app/src/androidTest/java/com/whitedns/whiteaesther/ui/WhiteAestherAppTest.kt,scanRequested,79,var scanRequested = false,d89ce4617bd3c530e1951aea54ea8aeb51228c365d2f4d890a09057cdc7ba1ab,PR223-R01
whiteaesther_mobile,app/src/androidTest/java/com/whitedns/whiteaesther/ui/WhiteAestherAppTest.kt,advancedTrafficControlsAreBehindTheDisclosure,89,fun advancedTrafficControlsAreBehindTheDisclosure() {,d89ce4617bd3c530e1951aea54ea8aeb51228c365d2f4d890a09057cdc7ba1ab,PR223-R01
whiteaesther_mobile,app/src/androidTest/java/com/whitedns/whiteaesther/ui/WhiteAestherAppTest.kt,profileSelectionWritesRealEngineSettings,100,fun profileSelectionWritesRealEngineSettings() {,d89ce4617bd3c530e1951aea54ea8aeb51228c365d2f4d890a09057cdc7ba1ab,PR223-R01
whiteaesther_mobile,app/src/main/java/com/whitedns/whiteaesther/MainActivity.kt,MainActivity,35,class MainActivity : ComponentActivity() {,a8276e864d35fefd4e2dcc2535a3200b5cb62c18ca4e8287a40ece62a3b4f156,PR223-R01;PR223-S014
whiteaesther_mobile,app/src/main/java/com/whitedns/whiteaesther/MainActivity.kt,isIgnoringBatteryOptimizations,65,private fun isIgnoringBatteryOptimizations(): Boolean =,a8276e864d35fefd4e2dcc2535a3200b5cb62c18ca4e8287a40ece62a3b4f156,PR223-R01;PR223-S014
whiteaesther_mobile,app/src/main/java/com/whitedns/whiteaesther/MainActivity.kt,requestBatteryExemption,73,private fun requestBatteryExemption() {,a8276e864d35fefd4e2dcc2535a3200b5cb62c18ca4e8287a40ece62a3b4f156,PR223-R01;PR223-S014
whiteaesther_mobile,app/src/main/java/com/whitedns/whiteaesther/MainActivity.kt,requestConnection,110,private fun requestConnection(settings: AppSettings) {,a8276e864d35fefd4e2dcc2535a3200b5cb62c18ca4e8287a40ece62a3b4f156,PR223-R01;PR223-S014
whiteaesther_mobile,app/src/main/java/com/whitedns/whiteaesther/MainActivity.kt,continueConnectionRequest,139,private fun continueConnectionRequest() {,a8276e864d35fefd4e2dcc2535a3200b5cb62c18ca4e8287a40ece62a3b4f156,PR223-R01;PR223-S014
