donor,archive,archive_sha256,member_count,file_surfaces,directories,symbols,license,archive_issues,semantic_record_ids,disposition_summary
SenPaiScanner-main,SenPaiScanner-main.zip,03cbb57f6744d6a9094f4fe8f9c05befe3a1afad6f50916543add567274b39d4,188,122,65,1092,MIT; target uses independent target-native semantics,none,S7-042;S7-043;S7-044;S7-045;S7-046,fully-accounted seventh-order evidence graph
VpnHood-develop,VpnHood-develop.zip,6a5be6ab477c9f5fb6fdc61d8398f997259981944d5b6bd684a126bd19900218,1820,1511,308,3646,"LGPL-2.1; target uses independently implemented semantics, no donor source copied",none,S7-021;S7-022;S7-023;S7-024;S7-025;S7-026;S7-027;S7-028;S7-029,fully-accounted seventh-order evidence graph
nthlink-outline-main,nthlink-outline-main.zip,c6284e89a3c691bec11185f5949d8f12028701e01087cee48b952e634e0da036,13,9,3,16,no license file found in supplied archive; treated as evidence only,none,S7-047;S7-048;S7-049,fully-accounted seventh-order evidence graph
MasterDnsVPN-main,MasterDnsVPN-main.zip,d55d1bd50a14a41501de2587c12cd926d2ddee4e6404762f7a22f02687b413fb,192,159,32,2021,MIT; target uses independently implemented planning semantics,none,S7-030;S7-031;S7-032;S7-033;S7-034;S7-035,fully-accounted seventh-order evidence graph
EasyTier-main,EasyTier-main.zip,095369ee7dc8f2283bde7b850e45790b563b6f50d4ed4ced793b865a03937127,1234,964,269,12981,"LGPL-3.0; target uses independently implemented semantics, no donor source copied",none,S7-013;S7-014;S7-015;S7-016;S7-017;S7-018;S7-019;S7-020,fully-accounted seventh-order evidence graph
purwin-main,purwin-main.zip,c4dfc4570735453e131661d9eee58904556a11c3306ab4c190e8784bfa88d320,29,28,0,7,no license file found in supplied archive; reference/inspiration only,none,S7-054;S7-055,fully-accounted seventh-order evidence graph
strongswan-master,strongswan-master.zip,f28d194fb86385054409e2a18adabc1a9293a6f9f7a6a7af429e606cd3a285b8,13117,8388,4728,9525,GPL-2.0-or-later overall with component-specific notices; target invokes external charon-cmd and does not copy source,none,S7-001;S7-002;S7-003;S7-004;S7-005;S7-006;S7-007;S7-008;S7-009;S7-010;S7-011;S7-012,fully-accounted seventh-order evidence graph
nthlink-os-android-main,nthlink-os-android-main.zip,d77bdce34ba8aed38b79a55eac42920924508c16c1c764e6bf513d975035a981,302,179,122,327,BSD-3-Clause; UX evidence only,none,S7-050;S7-051,fully-accounted seventh-order evidence graph
nthlink-os-windows-main,nthlink-os-windows-main.zip,3c7554f35125753b2a92be3d29de4e1a094f3381956176dfdab731cb3e01ac44,213,184,28,94,BSD-3-Clause; UX evidence only,none,S7-052;S7-053,fully-accounted seventh-order evidence graph
MasterHttpRelayVPN-RUST-main,MasterHttpRelayVPN-RUST-main.zip,5d3f2ec9f8a5e4b9d788abd379aa1aa613289f0a45dcde36c10971a826709bac,292,241,50,1555,MIT; target uses independently implemented planning semantics,none,S7-036;S7-037;S7-038;S7-039;S7-040;S7-041,fully-accounted seventh-order evidence graph
