record_id,parent_record_id,composition_group_id,donor,domain,value_unit,source_granularity,value_form,separability,donor_path,donor_sha256,donor_symbol,transformation,mapping_topology,disposition,decision_rationale,target_capability,target_nodes,invariant,negative_invariant,test_node,operator_surface,migration_impact,license_note,risk_tier,dependency_record_ids,evidence_confidence,validation_status
TW-SEM001,n/a,n/a,PattNG,proxy-grammar,modern Xray TLS share fields cs/ech/vcn/pcs,semantic-mechanism,executable-or-decision-primitive,independently-decidable,V2rayNG/app/src/main/java/com/v2ray/ang/fmt/FmtBase.kt,1725f65231734864801c3801f68e4043465d3afb52cc336fd1998eab70578833,getItemFormQuery,clean-room adaptation,one-to-many,adapted,PattNG preserves modern Xray TLS fields that LumiNet previously dropped. Fields are rederived into the canonical target model.,proxy grammar,src/apps/daemon/internal/networking/proxyconfig/types.go#ProxyConfig;src/apps/daemon/internal/networking/proxyconfig/parser_vless.go#parseVLESS,modern TLS share fields survive parsing and serialization,unsafe TLS intent is never silently converted to an insecure Xray setting,src/apps/daemon/internal/networking/proxyconfig/third_wave_contract_test.go#TestThirdWaveVLESSRoundTripPreservesModernXrayTLSAndFinalMask,proxy import/export,additive fields,"GPL-3.0 donor; semantic clean-room reimplementation, no donor source copied",high,n/a,high,verified
TW-SEM002,n/a,n/a,PattNG-Config-Processor,proxy-grammar,HTML-escaped query normalization lesson,semantic-mechanism,executable-or-decision-primitive,independently-decidable,index.html,3599ce47300469ad0850118869c32cf0bd6f89c9cc4b50750c0335c86bc740b9,processor,target-native hardening,negative-to-guardrail,inspired-native,"The unlicensed processor demonstrates real-world share-link normalization pressure. LumiNet adopts only the compatibility outcome, not source or hosted proxy behavior.",proxy grammar,src/apps/daemon/internal/networking/proxyconfig/types.go#ParseProxyURI,share parsing tolerates canonical URL decoding without donor service dependency,do not copy or call the donor CORS proxy,src/apps/daemon/internal/networking/proxyconfig/third_wave_contract_test.go#TestThirdWaveVLESSRoundTripPreservesModernXrayTLSAndFinalMask,proxy import,none,"unlicensed donor; concept only, no source copied",medium,n/a,high,verified
TW-SEM003,n/a,n/a,PattNG,transport,FinalMask share field and JSON validation,semantic-mechanism,executable-or-decision-primitive,independently-decidable,V2rayNG/app/src/main/java/com/v2ray/ang/fmt/FmtBase.kt,1725f65231734864801c3801f68e4043465d3afb52cc336fd1998eab70578833,finalMask,clean-room hardening,one-to-one,hardened,FinalMask is useful but raw share-controlled JSON requires a strict object and size boundary.,Xray FinalMask,src/apps/daemon/internal/networking/proxyconfig/finalmask.go#DecodeFinalMask,FinalMask JSON is object-only and <=16KiB,oversized or non-object JSON never reaches core configuration,src/apps/daemon/internal/networking/proxyconfig/third_wave_contract_test.go#TestThirdWaveFinalMaskValidationIsBoundedAndObjectOnly,proxy import/core,additive,GPL-3.0 donor; clean-room semantic reimplementation,high,TW-SEM001,high,verified
TW-SEM004,n/a,n/a,PattNG,transport,XHTTP host/path/mode/extra share grammar,semantic-mechanism,executable-or-decision-primitive,independently-decidable,V2rayNG/app/src/main/java/com/v2ray/ang/fmt/FmtBase.kt,1725f65231734864801c3801f68e4043465d3afb52cc336fd1998eab70578833,xhttpMode,clean-room adaptation,one-to-one,adapted,PattNG exposes XHTTP link metadata. LumiNet preserves only bounded current XHTTP fields.,XHTTP share grammar,src/apps/daemon/internal/networking/proxyconfig/xhttp.go#CanonicalXHTTPTransport,xhttp and splithttp canonicalize to one transport contract,unknown modes or unbounded extra JSON fail closed,src/apps/daemon/internal/networking/proxyconfig/third_wave_contract_test.go#TestThirdWaveXHTTPShareRoundTripPreservesModeAndExtra,proxy import/export,additive,GPL-3.0 donor; clean-room semantic reimplementation,high,n/a,high,verified
TW-SEM005,n/a,n/a,PattNG,transport,XHTTP runtime settings,semantic-mechanism,executable-or-decision-primitive,independently-decidable,V2rayNG/app/src/main/java/com/v2ray/ang/core/CoreOutboundBuilder.kt,63f0a2b4b3cd0e3218cde089ea04c46e59b0a698f10ec867e6b31182e9dee4eb,updateStreamSettings,target-native adaptation,many-to-one,adapted,The target core owner now emits the canonical XHTTP subset rather than merely retaining metadata.,Xray XHTTP runtime,src/apps/daemon/internal/runtime/proxy/core_manager.go#buildXrayOutbound;src/apps/daemon/internal/networking/proxyconfig/xhttp.go#BuildXrayXHTTPSettings,XHTTP metadata reaches the Xray owner,non-Xray cores reject XHTTP rather than silently dropping it,src/apps/daemon/internal/networking/proxyconfig/third_wave_contract_test.go#TestThirdWaveBuildXrayXHTTPSettings,runtime core,additive,GPL-3.0 donor; clean-room semantic reimplementation,high,TW-SEM004,high,statically-validated
TW-SEM006,n/a,n/a,PattNG,reality,Reality spiderX preservation,semantic-mechanism,executable-or-decision-primitive,independently-decidable,V2rayNG/app/src/main/java/com/v2ray/ang/fmt/FmtBase.kt,1725f65231734864801c3801f68e4043465d3afb52cc336fd1998eab70578833,spiderX,clean-room adaptation,one-to-one,adapted,Reality spiderX is independently useful and fits the existing Reality owner.,Reality configuration,src/apps/daemon/internal/runtime/proxy/core_manager.go#buildXrayOutbound,spiderX survives share parse and reaches Reality settings,sing-box never silently drops Xray-specific spiderX,src/apps/daemon/internal/networking/proxyconfig/third_wave_contract_test.go#TestThirdWaveRealitySpiderXRoundTrip,proxy import/core,additive,GPL-3.0 donor; clean-room semantic reimplementation,medium,n/a,high,statically-validated
TW-SEM007,n/a,n/a,PattNG,wireguard,WireGuard pre-shared key preservation and core emission,semantic-mechanism,executable-or-decision-primitive,independently-decidable,V2rayNG/app/src/main/java/com/v2ray/ang/core/CoreOutboundBuilder.kt,63f0a2b4b3cd0e3218cde089ea04c46e59b0a698f10ec867e6b31182e9dee4eb,wireguard,clean-room adaptation,one-to-many,adapted,PSK is standard WireGuard state and was already modeled but not fully preserved/emitted.,WireGuard peer security,src/apps/daemon/internal/runtime/proxy/core_manager.go#buildSingBoxOutbound;src/apps/daemon/internal/runtime/proxy/core_manager.go#buildXrayOutbound,PSK survives import/export and reaches both compatible core owners,PSK is never silently discarded,src/apps/daemon/internal/networking/proxyconfig/third_wave_contract_test.go#TestThirdWaveWireGuardPSKRoundTrip,proxy import/core,additive,GPL-3.0 donor; clean-room semantic reimplementation,high,n/a,high,statically-validated
TW-SEM008,n/a,n/a,purvpn,wireguard,purguard scheme collapses to WireGuard owner,semantic-mechanism,executable-or-decision-primitive,independently-decidable,links/purguard.txt,0d9c2362fe8fb1d9476fefc51e39632ed3154ea85a08926d5fb136f873c8f5b0,purguard://,grammar-derived native alias,many-to-one,inspired-native,The corpus contains a purguard alias with WireGuard semantics. LumiNet maps the scheme into its existing WireGuard parser instead of introducing a new protocol authority.,WireGuard share grammar,src/apps/daemon/internal/networking/proxyconfig/parser_wg.go#parseWireGuard,purguard aliases canonicalize to WireGuard and retain PSK,do not create a separate purguard runtime protocol,src/apps/daemon/internal/networking/proxyconfig/third_wave_contract_test.go#TestThirdWavePurguardIsWireGuardAliasAndPreservesPSK,proxy import,none,"unlicensed corpus; syntax rederived, no donor data copied",medium,n/a,high,verified
TW-SEM009,n/a,hysteria2,PattNG,hysteria2,Hysteria2 obfs/ALPN/bandwidth/finalmask grammar,semantic-mechanism,executable-or-decision-primitive,independently-decidable,V2rayNG/app/src/main/java/com/v2ray/ang/fmt/FmtBase.kt,1725f65231734864801c3801f68e4043465d3afb52cc336fd1998eab70578833,getItemFormQuery,clean-room adaptation,many-to-one,adapted,PattNG plus the corpus expose fields the target parser previously dropped.,Hysteria2 grammar,src/apps/daemon/internal/networking/proxyconfig/parser_hy2.go#parseHysteria2,observed Hysteria2 fields round-trip canonically,core-specific fields are not reinterpreted across cores,src/apps/daemon/internal/networking/proxyconfig/third_wave_contract_test.go#TestThirdWaveHysteria2RoundTripPreservesObservedCorpusFields,proxy import/export,additive,GPL-3.0 donor plus unlicensed corpus used only for grammar evidence,high,n/a,high,verified
TW-SEM010,n/a,hysteria2,PattNG,hysteria2,bounded mport port-hopping grammar,semantic-mechanism,executable-or-decision-primitive,independently-decidable,V2rayNG/app/src/main/java/com/v2ray/ang/core/CoreOutboundBuilder.kt,63f0a2b4b3cd0e3218cde089ea04c46e59b0a698f10ec867e6b31182e9dee4eb,udpHop,clean-room adaptation,one-to-many,adapted,Port hopping is valuable where the selected core has a native server_ports contract; Xray mapping requires explicit FinalMask policy.,Hysteria2 port hopping,src/apps/daemon/internal/networking/proxyconfig/hysteria2_fields.go#ParseHysteria2PortHopping,at most 32 valid ports/ranges are accepted,mport is never expanded into an unbounded port set or guessed into Xray policy,src/apps/daemon/internal/networking/proxyconfig/third_wave_contract_test.go#TestThirdWaveHysteria2PortHoppingValidation,proxy core,additive,GPL-3.0 donor; clean-room semantic reimplementation,high,TW-SEM009,high,verified
