record_id,parent_record_id,composition_group_id,donor,domain,value_unit,source_granularity,value_form,separability,donor_path,donor_sha256,donor_symbol,transformation,mapping_topology,disposition,decision_rationale,target_capability,target_nodes,invariant,negative_invariant,test_node,operator_surface,migration_impact,license_note,risk_tier,dependency_record_ids,evidence_confidence,validation_status
PR228-R001,n/a,CG228-all-donors,target-requirement,second-order-accountability,all 15 raw donor archives re-audited at archive/file/directory/definition/semantic levels,repository,evidence corpus,context-dependent,n/a,n/a,n/a,exhaustive successor audit,many-to-many,recomposed,The second-order pass rechecks the exact 949 predecessor decisions against unchanged donor bytes and separately records refined value units instead of inflating donor counts.,second-order convergence evidence,governance/convergence/post-refactor-228-second-order-review.csv,"all 1,349 donor files and 16,310 definitions remain attributable while every predecessor semantic row receives an explicit 228 review status",large row counts alone cannot substitute for semantic review,scripts/checks/check_post_refactor_228_convergence.py#complete-re-review,governance/convergence,none,n/a,low,n/a,high,verified
PR228-S001,PR228-R001,CG228-ssh-auth,ssh,ssh-auth,encrypted private-key passphrase admission,function + tests,authentication primitive,independently adoptable,keys.go,d59cf44bfcbcb63ad1a87d68cbf0b71ae8ffca0d5b034e93c37fd883ff4d6ac6,ParsePrivateKeyWithPassphrase,dependency-oracle extraction + target hardening,one-to-one,hardened,The donor dependency exposes passphrase-aware parsing; LumiNet now admits encrypted private keys without weakening its existing pinned host-key model.,SSH tunnel authentication admission,src/apps/daemon/internal/runtime/proxy/ssh_tunnel.go#buildAuthMethods,passphrase is accepted only with a private key and at least one valid auth method must exist before network I/O,orphan passphrases and invalid private-key-only auth cannot reach the network,src/apps/daemon/internal/runtime/proxy/ssh_tunnel_test.go#TestSSHTunnelEncryptedPrivateKeyPassphraseAdmission,Connections,additive optional credential field; password fallback preserved,predecessor provenance retained,high,PR228-R001,high,verified
PR228-S002,PR228-S001,CG228-ssh-auth,ssh,ssh-secret-boundary,SSH key-passphrase secret redaction across evasion contract,cross-file contract,secret-handling invariant,independently adoptable,keys_test.go,1c09031aca966802d3a3bdd3a9416442c9dcd97f5a016892edf2f1a560d57329,PassphraseMissingError,target hardening,one-to-many,hardened,The new passphrase remains secret-bearing runtime state and is redacted/restored through the existing evasion contract sentinel rather than exposed as ordinary configuration.,evasion tunnel secret boundary,src/apps/daemon/internal/runtime/proxy/evasion_contract.go;src/apps/daemon/internal/runtime/proxy/evasion_tunnel.go,private-key passphrase never appears in redacted operator/evidence payloads,secret-bearing passphrases cannot cross the redacted contract or become an orphan credential,src/apps/daemon/internal/runtime/proxy/evasion_contract_test.go#TestRedactCovertTransportSecrets,Connections,additive redaction coverage,predecessor provenance retained,high,PR228-S001,high,verified
PR228-RULE001,PR228-R001,CG228-routing-policy,subconverter,rules,extended local rule semantics: source CIDR/ports/process/GEOIP/rule-set/no-resolve,config + parser corpus,configuration semantics,independently adoptable,src/config/ruleset.h,8cfbf841f1cdacf932f5fcdbcd23ceb95f3dc0eb9afd73a84ae7ef36dda5c7a6,n/a,bounded normalization rederivation,many-to-one,adapted,The converter corpus exposes independently useful rule types and trailing no-resolve semantics; LumiNet absorbs them into its offline local planner without remote fetching or installation.,local rule-set normalization,src/apps/daemon/internal/analysis/diagnostics/local_ruleset_plan.go#BuildLocalRuleSetPlan,"rule parsing is bounded, deterministic, duplicate-aware, and local-only","unknown executable syntax, invalid ports/CIDRs, remote rule-set URLs, and implicit fetch/install fail closed",src/apps/daemon/internal/analysis/diagnostics/post_refactor_226_plans_test.go#TestPostRefactor228LocalRuleSetExtendedSemantics,Rules,additive preview grammar only,predecessor provenance retained,medium,PR228-R001,high,verified
PR228-GROUP001,PR228-RULE001,CG228-routing-policy,subconverter,policy-groups,manual-select/url-test/fallback/load-balance group semantics,type + preset + generator,policy selection model,independently adoptable,src/config/proxygroup.h,8f4dba73cf1798722a8a656124fb4c2fdf63bbcd60829ac42949e69cf11a3db3,ProxyGroupType,idea-to-native bounded planner,many-to-one,inspired-native,"Select, url-test, fallback, and load-balance semantics become a read-only policy-group preview. Active url-test network probes are intentionally replaced by caller-supplied latency evidence.",routing policy-group planning,src/apps/daemon/internal/analysis/diagnostics/routing_policy_group_plan.go#BuildRoutingPolicyGroupPlan,automatic selection excludes unhealthy candidates and all limits/latency/weights are bounded,"planner performs no probe, installs no policy, and cannot dispatch an unhealthy candidate automatically",src/apps/daemon/internal/analysis/diagnostics/post_refactor_226_plans_test.go#TestPostRefactor228RoutingPolicyGroupPlan,Rules,new non-authoritative planning endpoint/UI,predecessor provenance retained,medium,PR228-RULE001,high,verified
PR228-GROUP002,PR228-GROUP001,CG228-routing-policy,subconverter,policy-group-presets,group preset structure without mutable remote corpus adoption,preset,preset semantics,independently adoptable,base/snippets/groups.toml,27c04febbae15423ec9c9c0fdc4013d344c389e04ad1b0fde416c40af622da92,n/a,preset structure extraction,one-to-many,reference-only,"Preset composition and group naming are useful design evidence, but the bundled domain/provider corpus is mutable/stale external policy and is not silently embedded as target truth.",policy preset provenance boundary,src/apps/daemon/internal/adapters/api/handlers_seventh_planners.go#GetConvergencePresets,preset modes are enumerated separately from mutable remote rule data,donor rule corpus never becomes authoritative target policy merely because it is large,scripts/checks/check_post_refactor_228_convergence.py#mutable-preset-boundary,Rules,no mutable donor corpus embedded,predecessor provenance retained,medium,PR228-GROUP001,high,reviewed
PR228-B001,PR228-R001,CG228-browser-handoff,browser-ext,browser-native-host,browser family/extension identity/native host manifest contract,manifest + background + host,browser integration contract,independently adoptable,firefox/manifest.json,ce0ab06e13d5a583ef9e7f0ced3db665f597b474b6def6584993c12302e68c86,nativeMessaging,state-model rederivation,many-to-one,inspired-native,Chrome/Firefox native-messaging identity constraints and host allowlists are captured as a bounded manifest plan without registering a host.,browser/native-host proxy handoff,src/apps/daemon/internal/analysis/diagnostics/browser_proxy_handoff_plan.go#BuildBrowserProxyHandoffPlan,"browser identity, allowed origins/extensions, commands, permissions, and 1 MiB message limit are explicit",planner cannot register a native host or grant wildcard browser authority,src/apps/daemon/internal/analysis/diagnostics/post_refactor_226_plans_test.go#TestPostRefactor228BrowserNativeHostContract,Settings,richer read-only plan,predecessor provenance retained,medium,PR228-R001,high,verified
PR228-B002,PR228-B001,CG228-browser-handoff,browser-ext,browser-reconnect,native-message reconnect/backoff and loopback proxy bypass contract,background implementation,recovery + UX primitive,independently adoptable,background.js,4f93703a902adeecadc502ae71ebb59d87e7a141d1d5474435a3660e61a81554,n/a,bounded recovery extraction,one-to-one,inspired-native,Reconnect/backoff and loopback bypass behavior are retained as plan data while proxy authority stays in the browser/host owners.,browser companion recovery planning,src/apps/daemon/internal/analysis/diagnostics/browser_proxy_handoff_plan.go#BuildBrowserProxyHandoffPlan,reconnect backoff is finite and proxy target must be explicit loopback http/socks5 with no credentials/query/fragment,planner cannot mutate browser proxy state and cannot accept remote proxy targets,src/apps/daemon/internal/analysis/diagnostics/post_refactor_226_plans_test.go#TestPostRefactor228BrowserProxyHandoffRecovery,Settings,richer read-only plan,predecessor provenance retained,medium,PR228-B001,high,verified
PR228-GW001,PR228-R001,CG228-gateway-topology,paas-gateway,gateway-presets,managed edge tunnel topology preset,deployment/config,topology pattern,independently adoptable,app.json,7d947be6253edb7b1cb95bb7ebeab136c4269eb8ecabcee16f48bcbb42bd1318,n/a,deployment-graph rederivation,many-to-one,recomposed,Managed edge tunnel composition becomes a target-native immutable graph preset; secret-bearing deployment/install steps are not imported.,gateway composition planning,src/apps/daemon/internal/analysis/diagnostics/gateway_composition_plan.go#BuildGatewayCompositionPlan,preset expands to a bounded acyclic service graph with topological start and reverse rollback order,planner downloads nothing and writes no systemd/cron/runit/Caddy/service configuration,src/apps/daemon/internal/analysis/diagnostics/post_refactor_226_plans_test.go#TestPostRefactor228GatewayPresets,Operations,new read-only presets,predecessor provenance retained,high,PR228-R001,high,verified
PR228-GW002,PR228-GW001,CG228-gateway-topology,reverse-tls,gateway-presets,reverse TLS and websocket relay topology presets,deployment + documentation,topology pattern,independently adoptable,README.md,e6eac86795e73f9320d203090a3155cf28a8b9d5a8cd58c58561f51bb35b41b8,n/a,deployment-graph rederivation,many-to-one,recomposed,Reverse TLS/WS listener and relay roles become explicit service graph presets rather than a root-owned installer/runtime.,gateway composition planning,src/apps/daemon/internal/analysis/diagnostics/gateway_composition_plan.go#BuildGatewayCompositionPlan,reverse and websocket presets use the same DAG/restart/rollback invariants as explicit graphs,clone/build/systemd/root file-write behaviors cannot cross the planning boundary,src/apps/daemon/internal/analysis/diagnostics/post_refactor_226_plans_test.go#TestPostRefactor228GatewayPresets,Operations,new read-only presets,predecessor provenance retained,high,PR228-GW001,high,verified
