target_capability,contributing_records,donors,strongest_target_disposition,target_nodes,second_order_result
Android VPN/service lifecycle,PR225-M045;PR225-M050;PR225-F0535;PR225-F0536;PR225-F0537;PR225-F0538;PR225-F0539;PR225-F0540;PR225-F0541;PR225-F0542;PR225-F0543;PR225-F0544;PR225-F0545;PR225-F0546;PR225-F0547,v2rayng,superseded,src/apps/android/app/src/main/java/com/luminet/android/VpnEngineService.kt#VpnEngineService;src/apps/android/app/src/main/java/com/luminet/android/UnderlyingNetworkTracker.kt#UnderlyingNetworkTracker,recomposed into one target owner or explicit reference/guardrail; no duplicate runtime authority
DNS resolution policy,PR225-M030;PR225-M031;PR225-F0022;PR225-F0023;PR225-F0024;PR225-F0025;PR225-F0026;PR225-F0027;PR225-F0028;PR225-F0029;PR225-F0030;PR225-F0031;PR225-F0032;PR225-F0033;PR225-F0034;PR225-F0035;PR225-F0036;PR225-F0037;PR225-F0038;PR225-F0039;PR225-F0040;PR225-F0041;PR225-F0042;PR225-F0043;PR225-F0044,sing-dns,inspired-native,src/apps/daemon/internal/analysis/diagnostics/dns_resolution_policy_plan.go#BuildDNSResolutionPolicyPlan,recomposed into one target owner or explicit reference/guardrail; no duplicate runtime authority
ECH configuration and strict TLS runtime,PR225-M083;PR225-F0351;PR225-F0352;PR225-F0412;PR225-F0413,utls,superseded,src/apps/daemon/internal/runtime/proxy/ech.go#DialECH;src/apps/daemon/internal/networking/proxyconfig/types.go#ProxyConfig,recomposed into one target owner or explicit reference/guardrail; no duplicate runtime authority
QUIC/TLS handshake interoperability,PR225-M090;PR225-F0343;PR225-F0344;PR225-F0345;PR225-F0389;PR225-F0390;PR225-F0425;PR225-F0426;PR225-F0427,utls,superseded,src/apps/daemon/internal/runtime/proxy/core_manager.go#CoreManager;src/apps/daemon/internal/runtime/proxy/tuic_conn.go#TuicSession,recomposed into one target owner or explicit reference/guardrail; no duplicate runtime authority
SNI donor build/documentation evidence,PR225-M014;PR225-F0065;PR225-F0066;PR225-F0067;PR225-F0074;PR225-F0075;PR225-F0138;PR225-F0139,sni-spoofing-go,reference-only,n/a,recomposed into one target owner or explicit reference/guardrail; no duplicate runtime authority
SNI/TLS path evidence,PR225-M002;PR225-M004;PR225-M005;PR225-M010;PR225-M011;PR225-M013;PR225-M016;PR225-M017;PR225-M019;PR225-M020;PR225-M021;PR225-F0064;PR225-F0068;PR225-F0069;PR225-F0070;PR225-F0071;PR225-F0072;PR225-F0073;PR225-F0140;PR225-F0141;PR225-F0142;PR225-F0143;PR225-F0144;PR225-F0145;PR225-F0146;PR225-F0147;PR225-F0148;PR225-F0151;PR225-F0152;PR225-F0153;PR225-F0154;PR225-F0155;PR225-F0156;PR225-F0157;PR225-F0158;PR225-F0159;PR225-F0160;PR225-F0161;PR225-F0162;PR225-F0163;PR225-F0164;PR225-F0165;PR225-F0166;PR225-F0167;PR225-F0168;PR225-F0169;PR225-F0170;PR225-F0171;PR225-F0172;PR225-F0173;PR225-F0174;PR225-F0175;PR225-F0176;PR225-F0177;PR225-F0178;PR225-F0179;PR225-F0180;PR225-F0181;PR225-F0182;PR225-F0183;PR225-F0184;PR225-F0185;PR225-F0186;PR225-F0187,sni-bypass;sni-spoofing-go;sni-spoofing-python;snispf-hj,inspired-native,src/apps/daemon/internal/analysis/diagnostics/sni_path_plan.go#BuildSNIPathPlan;src/apps/daemon/internal/protocols/tlsfragment/sni_range.go#FindSNIHostRange,recomposed into one target owner or explicit reference/guardrail; no duplicate runtime authority
Scoop packaging/support evidence,PR225-M057;PR225-M060;PR225-F0432;PR225-F0433;PR225-F0434;PR225-F0435,v2raya-scoop,reference-only,n/a,recomposed into one target owner or explicit reference/guardrail; no duplicate runtime authority
TLS fingerprint policy,PR225-M084;PR225-M085;PR225-M087;PR225-M088;PR225-M091;PR225-F0391;PR225-F0392;PR225-F0393;PR225-F0394;PR225-F0406;PR225-F0407;PR225-F0414;PR225-F0415;PR225-F0420;PR225-F0421;PR225-F0428;PR225-F0429;PR225-F0431,utls,inspired-native,src/apps/daemon/internal/analysis/diagnostics/tls_fingerprint_policy_plan.go#BuildTLSFingerprintPolicyPlan,recomposed into one target owner or explicit reference/guardrail; no duplicate runtime authority
TLS handshake/session lifecycle,PR225-M086;PR225-M089;PR225-M092;PR225-M093;PR225-F0335;PR225-F0342;PR225-F0362;PR225-F0363;PR225-F0364;PR225-F0365;PR225-F0366;PR225-F0367;PR225-F0368;PR225-F0369;PR225-F0370;PR225-F0371;PR225-F0401;PR225-F0402;PR225-F0416;PR225-F0417;PR225-F0430,utls,superseded,src/apps/daemon/internal/runtime/proxy/wstunnel.go#dialUTLS;src/apps/daemon/internal/runtime/proxy/tester.go#Tester,recomposed into one target owner or explicit reference/guardrail; no duplicate runtime authority
TUIC QUIC transport authority,PR225-M138;PR225-F0199;PR225-F0200,tuic-impl,superseded,src/apps/daemon/internal/runtime/proxy/core_manager.go#CoreManager,recomposed into one target owner or explicit reference/guardrail; no duplicate runtime authority
TUIC implementation build/support evidence,PR225-M135;PR225-F0191;PR225-F0192,tuic-impl,reference-only,n/a,recomposed into one target owner or explicit reference/guardrail; no duplicate runtime authority
TUIC option/config validation,PR225-M137;PR225-M139;PR225-F0193;PR225-F0194;PR225-F0195;PR225-F0196;PR225-F0197;PR225-F0198;PR225-F0201;PR225-F0202;PR225-F0203;PR225-F0204;PR225-F0205,tuic-impl,hardened,src/apps/daemon/internal/networking/proxyconfig/types.go#ProxyConfig;src/apps/daemon/internal/runtime/proxy/tuic_conn.go#TuicSession,recomposed into one target owner or explicit reference/guardrail; no duplicate runtime authority
TUIC v5 wire correctness,PR225-M136;PR225-F0206;PR225-F0207;PR225-F0208;PR225-F0209;PR225-F0210;PR225-F0211;PR225-F0212;PR225-F0213;PR225-F0214;PR225-F0215;PR225-F0216;PR225-F0217;PR225-F0218;PR225-F0219;PR225-F0220;PR225-F0221,tuic-impl,hardened,src/apps/daemon/internal/runtime/proxy/tuic_conn.go#TuicSession,recomposed into one target owner or explicit reference/guardrail; no duplicate runtime authority
TUIC v5 wire specification,PR225-M141,tuic-spec,hardened,src/apps/daemon/internal/runtime/proxy/tuic_conn.go#TuicSession,recomposed into one target owner or explicit reference/guardrail; no duplicate runtime authority
WARP endpoint quality and secret hygiene,PR225-M101;PR225-M102;PR225-F0711;PR225-F0712;PR225-F0713;PR225-F0714;PR225-F0715;PR225-F0716;PR225-F0717;PR225-F0718;PR225-F0719;PR225-F0720;PR225-F0721;PR225-F0722;PR225-F0723;PR225-F0724;PR225-F0725;PR225-F0726;PR225-F0727;PR225-F0728;PR225-F0729;PR225-F0730;PR225-F0731;PR225-F0732;PR225-F0733;PR225-F0734;PR225-F0735;PR225-F0736;PR225-F0737;PR225-F0738;PR225-F0739;PR225-F0740;PR225-F0741;PR225-F0742;PR225-F0743;PR225-F0744;PR225-F0745;PR225-F0746;PR225-F0747;PR225-F0748;PR225-F0749;PR225-F0750;PR225-F0751;PR225-F0752;PR225-F0753;PR225-F0754;PR225-F0755;PR225-F0756;PR225-F0757;PR225-F0758;PR225-F0759;PR225-F0760;PR225-F0761;PR225-F0762;PR225-F0763;PR225-F0764;PR225-F0765;PR225-F0766;PR225-F0767;PR225-F0768;PR225-F0769;PR225-F0770;PR225-F0771;PR225-F0772;PR225-F0773;PR225-F0774;PR225-F0775;PR225-F0776;PR225-F0777;PR225-F0778;PR225-F0779;PR225-F0780;PR225-F0781;PR225-F0782;PR225-F0783;PR225-F0784;PR225-F0785;PR225-F0786;PR225-F0787;PR225-F0788,warpscanner-android,superseded,src/apps/daemon/internal/runtime/warp/warp_scanner.go#summarizeWarpAttempts;src/apps/daemon/internal/analysis/diagnostics/artifact_admission_plan.go#BuildArtifactAdmissionPlan;src/packages/control-ui/src/pages/Settings.tsx#Settings,recomposed into one target owner or explicit reference/guardrail; no duplicate runtime authority
Wintun device/session admission,PR225-M104;PR225-F0789;PR225-F0790;PR225-F0791;PR225-F0792;PR225-F0793;PR225-F0794;PR225-F0795;PR225-F0796;PR225-F0797;PR225-F0798;PR225-F0799;PR225-F0800;PR225-F0801;PR225-F0802;PR225-F0803;PR225-F0804;PR225-F0805;PR225-F0806;PR225-F0807;PR225-F0808;PR225-F0809;PR225-F0810,wintun,hardened,src/apps/daemon/internal/platform/system/wintun_policy.go#validateWintunRingCapacity;src/apps/daemon/internal/platform/system/wintun_windows.go#StartSession,recomposed into one target owner or explicit reference/guardrail; no duplicate runtime authority
Wintun driver/install lifecycle reference,PR225-M105;PR225-M107;PR225-F0811;PR225-F0812;PR225-F0814;PR225-F0815,wintun,reference-only,src/apps/daemon/internal/platform/system/wintun_windows.go#StartSession,recomposed into one target owner or explicit reference/guardrail; no duplicate runtime authority
Wintun usage/test oracle,PR225-M106;PR225-F0813,wintun,reference-only,src/apps/daemon/internal/platform/system/wintun_windows.go#StartSession,recomposed into one target owner or explicit reference/guardrail; no duplicate runtime authority
WireGuard cancellation/timestamp primitives,PR225-M116;PR225-M117;PR225-F0910;PR225-F0911;PR225-F0912;PR225-F0913,wireguard-go,superseded,src/apps/daemon/internal/runtime/warp;src/apps/daemon/internal/foundation,recomposed into one target owner or explicit reference/guardrail; no duplicate runtime authority
