plane,peer_pressure,target_owner,decision,result,invariant,status
configuration_authority,concurrent mutation/retry patterns,foundation/config.Manager,adopt target-native automatic mutation retry,bounded pure-intent CAS replay on fresh snapshots,explicit client revision preconditions are never replayed,statically-validated
http_mutation_adapter,handler-local optimistic concurrency,adapters/api/config_mutation.go,recompose into one adapter,commitConfigMutation plus attempt telemetry,runtime/network side effects occur only after durable config commit,statically-validated
public_endpoint_admission,OnionHop bridge safety and remote fetch SSRF boundaries,foundation/netpolicy,extract/generalize,shared public/special-use/documentation classifier,mixed public/private DNS answers fail closed,statically-validated
subscription_refresh,sing-box remote rule-set updater,integrations/sub.ProfileService,recompose into existing authority,source-scoped ETag plus validate-before-swap and 304 last-known-good refresh,invalid payload cannot advance freshness or validator,statically-validated
tor_bridge_diagnostics,OnionHop bridge scanner,analysis/diagnostics,independent hardened reimplementation,front-aware bounded TCP reachability,probe targets must be admitted public numeric endpoints,statically-validated
throughput_diagnostics,iperf3 reference client,analysis/diagnostics plus API,replace false surrogate,real bounded iperf3 JSON protocol and metrics,public target pinning plus per-operation authorization,statically-validated
nat_mapping,v2ray-core STUN plus v2rayN shallow client,analysis/diagnostics,independent truth-hardened reimplementation,RFC5389 mapping observation only,no full-cone/restricted/symmetric label without filtering evidence,statically-validated
android_per_app,nexvpn plus rethink,VpnService.Builder via PerAppVpnPolicy,independent hardened reimplementation,ALL/INCLUDE/EXCLUDE mobile-local package authority,one mode only and full validation before builder mutation,verified
android_underlay,lantern network listener,UnderlyingNetworkTracker,inspired-native passive observer,NOT_VPN underlying-network metadata,no requestNetwork and VpnService.protect remains routing authority,verified
mobile_tun_supervision,nexvpn/lantern external tun2socks restart,VpnEngineService plus Go mobile host,reject direct transplant,retain single in-process TUN fd ownership,no concurrent/double reader or second tunnel owner,reviewed
proxy_runtime,Xray/V2Ray/sing-box families,runtimecore plus temporary CoreManager,reject wholesale transplant,existing long-lived runtime owner retained,no second core manager may become authority,reviewed
health_selection,Xray observatory SIMORGH v2rayA,runtime/proxy qualification plus trust,reject wholesale transplant,retain median/jitter/failure/trust pool selection,selection evidence must not create duplicate health state,reviewed
dns,Xray/V2Ray/Rethink/v2rayA DNS planes,networking/dns,reject wholesale transplant,existing bounded DNS cache/fallback owner retained,no donor-specific DNS daemon/source of truth,reviewed
scanner_security,LEGION2 scanner/exploit corpus,analysis/scanner,reject authority expansion,no exploit/NASL corpus promoted into product,diagnostics must stay bounded and non-offensive,reviewed
commerce_account,v2board,none,reject out-of-scope authority,no billing/reseller/account plane added,network-client target must not gain unrelated commerce source of truth,reviewed
operator_ui,MetaCubeXD/v2rayN/SIMORGH/control peers,control-ui Operations,selective product integration,bridge iperf and STUN controls use typed API responses,UI state remains non-authoritative,statically-validated
historical_convergence,post-141 frozen checks,convergence checkers,explicit successor reconciliation,post-141 reads immutable post-160 baseline and old mutation anchors map to successors,old evidence is not rewritten as if new source never changed,verified
