record_id,parent_record_id,composition_group_id,donor,domain,value_unit,source_granularity,value_form,separability,donor_path,donor_sha256,donor_symbol,transformation,mapping_topology,disposition,decision_rationale,target_capability,target_nodes,invariant,negative_invariant,test_node,operator_surface,migration_impact,license_note,risk_tier,dependency_record_ids,evidence_confidence,validation_status,source_peer_record_ids
SO-SEM001,n/a,remote-action-authority,Aether,remote-mutation,retry only with idempotency or successful reconciliation,semantic-mechanism,negative-invariant-to-policy,standalone policy primitive,aether/src/account.rs,52e03a64005190de3bc5919618abf00b45f7a1a4f7547da92ea0410117ae4d84,send_with_retry,guardrail derivation and target-native synthesis,one-to-many,guardrail-derived,The first pass correctly rejected blind registration POST retry. The second-order pass preserves that negative invariant and generalizes it into a target-wide authority: replay is permitted only for intrinsic idempotency or owner-supplied read-only reconciliation; unreconcilable creates remain single-attempt.,remote HTTP mutation replay authority,src/apps/daemon/internal/foundation/remoteaction/remoteaction.go#Do;governance/convergence/remote-http-actions.csv#cloudflare.dns.create,ambiguous remote writes are never replayed without an explicit proof of replay safety,never turn a generic POST retry loop into authority for non-idempotent side effects,governance/convergence/second-order-validation.md#so-sem001,governance/convergence/remote-http-actions.csv,additive policy owner and call-site classification,provenance retained; target-native implementation,critical,n/a,high,verified,SEM055
SO-SEM002,n/a,remote-action-authority,Aether,provider-errors,bounded Retry-After-aware mutation pacing separated from provider error parsing,semantic-mechanism,retry timing and error-separation primitive,standalone policy primitive,aether/src/account.rs,52e03a64005190de3bc5919618abf00b45f7a1a4f7547da92ea0410117ae4d84,extract_api_error,adaptation and synthesis,one-to-many,synthesized,Aether separated structured provider errors and Retry-After hints from retry policy. LumiNet now centralizes bounded Retry-After/backoff/cancellation mechanics while provider owners continue to interpret their own responses and reconciliation state.,bounded remote action pacing,src/apps/daemon/internal/foundation/remoteaction/remoteaction.go#parseRetryAfter;src/apps/daemon/internal/integrations/provision/cloudflare.go#doMutation,retry timing is bounded and caller cancellation wins,provider error text or Retry-After alone never makes a mutation replay-safe,governance/convergence/second-order-validation.md#so-sem002,governance/convergence/remote-http-actions.csv,additive shared policy and provider integration,provenance retained; target-native implementation,high,SO-SEM001,high,verified,SEM095
SO-SEM003,n/a,subscription-source-health,Goida-AI-Unlocker,cache,source freshness and due-refresh pacing inside the canonical profile owner,semantic-mechanism,TTL/freshness policy,context-dependent on profile ownership,source/app/core/http_client.py,74dac02b4ba0d67504cfcce727101b443a2836136ae75124c24e11d0b209e203,get_remote_main_line_cached,adaptation and recomposition,one-to-many,adapted,"The donor TTL cache remains the conceptual source, but a separate cache would duplicate profile authority. Its useful freshness idea is recomposed into ProfileService scheduling using LastUpdated, interval, in-flight ownership, and bounded source backoff.",subscription source health and automatic refresh,src/apps/daemon/internal/integrations/sub/profile_service.go#QueueDueRefreshes;src/apps/daemon/internal/integrations/sub/profile_service.go#StartAutoRefresh,only active opted-in profiles are automatically refreshed when due and outside source backoff,do not create a second subscription catalog/cache authority,governance/convergence/second-order-validation.md#so-sem003,subscription profile JSON source_health,additive profile evidence and service-owned scheduler,provenance retained; target-native adaptation,high,n/a,high,verified,SEM023
SO-SEM004,n/a,subscription-source-health,goida-vpn-configs,operator-errors,bounded secret-redacted source failure evidence,semantic-mechanism,operator diagnostic normalization,context-dependent on source health,source/src/network.py,926ff571611e61274806e4220aaf3d9b6789430344a7ffec130b6241819512be,_format_fetch_error,adaptation and hardening,one-to-one,adapted,"The donor value is concise source-specific failure explanation. LumiNet keeps that outcome but routes it through the existing redaction owner, caps persisted/operator-visible text, and records backoff state rather than storing raw fetch errors.",subscription source diagnostics,src/apps/daemon/internal/integrations/sub/profile_service.go#boundedSourceError;src/apps/daemon/internal/integrations/sub/profile_service.go#recordRefreshFailure,"source failures are bounded, redacted, URL-stale-safe evidence",never persist subscription credentials or raw secret-bearing fetch errors in source health,governance/convergence/second-order-validation.md#so-sem004,subscription profile JSON source_health,additive diagnostic fields,provenance retained; target-native adaptation,high,SO-SEM003,high,verified,SEM105
SO-SEM005,n/a,signed-update-plane,Goida-AI-Unlocker,distribution,desktop update workflow second-order promotion decision,higher-level-plane,update orchestration,inseparable from update trust authority,source/app/gui/main_window.py,3e8a843c408789ba2773703809a892f9a3faf81c07a296ae1c96e45fbac79a43,check_for_updates,second-order rejection,many-to-one,rejected-with-reason,"A larger updater plane is valuable only if artifact identity, signature verification, atomic promotion, rollback, and crash recovery share one target authority. The current repository still has no such signed promotion authority, so making donor download/update UX live would reduce safety.",future signed update plane,n/a,n/a,never auto-promote downloaded executable content without authenticated artifact identity and rollback authority,governance/convergence/second-order-validation.md#so-sem005,n/a,none; remains non-live,reference retained,critical,n/a,high,reviewed,SEM025
SO-SEM006,n/a,signed-update-plane,goida-vpn-configs,distribution,release discovery/update tooling second-order promotion decision,higher-level-plane,release discovery,context-dependent on signed promotion,source/src/release_fetcher.py,a79ebff5eed0fbc560120e9a3ec336f48f6a88968f2ed77494674cee35061641,fetch_latest_release_links,second-order rejection,many-to-one,rejected-with-reason,"Release discovery by itself is not a safe updater. Without a signed manifest and rollback owner it would create an attractive but unauthoritative download path, so the mechanism remains reference-only.",future signed update plane,n/a,n/a,release metadata must never become executable update authority by URL freshness alone,governance/convergence/second-order-validation.md#so-sem006,n/a,none; remains non-live,reference retained,critical,SO-SEM005,high,reviewed,SEM041
SO-SEM007,n/a,signed-update-plane,goida-vpn-site,distribution,cross-donor release asset/TTL update plane second-order promotion decision,higher-level-plane,release asset discovery and caching,context-dependent on signed promotion,source/app/services/github.py,901bf688e23578e653d30d8133926e9565c8ec38341bd1fb7a64c1ef8f44566e,fetch_download_links,second-order rejection,many-to-one,rejected-with-reason,"The cross-donor convergence makes the product value clear, but none of the donors supplies the missing target trust root, atomic promotion contract, or rollback authority. The larger plane therefore remains deliberately non-live rather than being assembled from unsigned pieces.",future signed update plane,n/a,n/a,do not compose multiple unsigned updater fragments into a de facto update authority,governance/convergence/second-order-validation.md#so-sem007,n/a,none; remains non-live,reference retained,critical,SO-SEM005;SO-SEM006,high,reviewed,SEM043;SEM088
SO-SEM008,n/a,process-lifecycle-promotion,Aether-GUI,process-supervision,restart/backoff supervisor promotion decision,higher-level-plane,process supervisor state machine,context-dependent on runtime ownership,src-tauri/src/aether/status.rs,77ef138fca1fbb412bf19b504a8b042bd951422bd4a35f5f628078281edfd3f3,RETRY_BACKOFF,second-order authority review,one-to-one,reference-only,"The first pass already hardened ProcessSupervisor correctly, but it still has no production constructor. Wiring it now around existing Tor/runtime owners would create a second lifecycle authority, so the capability remains dormant rather than being falsely presented as shipped recovery.",dormant process-supervision capability,n/a,n/a,do not create a second process restart/cancellation owner around an already-owned runtime,governance/convergence/second-order-validation.md#so-sem008,n/a,none; capability remains dormant,provenance retained,high,n/a,high,reviewed,SEM013;SEM014
SO-SEM009,n/a,process-lifecycle-promotion,Aether-GUI,process-supervision,concurrent sidecar readiness promotion decision,higher-level-plane,readiness/lifecycle primitive,context-dependent on runtime ownership,src-tauri/src/aether/mod.rs,e75290ca71ffd956a52e389177133432962c7c0ce63d50b4e59e782682bbdbc2,status,second-order authority review,one-to-one,reference-only,"The readiness primitive remains useful and already hardened in the dormant target supervisor, but no production seam justifies transferring runtime authority to it.",dormant process-supervision capability,n/a,n/a,readiness detection must not imply lifecycle ownership where none was promoted,governance/convergence/second-order-validation.md#so-sem009,n/a,none; capability remains dormant,provenance retained,medium,SO-SEM008,high,reviewed,SEM015
SO-SEM010,n/a,operator-host-ux,Goida-AI-Unlocker,host-ux,hosts preview/apply/restore workflow promotion decision,higher-level-plane,operator workflow,context-dependent on authenticated host authority,source/app/gui/main_window.py,3e8a843c408789ba2773703809a892f9a3faf81c07a296ae1c96e45fbac79a43,MainWindow,second-order rejection,idea-to-native,reference-only,"The operator workflow remains useful design reference, but promoting it as a new host-mutation plane would bypass LumiNet authenticated system/diagnostic ownership. No second host authority is introduced.",host mutation UX reference,n/a,n/a,host mutations remain behind existing authenticated system ownership and must not be duplicated in a donor-shaped GUI plane,governance/convergence/second-order-validation.md#so-sem010,n/a,none; remains reference,reference retained,high,n/a,high,reviewed,SEM102
SO-SEM011,n/a,operator-diagnostics-promotion,Aether,diagnostics,DiagnosticRunbook production-promotion decision,higher-level-plane,diagnostic workflow capability,context-dependent on diagnostic authority,aether/src/tunnelping.rs,778068e825a2cdfbf7a5bc79fe3ca644c5a014d0070075e3930e3db9dd4b344c,http_status_code,second-order authority review,one-to-many,reference-only,"The hardened LumiCore DiagnosticRunbook remains a sound public capability, but it still has no production caller while the daemon already owns diagnostic jobs, APIs, lifecycle, persistence, and operator export. Promoting the dormant Rust runbook into runtime orchestration would create a parallel diagnostics authority rather than add a missing capability.",dormant LumiCore diagnostic capability,n/a,n/a,do not create a second diagnostic orchestration/lifecycle authority beside the daemon diagnostics job and API plane,governance/convergence/second-order-validation.md#so-sem011,none; capability remains library-only,none; remains non-live,provenance retained,high,n/a,high,reviewed,SEM051
SO-SEM012,n/a,transport-protocol-promotion,ZedPass,protocol,SSTP transport/profile plane second-order promotion decision,higher-level-plane,VPN transport and credential plane,context-dependent on transport authority and platform support,lib/providers/vpn_provider.dart,272070ea3010a18d3f640d9ce28082611532ded91aa861e2cfa6aea8634526e5,VpnProvider,second-order authority review,one-to-one,reference-only,"A second-order review still does not justify promotion: SSTP would add a parallel transport, credential, TLS, and platform lifecycle authority without target-native protocol ownership or platform verification. The donor remains useful protocol reference, but importing it would weaken the single-owner transport model and could carry weaker TLS assumptions.",future SSTP transport,n/a,n/a,do not add an unverified parallel VPN transport/credential plane or inherit weaker TLS defaults,governance/convergence/second-order-validation.md#so-sem012,n/a,none; remains future reference,provenance retained,high,n/a,high,reviewed,SEM009
