donor,module_id,module_role,module_disposition,rationale,file_count,bytes,languages,classes,semantic_record_ids,fourth_order_record_ids,current_module_disposition,review_rationale,review_status
Aether,aether-owner-account,owner-runtime,resolved-by-semantic-ledger,"Aether-owned runtime module; independently compared against LumiNet owner; resolved by SEM055,SEM056,SEM095.",1,32716,rust,implementation,SEM055;SEM056;SEM095,FO-007,split-live-and-nonlive-by-semantic-review,"All semantic children re-evaluated against the frozen third-wave target: SEM055,SEM056,SEM095 -> superseded,reference-only,adapted. Module packaging is not itself authoritative; child decisions control adoption.",reviewed
Aether,aether-owner-aethernoize,owner-runtime,resolved-by-semantic-ledger,Aether-owned runtime module; independently compared against LumiNet owner; resolved by SEM070.,1,10671,rust,implementation,SEM070,n/a,resolved-nonlive-by-semantic-review,All semantic children re-evaluated against the frozen third-wave target: SEM070 -> superseded. Module packaging is not itself authoritative; child decisions control adoption.,reviewed
Aether,aether-owner-apifront,owner-runtime,resolved-by-semantic-ledger,Aether-owned runtime module; independently compared against LumiNet owner; resolved by SEM054.,1,15505,rust,implementation,SEM054,n/a,resolved-live-by-semantic-review,All semantic children re-evaluated against the frozen third-wave target: SEM054 -> hardened. Module packaging is not itself authoritative; child decisions control adoption.,reviewed
Aether,aether-owner-build,build-config,reference-only,Aether executable build/launch/config surface; target build system remains authoritative.,3,74549,batch;toml;unknown,configuration;implementation,n/a,n/a,reference-only-after-fourth-order-review,Every file and symbol in this module was re-inventoried. No independently stronger target-native mechanism or missing authority was found beyond separately linked semantic records; retain as reference/context rather than donor-shaped import.,reviewed
Aether,aether-owner-cli,owner-runtime,resolved-by-semantic-ledger,Aether-owned runtime module; independently compared against LumiNet owner; resolved by SEM089.,1,10134,rust,implementation,SEM089,n/a,resolved-nonlive-by-semantic-review,All semantic children re-evaluated against the frozen third-wave target: SEM089 -> superseded. Module packaging is not itself authoritative; child decisions control adoption.,reviewed
Aether,aether-owner-config,owner-runtime,resolved-by-semantic-ledger,Aether-owned runtime module; independently compared against LumiNet owner; resolved by SEM052.,1,14224,rust,implementation,SEM052,FO-001,resolved-live-by-semantic-review,All semantic children re-evaluated against the frozen third-wave target: SEM052 -> adapted. Module packaging is not itself authoritative; child decisions control adoption.,reviewed
Aether,aether-owner-consts,owner-runtime,resolved-by-semantic-ledger,Aether-owned runtime module; independently compared against LumiNet owner; resolved by SEM090.,1,2174,rust,implementation,SEM090,n/a,resolved-nonlive-by-semantic-review,All semantic children re-evaluated against the frozen third-wave target: SEM090 -> reference-only. Module packaging is not itself authoritative; child decisions control adoption.,reviewed
Aether,aether-owner-dns,owner-runtime,resolved-by-semantic-ledger,Aether-owned runtime module; independently compared against LumiNet owner; resolved by SEM050.,1,8493,rust,implementation,SEM050,n/a,resolved-live-by-semantic-review,All semantic children re-evaluated against the frozen third-wave target: SEM050 -> hardened. Module packaging is not itself authoritative; child decisions control adoption.,reviewed
Aether,aether-owner-error,owner-runtime,resolved-by-semantic-ledger,Aether-owned runtime module; independently compared against LumiNet owner; resolved by SEM091.,1,653,rust,implementation,SEM091,n/a,resolved-nonlive-by-semantic-review,All semantic children re-evaluated against the frozen third-wave target: SEM091 -> superseded. Module packaging is not itself authoritative; child decisions control adoption.,reviewed
Aether,aether-owner-fragment,owner-runtime,resolved-by-semantic-ledger,Aether-owned runtime module; independently compared against LumiNet owner; resolved by SEM068.,1,4883,rust,implementation,SEM068,n/a,resolved-nonlive-by-semantic-review,All semantic children re-evaluated against the frozen third-wave target: SEM068 -> superseded. Module packaging is not itself authoritative; child decisions control adoption.,reviewed
