record_id,donor,level,value_unit,source_path,disposition,target_nodes,negative_invariant
PR236-S021,phantom,workflow,scheduled control-plane backup and bounded restore input,deploy/backup.sh,hardened,src/apps/daemon/internal/analysis/diagnostics/post_refactor_236_plans.go,backup scripts do not become shell authority
PR236-S023,phantom,plane,node status/health reconciliation loop,node-controller/agent.py,reference-only,governance/convergence/post-refactor-236-peer-synthesis.md,remote node agent never becomes a second daemon authority
PR236-S026,doh_server,feature,oblivious DoH transport capability,src/libdoh/src/odoh.rs,hardened,src/apps/daemon/internal/analysis/diagnostics/post_refactor_236_plans.go,no ODoH proxy/server runtime is imported
PR236-S027,ansible_relayor,module,multi-instance relay role/port/identity configuration vocabulary,defaults/main.yml,reference-only,src/apps/daemon/internal/analysis/diagnostics/post_refactor_236_plans.go,Ansible does not gain host-deployment authority
PR236-S029,ansible_relayor,constraint,instance reduction is not automatic destructive reconciliation,tasks/configure.yml,hardened,governance/convergence/post-refactor-236-security-model.md,desired-count change never silently deletes a relay instance
PR236-S032,clienthellod,test-oracle,binary TLS/QUIC corpus as normalization oracle,corpus_conformance_test.go,reference-only,governance/convergence/post-refactor-236-semantic-ledger.csv,fixtures do not imply live capture equivalence
PR236-S033,haskell_tor,module,consensus parsing/state vocabulary,src/Tor/DataFormat/Consensus.hs,superseded,src/apps/daemon/internal/analysis/diagnostics/post_refactor_235_plans.go,alternate Tor runtime/parser is not imported
PR236-S034,haskell_tor,feature,circuit manager lifecycle/state lessons,src/Tor/State/CircuitManager.hs,reference-only,governance/convergence/post-refactor-236-state-machines.md,planner never controls circuits
PR236-S035,haskell_tor,test-oracle,Tor handshake negative/compatibility oracle,test/Test/Handshakes.hs,reference-only,governance/convergence/post-refactor-236-semantic-ledger.csv,tests never grant a second Tor implementation authority
PR236-S037,encrypted_dns_server,feature,anonymized DNS relay separation,src/anonymized_dns.rs,hardened,src/apps/daemon/internal/analysis/diagnostics/post_refactor_235_plans.go,relay evidence never mutates system DNS
PR236-S038,encrypted_dns_server,primitive,ticket/resumption expiry semantics,src/pq.rs,reference-only,governance/convergence/post-refactor-236-state-machines.md,experimental PQ/ticket implementation is not imported
PR236-S039,exitmap,feature,Exit flag plus descriptor exit-policy destination admission,src/relayselector.py,hardened,src/apps/daemon/internal/analysis/diagnostics/post_refactor_236_plans.go,exit selection never becomes circuit authority
PR236-S040,exitmap,test-oracle,DNS poisoning/DNSSEC exit-test composition,src/modules/dnspoison.py,reference-only,src/apps/daemon/internal/analysis/diagnostics/post_refactor_236_plans.go,no live exit probing is started by the planner
PR236-S041,qtun_android,widget,SIP003 plugin option omission/default semantics,app/src/main/java/com/github/shadowsocks/plugin/qtun/ConfigFragment.kt,hardened,governance/convergence/post-refactor-236-semantic-ledger.csv,plugin UI cannot become native binary authority
PR236-S042,qtun_android,test-oracle,plugin binary-provider admission tests,app/src/androidTest/java/com/github/shadowsocks/plugin/qtun/BinaryProviderTest.kt,reference-only,governance/convergence/post-refactor-236-security-model.md,bundled plugin binary is never executed from donor evidence
PR236-S043,fptnclient_ios,feature,mobile VPN lifecycle and tunnel status affordance,FptnVPN/Services/VPNService.swift,superseded,src/apps/daemon/internal/analysis/diagnostics/post_refactor_235_plans.go,donor PacketTunnel runtime is not imported
PR236-S044,fptnclient_ios,feature,token refresh/access boundary,FptnVPN/Services/TokenService.swift,reference-only,governance/convergence/post-refactor-236-security-model.md,UI/client token flow never becomes LumiNet secret authority
PR236-S045,fptnclient_ios,method,first-server selection without quality evidence,FptnVPN/Services/ServerSelectionService.swift,rejected-with-reason,governance/convergence/post-refactor-236-security-model.md,list order alone never makes an endpoint best
PR236-S048,proxychains_ng,plane,LD_PRELOAD/process interception runtime,src/libproxychains.c,rejected-with-reason,governance/convergence/post-refactor-236-security-model.md,no LD_PRELOAD or API-hook runtime is imported
PR236-S049,mem_db,feature,append-only durability/replay model,server/src/db/aof.rs,reference-only,governance/convergence/post-refactor-236-state-machines.md,mem-db is not imported as a second persistence authority
PR236-S050,mem_db,method,bounded in-memory eviction primitive,server/src/db/lru.rs,reference-only,governance/convergence/post-refactor-236-semantic-ledger.csv,donor cache does not replace target caches
PR236-S051,mem_db,plane,parallel HA/store ownership,server/src/ha.rs,superseded,governance/convergence/post-refactor-236-security-model.md,donor HA protocol is not introduced
PR236-S053,backhaulmanager,feature,bounded tunnel/link diagnostic affordance,linktest.sh,reference-only,governance/convergence/post-refactor-236-operator-runbook.md,diagnostic script cannot change routes/firewall
PR236-S054,incy_link_encoder,protocol,versioned incy://crypt1 authenticated payload envelope,src/index.ts,reference-only,governance/convergence/post-refactor-236-semantic-ledger.csv,format support never implies cryptographic trust
PR236-S055,incy_link_encoder,constraint,shared derivable client key marketed as obfuscation,src/keymat.ts,rejected-with-reason,governance/convergence/post-refactor-236-security-model.md,shared embedded key never becomes a LumiNet trust root
PR236-S056,njuconnect,constraint,TLS 1.1/RC4 and certificate-verification bypass compatibility path,core/EasyConnectClient.go,rejected-with-reason,governance/convergence/post-refactor-236-security-model.md,InsecureSkipVerify/TLS1.1/RC4 compatibility is not ported
PR236-S057,njuconnect,method,retry-then-panic stream error handling,core/protocol.go,rejected-with-reason,governance/convergence/post-refactor-236-state-machines.md,panic after network retry exhaustion is not adopted
PR236-S059,chutney,test-oracle,family/exit/consensus rapid-bootstrap test configuration,lib/chutney/tor/torrc.py,hardened,src/apps/daemon/internal/analysis/diagnostics/post_refactor_236_plans.go,test-only consensus acceleration is never production config
PR236-S062,gojq,interface,optional module/environment/input loaders,option.go,hardened,src/apps/daemon/internal/analysis/diagnostics/jq_evaluator.go,filesystem/environment loaders remain unavailable to untrusted queries
PR236-S065,pion_transport,test-oracle,deterministic NAT lifetime/state simulation,vnet/nat.go,reference-only,governance/convergence/post-refactor-236-semantic-ledger.csv,simulation is not production NAT authority
PR236-S066,pion_transport,test-oracle,token-bucket queue/capacity simulation,vnet/tbf_queue.go,reference-only,governance/convergence/post-refactor-236-semantic-ledger.csv,simulation never shapes live traffic
PR236-S068,reality,plane,REALITY TLS handshake runtime,handshake_server.go,superseded,governance/convergence/post-refactor-236-security-model.md,forked TLS runtime is not embedded
PR236-S070,outline_ss_server,method,server salt uniqueness/rotation evidence,service/server_salt.go,hardened,src/apps/daemon/internal/analysis/diagnostics/post_refactor_236_plans.go,salt planning does not encrypt/decrypt traffic
PR236-S071,outline_ss_server,feature,hot cipher-list update semantics,service/cipher_list.go,reference-only,governance/convergence/post-refactor-236-state-machines.md,donor Shadowsocks server runtime is not introduced
PR236-S074,setec,primitive,explicit secret access allow/deny boundary,acl/acl.go,hardened,src/apps/daemon/internal/analysis/diagnostics/post_refactor_236_plans.go,planner never replaces target secret ACL/store authority
PR236-S075,setec,feature,monotonic audit ID/timestamp/sync lifecycle,audit/audit.go,reference-only,governance/convergence/post-refactor-236-semantic-ledger.csv,donor audit store is not imported
