wave,record_id,parent_record_id,composition_group_id,donor,domain,value_unit,source_granularity,value_form,separability,donor_path,donor_sha256,donor_symbol,transformation,mapping_topology,disposition,decision_rationale,target_capability,target_nodes,invariant,negative_invariant,test_node,operator_surface,migration_impact,license_note,risk_tier,dependency_record_ids,evidence_confidence,validation_status
ultimate-63,FP-M0001,n/a,CG-FP-ACCOUNT-3xui-telegram-bot-main,3xui-telegram-bot-main,surface accountability,complete donor subtree accountability: @root,recursively bounded donor subtree,evidence/accountability,accountability bundle; independent semantic values are split into fine records,.gitignore,fe07aeae2cfd1ff2ce4c0c5911dfbb550a3f1065e213175039abadfc3a5a15bb,n/a,evidence classification,custom:subtree-accountability,reference-only,"All surfaces in this bounded subtree were recursively inventoried and reviewed for implementation, operational, product, deployment, test, generated, vendored, documentation and negative-evidence value. This accountability record does not imply source reuse or behavioral equivalence.",n/a,n/a,every descendant surface remains hash-accounted and eligible for narrower semantic extraction,module-level accountability must never be used as a substitute for a fine-grained adoption decision,n/a,n/a,n/a,MIT; direct adaptation permitted with attribution,low,n/a,high,reviewed
ultimate-63,FP-M0002,n/a,CG-FP-ACCOUNT-AgentDNS-main,AgentDNS-main,surface accountability,complete donor subtree accountability: @root,recursively bounded donor subtree,evidence/accountability,accountability bundle; independent semantic values are split into fine records,CHANGELOG.md,cb2d6fdf505c60bf44baa57028c575fc4bbc9f8f8776863da263c5fc08cb33a5,n/a,evidence classification,custom:subtree-accountability,reference-only,"All surfaces in this bounded subtree were recursively inventoried and reviewed for implementation, operational, product, deployment, test, generated, vendored, documentation and negative-evidence value. This accountability record does not imply source reuse or behavioral equivalence.",n/a,n/a,every descendant surface remains hash-accounted and eligible for narrower semantic extraction,module-level accountability must never be used as a substitute for a fine-grained adoption decision,n/a,n/a,n/a,"no explicit LICENSE in archive; README claims MIT, treated as unverified/no-license for source reuse; no direct source reuse; concepts/negative evidence/reference only",low,n/a,high,reviewed
ultimate-63,FP-M0003,n/a,CG-FP-ACCOUNT-Auto_Tor_IP_changer-master(2),Auto_Tor_IP_changer-master(2),surface accountability,complete donor subtree accountability: @root,recursively bounded donor subtree,evidence/accountability,accountability bundle; independent semantic values are split into fine records,README.md,42cda71e6046a098389a3d1b771b481eca3bbf4a2155475a76307f2af78dc0d1,n/a,evidence classification,custom:subtree-accountability,reference-only,"All surfaces in this bounded subtree were recursively inventoried and reviewed for implementation, operational, product, deployment, test, generated, vendored, documentation and negative-evidence value. This accountability record does not imply source reuse or behavioral equivalence.",n/a,n/a,every descendant surface remains hash-accounted and eligible for narrower semantic extraction,module-level accountability must never be used as a substitute for a fine-grained adoption decision,n/a,n/a,n/a,no explicit license; exact-byte duplicate of sixth-order donor archive; no source copying; evidence/reference/independent rederivation only,low,n/a,high,reviewed
ultimate-63,FP-M0004,n/a,CG-FP-ACCOUNT-BPB-Warp-Scanner-main,BPB-Warp-Scanner-main,surface accountability,complete donor subtree accountability: @root,recursively bounded donor subtree,evidence/accountability,accountability bundle; independent semantic values are split into fine records,.github/workflows/build.yml,e42aa0c182b796746d3d2ec7913d149a310ca8ab4ac7e08ba5ee00dd14e3ce24,n/a,evidence classification,custom:subtree-accountability,reference-only,"All surfaces in this bounded subtree were recursively inventoried and reviewed for implementation, operational, product, deployment, test, generated, vendored, documentation and negative-evidence value. This accountability record does not imply source reuse or behavioral equivalence.",n/a,n/a,every descendant surface remains hash-accounted and eligible for narrower semantic extraction,module-level accountability must never be used as a substitute for a fine-grained adoption decision,n/a,n/a,n/a,"GPL-3.0; selected semantics independently rederived, no source copied; no source copying; evidence/reference/independent rederivation only",low,n/a,high,reviewed
ultimate-63,FP-M0005,n/a,CG-FP-ACCOUNT-BWLimiter-main,BWLimiter-main,surface accountability,complete donor subtree accountability: @root,recursively bounded donor subtree,evidence/accountability,accountability bundle; independent semantic values are split into fine records,.gitattributes,28b99f15bf4582e535cb25e39750cae277c8b220681e874e5eb8887e9772915f,n/a,evidence classification,custom:subtree-accountability,reference-only,"All surfaces in this bounded subtree were recursively inventoried and reviewed for implementation, operational, product, deployment, test, generated, vendored, documentation and negative-evidence value. This accountability record does not imply source reuse or behavioral equivalence.",n/a,n/a,every descendant surface remains hash-accounted and eligible for narrower semantic extraction,module-level accountability must never be used as a substitute for a fine-grained adoption decision,n/a,n/a,n/a,no explicit license; negative/guardrail evidence only; no source copying; evidence/reference/independent rederivation only,low,n/a,high,reviewed
ultimate-63,FP-M0006,n/a,CG-FP-ACCOUNT-DNS-Persist-master,DNS-Persist-master,surface accountability,complete donor subtree accountability: @root,recursively bounded donor subtree,evidence/accountability,accountability bundle; independent semantic values are split into fine records,.gitignore,d947439bc814849a5324c22f9bb4445144cb90cb89c5b597b7b978e420fe9ed6,n/a,evidence classification,custom:subtree-accountability,reference-only,"All surfaces in this bounded subtree were recursively inventoried and reviewed for implementation, operational, product, deployment, test, generated, vendored, documentation and negative-evidence value. This accountability record does not imply source reuse or behavioral equivalence.",n/a,n/a,every descendant surface remains hash-accounted and eligible for narrower semantic extraction,module-level accountability must never be used as a substitute for a fine-grained adoption decision,n/a,n/a,n/a,"MIT; permissive source eligible for comparison/adaptation, but target-native authority and correctness gates still apply",low,n/a,high,reviewed
ultimate-63,FP-M0007,n/a,CG-FP-ACCOUNT-Go-netowrking-tools-main,Go-netowrking-tools-main,surface accountability,complete donor subtree accountability: @root,recursively bounded donor subtree,evidence/accountability,accountability bundle; independent semantic values are split into fine records,HTTP-CLIENTS-REMOTE-INTERACTIONS/cmd/httpApiCall/main.go,3176aedf1581e2fd2050e187e9ed7e244b59a7bfa74825469fe7320d431a7294,n/a,evidence classification,custom:subtree-accountability,reference-only,"All surfaces in this bounded subtree were recursively inventoried and reviewed for implementation, operational, product, deployment, test, generated, vendored, documentation and negative-evidence value. This accountability record does not imply source reuse or behavioral equivalence.",n/a,n/a,every descendant surface remains hash-accounted and eligible for narrower semantic extraction,module-level accountability must never be used as a substitute for a fine-grained adoption decision,n/a,n/a,n/a,no explicit license; no direct source reuse; concepts/negative evidence/reference only,low,n/a,high,reviewed
ultimate-63,FP-M0008,n/a,CG-FP-ACCOUNT-GodMode-main,GodMode-main,surface accountability,complete donor subtree accountability: @root/@direct,recursively bounded donor subtree,evidence/accountability,accountability bundle; independent semantic values are split into fine records,.env.example,689b12cf00e7798fdc5e817046276ae1fbde59886dcedafa8c50c45d912d26c4,n/a,evidence classification,custom:subtree-accountability,reference-only,"All surfaces in this bounded subtree were recursively inventoried and reviewed for implementation, operational, product, deployment, test, generated, vendored, documentation and negative-evidence value. This accountability record does not imply source reuse or behavioral equivalence.",n/a,n/a,every descendant surface remains hash-accounted and eligible for narrower semantic extraction,module-level accountability must never be used as a substitute for a fine-grained adoption decision,n/a,n/a,n/a,"MIT; permissive source eligible for comparison/adaptation, but target-native authority and correctness gates still apply",low,n/a,high,reviewed
ultimate-63,FP-M0009,n/a,CG-FP-ACCOUNT-GodMode-main,GodMode-main,surface accountability,complete donor subtree accountability: .github,recursively bounded donor subtree,evidence/accountability,accountability bundle; independent semantic values are split into fine records,.github/ISSUE_TEMPLATE/bug_report.md,305c914a2567e5de0797e7e9d89fa710d964421a0f247188ee452c493499d45d,n/a,evidence classification,custom:subtree-accountability,reference-only,"All surfaces in this bounded subtree were recursively inventoried and reviewed for implementation, operational, product, deployment, test, generated, vendored, documentation and negative-evidence value. This accountability record does not imply source reuse or behavioral equivalence.",n/a,n/a,every descendant surface remains hash-accounted and eligible for narrower semantic extraction,module-level accountability must never be used as a substitute for a fine-grained adoption decision,n/a,n/a,n/a,"MIT; permissive source eligible for comparison/adaptation, but target-native authority and correctness gates still apply",low,n/a,high,reviewed
ultimate-63,FP-M0010,n/a,CG-FP-ACCOUNT-GodMode-main,GodMode-main,surface accountability,complete donor subtree accountability: assets,recursively bounded donor subtree,evidence/accountability,accountability bundle; independent semantic values are split into fine records,assets/assets.d.ts,b5eb540bdf0b630b0cea4b8fd43ebbfc5d7c8596ea7fd27b234508bd5dec1233,n/a,evidence classification,custom:subtree-accountability,reference-only,"All surfaces in this bounded subtree were recursively inventoried and reviewed for implementation, operational, product, deployment, test, generated, vendored, documentation and negative-evidence value. This accountability record does not imply source reuse or behavioral equivalence.",n/a,n/a,every descendant surface remains hash-accounted and eligible for narrower semantic extraction,module-level accountability must never be used as a substitute for a fine-grained adoption decision,n/a,n/a,n/a,"MIT; permissive source eligible for comparison/adaptation, but target-native authority and correctness gates still apply",low,n/a,high,reviewed
