path,change_type,accountability_class,second_order_record_ids,source_peer_record_ids,reason,verification_node,peer_converged_sha256,current_sha256
Makefile,modified,verification-wiring,n/a,n/a,Add remote-action and second-order convergence audits to the canonical repository verification path.,Makefile,1df0b520b2eaef548ad3a74b1d0dc1962bef4aec7ba375e0cd8ac183814b4ca3,71c2d3592b640e1e583895a68f51ecd4919ac85ba6d8acf3139ba2424053e5b6
deploy/templates/telegram-bot/bot.py,modified,target-repair,SO-SEM001;SO-SEM002,SEM055;SEM095,Apply the remote-action replay contract to the deployment bot Cloudflare SSL mutation.,deploy/templates/telegram-bot/remote_action_test.py,42e9b2aa10063e0f5fd3de812aaa9a5c4bca2bf7f46353510b75645a2d11c0f2,5d7c6836f401aebecf482c40a3eef12d9eaf8ebb7d099f778afc326e70da5409
deploy/templates/telegram-bot/remote_action.py,added,target-repair,SO-SEM001;SO-SEM002,SEM055;SEM095,Apply the remote-action replay contract to the deployment bot Cloudflare SSL mutation.,deploy/templates/telegram-bot/remote_action_test.py,n/a,6512f30679f6f1bcd66fe7777508cf5da8caa027b8180663f2c6b77d82325352
deploy/templates/telegram-bot/remote_action_test.py,added,target-repair,SO-SEM001;SO-SEM002,SEM055;SEM095,Apply the remote-action replay contract to the deployment bot Cloudflare SSL mutation.,deploy/templates/telegram-bot/remote_action_test.py,n/a,af4781ce43c3871ea2b656b5c2781f81d8e547754e540b632e25c55323a3e166
governance/convergence/remote-http-actions.csv,added,governance-verification,SO-SEM001;SO-SEM002,SEM055;SEM095,Maintain a bidirectional registry/audit denominator for daemon remote HTTP actions and replay safety classes.,scripts/checks/check_remote_http_actions.py,n/a,2760f3dc99e30bcd4417073bac42c34d32bb73083b5e0434acef91575fcdaa6a
governance/convergence/second-order-adoption-ledger.csv,added,governance-evidence,SO-SEM001;SO-SEM002;SO-SEM003;SO-SEM004;SO-SEM005;SO-SEM006;SO-SEM007;SO-SEM008;SO-SEM009;SO-SEM010,SEM013;SEM014;SEM015;SEM023;SEM025;SEM041;SEM043;SEM055;SEM088;SEM095;SEM102;SEM105,"Record second-order donor promotions, retained rejections, and validation without rewriting first-pass evidence.",governance/convergence/second-order-validation.md,n/a,8b41b0bd8d660dc3b42e5def800a3eef8fa6b4923b577726c0e3a2bca1fa651c
governance/convergence/second-order-baseline-files.csv,added,baseline-evidence,n/a,n/a,Pin every file/symlink from the immutable peer-converged starting tree so second-order omission checks are exact.,scripts/checks/check_second_order_convergence.py,n/a,46ce7f91164c4f088fbe535547b1c56bf5cd35432ec362026565e1cad414ee44
governance/convergence/second-order-target-repairs.csv,added,governance-evidence,SO-SEM001;SO-SEM003,SEM055;SEM023,Keep target-local defects separate from donor provenance.,governance/convergence/second-order-target-repairs.csv,n/a,d256f6d73f705cf924ac4e5b5dbf2347cfb1a689ad855fe278437722daeae14d
governance/convergence/second-order-validation.md,added,governance-evidence,SO-SEM001;SO-SEM002;SO-SEM003;SO-SEM004;SO-SEM005;SO-SEM006;SO-SEM007;SO-SEM008;SO-SEM009;SO-SEM010,SEM013;SEM014;SEM015;SEM023;SEM025;SEM041;SEM043;SEM055;SEM088;SEM095;SEM102;SEM105,"Record second-order donor promotions, retained rejections, and validation without rewriting first-pass evidence.",governance/convergence/second-order-validation.md,n/a,b2b0d6a7ccdfcfd470f8447d988d6fe4ec05e227c92a86a22688b42654db0735
governance/topology/relocations.json,modified,topology-governance,n/a,n/a,Authorize the reviewed Telegram template hardening in the immutable topology accounting model.,scripts/checks/verify_repository_topology.py,fbadfd7c4e6222417fcd12193af1c6a0a32f62a2911fa0d935dd62ecfff8a5c8,e4aebf7104ea25a98c6df3216ccfe31f3b2e9922560fe231dff8a45228dd98da
