record_id,donor,value_unit,source_path,disposition,target_nodes,negative_invariant
PR235-S016,dns_blocklists,DNS rebind-protection category,adguard/dns-rebind-protection.txt,hardened,src/apps/daemon/internal/analysis/diagnostics/post_refactor_235_plans.go,category cannot silently rewrite runtime DNS
PR235-S017,dns_blocklists,allowlist/exception precedence,.github/ISSUE_TEMPLATE/allowlist-request.yml,hardened,src/apps/daemon/internal/analysis/diagnostics/post_refactor_235_plans.go,allow exceptions never disappear in flattening
PR235-S018,dns_blocklists,native platform tracker categories,rpz/native.apple.txt,reference-only,governance/convergence/post-refactor-235-semantic-ledger.csv,taxonomy is not a claim that domains are malicious
PR235-S019,dns_blocklists,Apple Private Relay allow/block policy evidence,share/apple-private-relay.txt,reference-only,governance/convergence/post-refactor-235-security-model.md,no hidden default chosen from donor popularity
PR235-S020,kingo_vpn,bounded parallel server scan progress,Android/app/src/main/java/com/kingo/vpn/ScanServersDialog.java,reference-only,src/packages/control-ui/src/pages/Operations.tsx,fixed donor worker pool is not runtime authority
PR235-S021,kingo_vpn,pause/stop/stale-scan generation semantics,Android/app/src/main/java/com/kingo/vpn/ScanServersDialog.java,hardened,src/apps/daemon/internal/analysis/diagnostics/post_refactor_235_plans.go,late results from superseded generations must not become current
PR235-S022,kingo_vpn,clipboard/manual config import affordance,Android/app/src/main/java/com/kingo/vpn/AddServerDialog.java,superseded,src/apps/daemon/internal/workflows,clipboard input never bypasses managed-profile validation
PR235-S023,kingo_vpn,remote update/server-feed authority,Android/app/src/main/java/com/kingo/vpn/UpdateChecker.java,rejected-with-reason,src/apps/daemon/internal/foundation,unsigned/unpinned feed data is never authoritative
PR235-S024,mitmproxy2swagger,HAR versus mitm capture format detection,mitmproxy2swagger/mitmproxy2swagger.py,hardened,src/apps/daemon/internal/analysis/diagnostics/post_refactor_234_plans.go,active MITM capture is not introduced
PR235-S027,mitmproxy2swagger,response status/content-type union,mitmproxy2swagger/har_capture_reader.py,hardened,src/apps/daemon/internal/analysis/diagnostics/post_refactor_234_plans.go,schema inference cannot claim unobserved response behavior
PR235-S028,mitmproxy2swagger,form/multipart/message-body schema evidence,testdata/form_data_har.har,reference-only,governance/convergence/post-refactor-235-semantic-ledger.csv,fixture coverage is not runtime equivalence
PR235-S029,mitmproxy2swagger,interception CA/runtime capture,mitmproxy2swagger/mitmproxy2swagger.py,rejected-with-reason,src/apps/daemon/internal/analysis/diagnostics/post_refactor_234_plans.go,"no CA installation, interception, replay, or proxy authority"
PR235-S033,outline_apps,TCP plus UDP/DNS connectivity probes,client/go/outline/connectivity/connectivity.go,hardened,src/apps/daemon/internal/analysis,probe failure cannot silently rewrite routing
PR235-S034,outline_apps,config registry block/proxyless/SS/WebSocket variants,client/go/outline/configregistry/utf8.go,superseded,src/apps/daemon/internal,donor config registry is not imported as second registry
PR235-S035,outline_apps,Windows service/VPN process authority,client/electron/vpn_service.ts,superseded,src/apps/daemon/internal/runtime,no duplicate service install/start authority
PR235-S036,outline_tun2socks_demo,Android tun2socks demo lifecycle,app/src/main/java/app/hankdev/outline/demo/OutlineVpnService.kt,superseded,src/apps/daemon/internal,demo AAR/runtime is not embedded as second tunnel
PR235-S037,outline_tun2socks_demo,bundled tun2socks binary/AAR,app/libs/tun2socks.aar,rejected-with-reason,governance/convergence/post-refactor-235-security-model.md,binary provenance never grants execution authority
PR235-S038,proofmode_android,hash/signature evidence status,android-libproofmode/src/main/java/org/witness/proofmode/crypto/HashUtils.java,hardened,src/apps/daemon/internal/analysis/diagnostics/post_refactor_235_plans.go,unknown never counts as complete
PR235-S040,proofmode_android,OpenTimestamps external timestamp evidence,android-opentimestamps/build.gradle,reference-only,src/apps/daemon/internal/analysis/diagnostics/post_refactor_235_plans.go,no external calendar/Bitcoin network call is made
PR235-S041,proofmode_android,C2PA trust/metadata evidence,android-libproofmode/src/main/java/org/witness/proofmode/c2pa/C2PAManager.kt,hardened,src/apps/daemon/internal/analysis/diagnostics/post_refactor_235_plans.go,metadata presence cannot imply consent or authenticity
PR235-S042,proofmode_android,GPS/device metadata collection,android-libproofmode/src/main/java/org/witness/proofmode/c2pa/GPSTracker.java,rejected-with-reason,src/apps/daemon/internal/analysis/diagnostics/post_refactor_235_plans.go,no host sensor/location collection
PR235-S043,proofmode_android,media watcher/storage authority,android-libproofmode/src/main/java/org/witness/proofmode/service/MediaWatcher.kt,rejected-with-reason,governance/convergence/post-refactor-235-security-model.md,no filesystem watcher or media mutation
PR235-S045,tor_metrics_library,relay flags/status evidence,src/main/java/org/torproject/descriptor/RouterStatusEntry.java,hardened,src/apps/daemon/internal/analysis/diagnostics/post_refactor_235_plans.go,flags do not grant trust or selection authority
PR235-S050,tor_metrics_library,descriptor fetching/parser runtime,src/main/resources/examples/DownloadConsensuses.java,rejected-with-reason,src/apps/daemon/internal/analysis/diagnostics/post_refactor_235_plans.go,no descriptor fetch/control/network activity
PR235-S051,tor_atlas,relay search/filter affordance,js/views/search/do.js,reference-only,src/packages/control-ui/src/pages/Operations.tsx,historical Atlas UI is not routing authority
