group_id,domain,donors,target_owner,decision,reason
CG-FP-MUTATION-COORDINATION,remote mutation resilience,firewalla-master;unique-queue-master;caddy-master,foundation/remoteaction,provider-scoped cooldown + bounded in-flight gate + jittered local backoff; safety-class/idempotency authority retained,"Combines retry-memory, resource-bound and negative dedup evidence without creating provider-specific executors."
CG-FP-DNS-RESILIENCE,DNS resilience,coredns-master;dns-over-https-proxy-master;godnsagent-master(1);AgentDNS-main,networking/dns,"existing bounded cache, coalescing, failure-aware stale policy and admission remain authoritative",CoreDNS shed re-reviewed; no uncovered runtime bottleneck justifies a second admission controller.
CG-FP-RUNTIME-DESIRED-STATE,runtime supervision,Se7en-Pro-1.0.0;InviZible-master,runtime supervisor + service-owned refresh schedulers,existing stable-ready/backoff/reconciliation owners retained,No duplicate WorkManager or process authority.
CG-FP-HOST-NETWORK,host-network mutation,sysproxy-main;BWLimiter-main;Se7en-Pro-1.0.0;InviZible-master;firewalla-master,platform/system host-network transaction owner,snapshot/apply/verify/rollback remains single authority; dormant traffic shaper stays retired,Prevents split-brain host qdisc/proxy ownership.
CG-FP-WARP,WARP quality,BPB-Warp-Scanner-main;vps-warp-main(1);firewalla-master,runtime/warp,"bounded repeated handshakes, loss/median RTT ranking and noise bounds retained",No second scanner or installer.
CG-FP-DIAGNOSTICS,network diagnostics/scanning,defyxVPN-main(1);Go-netowrking-tools-main;Subnet-Divider-main;lossyconn-master,analysis/scanner + networking/speedtest,latency/jitter/loss/stability and scanner planning retained,Diagnostic evidence stays advisory and bounded.
CG-FP-ENTITLEMENT,operator entitlement evidence,Marzban-master;3xui-telegram-bot-main;eve-xui-manager-main;zeus-main(1),profile entitlement projection,quota/expiry derived view retained; user/billing authorities rejected,"Operator state is advisory, never connectivity authorization."
CG-FP-PROXY-EVASION,proxy/evasion,GoodbyeDPI-master;ev-master_(1);nahan-main(1);bia-pain-bache-main;V2RayN-PRO-main(1);v2rayng-panel-main(1);Serverless-for-Iran-main;incy-platforms-main;Proxy-client-collection-main;snowbox-master,runtime/proxy + evasion owners,existing target-native proxy/evasion/profile owners retained,Peer configs and packet tricks remain evidence/presets unless they beat current invariants.
CG-FP-TOR,Tor routing,Auto_Tor_IP_changer-master(2);torrequest-master;InviZible-master,canonical Tor owner,existing bounded Tor integration retained,No independent IP-rotation loop or second controller.
CG-FP-DEPLOYMENT,deployment/process ownership,x-ui-pro-master;V2ray-for-Doprax-main(1);GodMode-main;gologin-main,target deployment + process supervisor,unsafe/no-license root mutation installers remain guardrails/reference,No remote-script/root-mutation plane is imported.
CG-FP-CRYPTO-DATA,crypto/geodata,openssl-cffi-master;sing-geoip-main;sing-geosite-main,native crypto + geodata owners,existing high-assurance owners retained,No parallel crypto or generated-data source of truth.
CG-FP-SAFETY-VETO,negative security evidence,DNS-Persist-master;ftpscan-master;InterceptSuite-main,security guardrails only,"persistence C2, FTP bounce and interception capabilities remain rejected",Negative evidence may strengthen tests/guardrails but cannot become production capability.
CG-FP-LIVE-CONFIG-AUTHORITY,live configuration authority,caddy-master;Marzban-master;eve-xui-manager-main;zeus-main(1),foundation/config + adapters/api,Caddy conditional mutation invariant promoted to live canonical owner with durable generation and secret transaction,Dormant platform/system Caddy manager remains reference; no second settings/billing DB.
CG-U-FILE-WATCH,filesystem observation,fswatch-main,platform/system.ConfigWatcher + runtime/proxy.ConfigWatcher adapter,independently rederive atomic-replacement-safe exact-path observation; do not grant watcher runtime reconciliation authority,preserves useful event semantics while keeping durable config/runtime ownership separate
CG-U-TOR-PT,Tor client pluggable transports,ptnettools-main;torget-main;tor.rb-master,runtimecore Tor engine + platform/system TorConfigBuilder,"registered obfs4/Snowflake/WebTunnel client transports with bounded torrc syntax, narrow flags and preflight","absorbs client-side PT/circuit evidence without importing Shadow/server tooling, downloaders, or arbitrary process authority"
CG-U-ENCRYPTED-DNS,DNS privacy,dns_over_tls_over_tor-master;tor.rb-master,networking/dns.Resolver + Tor exit diagnostic,"authenticated DoH/DoT, optional SOCKS/Tor path, fail-closed proxy admission",replaces external proxychains/stubby composition with one bounded native resolver contract
CG-U-ENDPOINT-QUALITY,endpoint intelligence,mullvad-closest-main;RealiTLScanner-main,runtime/proxy NodeLatencyTester + scanner TLS evidence,extract loss/median/jitter and TLS certificate evidence as non-authoritative primitives,strong evidence is useful now; routing promotion waits for a live owner and comparative measurements
CG-U-FIREWALL-AUTHORITY,privileged host network mutation,iptables-mod-randmap-master;mullvad-proxy-main;MullvadVPN-Tricks-main,platform/system HostNetworkChange,retain peer firewall/kill-switch patterns as guardrails only,raw iptables/UFW/pkill mechanisms would duplicate transactional host-network/runtime authority
CG-U-TOR-SERVER-ROLE,Tor server/relay lifecycle,tor-relay-bootstrap-master;tor_box-master;the-onion-diaries-master,runtimecore Tor client engine (role boundary),reference/reject server relay/bootstrap authority,peer server roles do not match LumiNet client runtime and require separate root/firewall/deployment ownership
CG-U-GENERIC-PROXY,generic proxy exposure,php-proxy-app-master;mullvad-proxy-main,typed authenticated LumiNet proxy/API routes,reject open/generic arbitrary-destination compatibility proxy,prevents SSRF/open-proxy authority expansion
CG-U-DEPLOYMENT-LIFECYCLE,ephemeral deployment lifecycle,smart-vpn-ec2-manager-main;fptn-manager-master,existing typed job/provisioning surfaces; reference only,retain bounded-lease/auto-stop lesson without hard-coded cloud/root managers,"deployment identity, lease and rollback need explicit target authority before promotion"
CG-U-PRIVACY-REFERENCE,privacy product surfaces,mullvad-browser-main;aces-main;bldfrm-vpn-main,n/a,reference-only evidence,"browser fingerprinting, custom encrypted evidence formats and promotional claims do not map to current executable LumiNet ownership"
CG-U-EVASION-REFERENCE,evasion transport experimentation,fptn-manager-master;ptnettools-main,existing evasion/Tor transport owners,extract only mechanisms with a natural target owner; root manager/server experiment surfaces remain reference,avoids parallel deployment or transport authority
CG-U-SIDE-EFFECT-GUARDRAILS,queued consequential side effects,onionsphinkter-production,foundation/remoteaction + typed jobs,retain weak-auth/unbounded queue as a negative replay/authority guardrail,"queue uniqueness does not establish idempotency, authorization, or safe hardware side-effect replay"
