plane,representative_donors,evidence_paths,evidence_sha256,current_target_owner,disposition,decision_rationale,invariant,residual_gap,validation_status
remote mutation coordination,firewalla-master;unique-queue-master,firewalla-master:util/requestWrapper.js;unique-queue-master:queue.go,67416fe9d8bea2a38a7a2628f269f3cc52b4d2b985eea6d3fa85ee19619f17b5;5246321b08dac33ed3922d364dbc5a1466b1e02cda5b7f07d1155f8f5d6a67bc,src/apps/daemon/internal/foundation/remoteaction/remoteaction.go,adopted-and-hardened,"Provider-scoped cooldown, bounded in-flight coordination, capacity fail-closed behavior and jittered local backoff now live in the canonical mutation executor; unique-queue evidence becomes a no-payload-blind-dedup guardrail.","retry timing/capacity may be shared by provider scope, but replay/coalescing authority remains action safety class plus explicit reconciliation",No known final-pass gap; provider-specific scopes must be declared by new mutation integrations.,verified
canonical live configuration authority,caddy-master,caddy-master:caddy.go;caddy-master:admin_test.go,cf9e366d67c9367bb77a0ab48595533492fb526bac289ec0985cd21d54b6a823;5e6de84c4897b215c81028242cd298bf14e01954f3d9e7a2f23ee03fcc4ba3be,src/apps/daemon/internal/foundation/config/config.go;src/apps/daemon/internal/adapters/api/config_mutation.go,promoted-and-hardened,"Caddy conditional mutation semantics were promoted out of a dormant compatibility manager into LumiNet’s actual durable config owner and every live HTTP config writer, then strengthened with durable generations and cross-store secret copy-on-write.",one durable config generation and one secret-aware commit boundary own mutation; stale writers cannot overwrite newer state,No known live config writer bypasses the Manager CAS path.,verified
DNS server/plugin runtime and load shedding,coredns-master,coredns-master:plugin/shed/shed.go,32577b25d8d0d2144bb63a357f6963aaaa9adfe8f4295251ca58f5eac0c03b82,src/apps/daemon/internal/networking/dns/dnsproxy.go;src/apps/daemon/internal/networking/dns/dohcache.go,superseded-by-bounded-target-owners,"CoreDNS exposes a powerful general plugin/runtime and shed mechanism. LumiNet already has narrower product-specific rate limiting, duplicate suppression, bounded/coalesced DoH refresh and cache ownership; another admission/plugin authority would add complexity without a measured uncovered bottleneck.","DNS admission, cache and retry bounds remain singular target owners",Revisit only if profiling identifies a concrete uncovered write/concurrency bottleneck.,reviewed
Unix firewall / DNS leak / broad network policy,InviZible-master;firewalla-master,InviZible-master:tordnscrypt/src/main/java/pan/alexander/tordnscrypt/iptables/ModulesIptablesRules.java;firewalla-master:alarm/PolicyManager2.js,0d4d57193b210ceefb1339be16c26dcc9b33c938f73043ebfdd1555627307075;f95799790775e851df15d42da3ece8fe631509aaaf8c1a8f817f9501cd6902b7,src/apps/daemon/internal/platform/system/firewall_unix.go;src/apps/daemon/internal/platform/system/host_network.go,guardrail-deferred,Peer firewall engines are broad and privileged. Importing their iptables/policy machinery would bypass LumiNet’s durable snapshot/apply/verify/recover/rollback host-network transaction. Unix DNS-leak protection therefore remains truthfully unsupported until modeled transactionally.,no privileged host-network mutation may bypass the canonical transaction owner,"Unix DNS-leak protection is intentionally unsupported; implementing it requires a reversible HostNetworkChange, not raw peer rules.",verified
always-on IDS/alarm policy,firewalla-master,firewalla-master:net2/BroDetect.js;firewalla-master:alarm/PolicyManager2.js,be6dc287a7ae99dd10ed0189a05721abe200741156973640fad8ddbb47978740;f95799790775e851df15d42da3ece8fe631509aaaf8c1a8f817f9501cd6902b7,n/a,reference-only-outside-current-product-role,"Firewalla’s IDS/alarm subsystem would introduce a new always-on packet-observation, data-retention and policy authority with a materially different product/privacy role. No isolated primitive currently beats LumiNet’s existing diagnostics sufficiently to justify that expansion.",diagnostics must not silently become surveillance or persistent policy authority,No general IDS plane in LumiNet; this is an explicit product-scope omission rather than missed code.,reviewed
inbound reverse proxy / load balancer,caddy-master,caddy-master:modules/caddyhttp/reverseproxy/reverseproxy.go,133c8e64eab23d36510cd64da86232baa29c9cd0c57b5b57153ee3006f206a63,n/a,reference-only-role-mismatch,Caddy’s inbound reverse-proxy/load-balancer is excellent but serves a different responsibility from LumiNet’s outbound client proxy/tunnel runtime. Porting it would create an inbound application-server product surface rather than strengthen an existing owner.,do not call role-mismatched mechanisms superseding implementations merely because both contain the word proxy,No inbound general-purpose reverse-proxy product plane is claimed.,reviewed
automatic inbound TLS certificate management,caddy-master,caddy-master:modules/caddytls/automation.go,5443124e7cd096debdec0852eb0d5a62970fd5cb6c528af9e899f9a3feec2a9e,n/a,reference-only-role-mismatch,"Caddy TLS automation belongs to an internet-facing server lifecycle. LumiNet does not currently own that server/certificate product role, so adopting ACME issuance/storage/renewal would expand authority without a consuming surface.",certificate automation must have a concrete serving authority and secret lifecycle before adoption,No general inbound ACME/certificate-serving plane is claimed.,reviewed
service desired-state scheduling and restart recovery,InviZible-master,InviZible-master:tordnscrypt/src/main/java/pan/alexander/tordnscrypt/settings/dnscrypt_rules/remote/UpdateRemoteRulesWorkManager.kt,d4c80bcf54ca5a30773fa49c26bf70e7d1124b5c17889b98245a7dc8611c968d,src/apps/daemon/internal/integrations/sub/profile_service.go;src/apps/daemon/internal/platform/system/process_supervisor.go,superseded-by-target-native-owners,"InviZible’s unique-work/reconciliation semantics remain valuable, but LumiNet already owns periodic profile refresh and process supervision with stable-ready/backoff/recovery semantics. A second generic WorkManager would split scheduling authority.",one owner per durable schedule/process lifecycle; reconcile desired versus actual without duplicate workers,No generic job scheduler is added; add one only when multiple independent durable workflows require a shared persisted queue.,reviewed
panel user/billing/quota databases,Marzban-master;eve-xui-manager-main,Marzban-master:app/db/models.py;eve-xui-manager-main:app.py,a9f2256b6bb5e240255b4c92e8cbdd254318b14dc1dc2484b3ed845743988da8;5455bb71c7234ca48c30e8ca21d54f1d491f87d87615d15e18ba080df7538ac1,src/apps/daemon/internal/integrations/sub/profile_entitlement.go,decomposed-and-recomposed,"Panel peers contain full user, billing, node and quota authorities. LumiNet extracted only the operator-useful entitlement projection—quota/expiry/exhaustion evidence—without importing a second user/billing database or allowing provider metadata to authorize connectivity.","entitlement is advisory derived evidence, never authentication, billing or connectivity authority",No multi-tenant billing/user-management product plane is claimed.,verified
WARP endpoint quality / noise,BPB-Warp-Scanner-main,BPB-Warp-Scanner-main:core.go,b5527c4942262b2c5aace70b86cc8d33200edd37e41f72594b2d960f5b3d9e82,src/apps/daemon/internal/runtime/warp/warp_scanner.go;src/apps/daemon/internal/runtime/warp/noise.go,adapted-and-hardened,"WARP donor scanning concepts were rederived into bounded repeated handshakes, loss and median-RTT ranking, loss-first ordering and hard noise bounds, reusing LumiNet’s existing WARP owner.",quality measurement is bounded and advisory; noise generation cannot bypass runtime safety limits,No separate WARP scanner/installer authority remains necessary.,verified
