class,surface,count,disposition,authority,rationale,evidence,status
daemon-labs,labs/daemon/proxy,329,promoted,non-authoritative-lab,"Distinct dormant Go capabilities preserved, catalogued, and forbidden from live daemon imports.",labs/daemon/CAPABILITIES.csv; scripts/checks/repo_audit.py,verified
android-labs,labs/mobile/android,11,promoted,non-compiled-lab,Distinct Android porting fragments retained outside Gradle source sets with explicit promotion gates.,labs/mobile/fragments/CAPABILITIES.csv; scripts/checks/repo_audit.py,verified
desktop-labs,labs/desktop/legacy-client-ui,4,promoted,non-built-ui-lab,Distinct UI/design assets moved from documentation archive into governed Desktop Labs; supported frontend cannot import them.,labs/desktop/CAPABILITIES.csv; scripts/checks/repo_audit.py,verified
porting-evidence,docs/porting/archive,1,retained,reference-only,"Unique porting rationale, mappings, and implementation evidence remains useful for future targeted extraction.",docs/porting/archive/README.md; governance/convergence/adoption-ledger.csv,reviewed
excluded-peer-evidence,docs/excluded,1,retained,reference-only,Negative/counterexample evidence remains useful while being explicitly non-authoritative.,docs/excluded/README.md; governance/convergence/adoption-ledger.csv,reviewed
tpm-legacy-migration,apps/daemon/internal/crypto/tpm_legacy.go,1,retained,active-migration-compatibility,Current CLI migration safety; new legacy sealing disabled; migration lifecycle is tested.,HVC-TPM-LEGACY-RETAIN,reviewed
native-export-boundaries,"apps/daemon/internal/proxy/{package_exclusions.go,package_exclusions_jni.go,hysteria_binding.go}",3,retained,native-export-boundary,JNI/cgo entry points are externally entered and cannot be judged dead by Go caller counts.,wave24-diagnostics.json; HVC-NATIVE-* records,reviewed
refactor-source-archives,governance/topology/source-archive,47,retired,superseded,Duplicate source bytes retired after canonical owners were normalized to recorded baseline hashes.,governance/convergence/retirement-register.csv,verified
duplicate-root-parsers,server/internal/proxy/parser_*.go,13,retired,superseded,Exact duplicate parser implementations retired after normalized byte equivalence to proxyconfig owners.,governance/topology/relocations.json; HVC-PARSER-DUP-*,verified
completed-legacy-task-notes,"tasks/{plan.md,todo.md}",2,retired,superseded,"Completed plans with obsolete paths/build claims; lasting decisions captured by current roadmap, code/history, and convergence report.",governance/topology/relocations.json; HVC-TASK-*,reviewed
review-policy,governance/review-policy.md,1,retained,current-governance,Current evidence policy is not historical completion evidence and remains authoritative for review-stage claims.,governance/review-policy.md,reviewed
dated-audit-evidence,docs/audit,1,retained,historical-evidence,Dated audit artifacts retain traceability; current inventory is refreshed separately and historical snapshots are not rewritten.,docs/audit; docs/audit/current-inventory,reviewed
