source_wave,record_id,donor,donor_path,donor_hash_matches,target_nodes_current,test_nodes_current,stale_target_nodes,stale_test_nodes,final_status,value_unit,prior_disposition
eighth,E8-0001,firewalla-master,util/requestWrapper.js,true,true,true,n/a,n/a,verified-current,per-endpoint provider 429 cooldown remembered across independent calls,inspired-native
eighth,E8-0002,firewalla-master,test/test_request_wrapper.js,true,true,true,n/a,n/a,verified-current,endpoint-isolation rate-limit test oracle,adapted
eighth,E8-0003,coredns-master,plugin/cache/handler.go,true,true,true,n/a,n/a,verified-current,stale-answer window with refresh coordination and transient-error precedence,adapted
eighth,E8-0004,coredns-master,plugin/cache/cache.go,true,true,true,n/a,n/a,verified-current,bounded cache ownership and independent expiry,extracted
eighth,E8-0005,coredns-master,plugin/cache/prefetch_test.go,true,true,true,n/a,n/a,verified-current,single-key refresh suppression test principle,recomposed
eighth,E8-0006,Se7en-Pro-1.0.0,PsiphonUI/Services/SingBoxTunManager.cs,true,true,true,n/a,n/a,verified-current,stable-ready interval before restart-debt reset,adapted
eighth,E8-0007,Se7en-Pro-1.0.0,PsiphonUI/Services/SystemProxyService.cs,true,true,true,n/a,n/a,verified-current,system-proxy backup/restore around tunnel lifecycle,superseded
eighth,E8-0008,Se7en-Pro-1.0.0,PsiphonUI/Services/SecretStore.cs,true,true,true,n/a,n/a,verified-current,OS-backed secret storage boundary,superseded
eighth,E8-0009,InviZible-master,tordnscrypt/src/main/java/pan/alexander/tordnscrypt/modules/ModulesStateLoop.java,true,true,true,n/a,n/a,verified-current,periodic actual-vs-declared module-state reconciliation and command-hash no-op avoidance,guardrail-derived
eighth,E8-0010,InviZible-master,tordnscrypt/src/main/java/pan/alexander/tordnscrypt/settings/dnscrypt_rules/remote/UpdateRemoteRulesWorkManager.kt,true,true,true,n/a,n/a,verified-current,unique periodic work ownership with exponential backoff and resource constraints,superseded
eighth,E8-0011,godnsagent-master(1),prefetcher.go,true,true,true,n/a,n/a,verified-current,cache prefetch based on observed hits,superseded
eighth,E8-0012,dns-over-https-proxy-master,cmd/dns-over-https-proxy/main.go,true,true,true,n/a,n/a,verified-current,ordered DNS/DoH fallback service,superseded
eighth,E8-0013,lossyconn-master,lossypacket.go,true,true,true,n/a,n/a,verified-current,loss/delay/jitter connection wrapper,superseded
eighth,E8-0014,sysproxy-main,sysproxy.cpp,true,true,true,n/a,n/a,verified-current,cross-platform system proxy mutation helper,superseded
eighth,E8-0015,openssl-cffi-master,openssl-cffi.py,true,true,true,n/a,n/a,verified-current,AES-ECB primitive via OpenSSL CFFI,superseded
eighth,E8-0016,sing-geoip-main,main.go,true,true,true,n/a,n/a,verified-current,GeoIP rule-set generation pipeline,superseded
eighth,E8-0017,sing-geosite-main,main.go,true,true,true,n/a,n/a,verified-current,Geosite rule-set generation pipeline,superseded
eighth,E8-0018,vps-warp-main(1),warp_install.sh,true,true,true,n/a,n/a,verified-current,WARP egress bootstrap recipe,superseded
eighth,E8-0019,unique-queue-master,queue.go,true,true,true,n/a,n/a,verified-current,deduplicating MPMC queue with append-only replay log,guardrail-derived
eighth,E8-0020,AgentDNS-main,app.py,true,true,true,n/a,n/a,verified-current,agent registry/discovery/status API,superseded
