target_capability,contributing_records,donors,dispositions,target_nodes,second_order_result
SOCKS5 target/reply framing,PR226-M124;PR226-F0713,tinytun,hardened,src/apps/daemon/internal/runtime/proxy/edge_dialer.go#encodeSOCKS5Target;src/packages/lumicore/src/transport/socks5_client.rs#encode_connect_address,many donor surfaces collapse into one existing/bounded target owner; duplicate runtime/write authority is forbidden
SSH authentication admission,PR226-M073;PR226-M074;PR226-M075;PR226-M076;PR226-M077;PR226-M078;PR226-F0432;PR226-F0433;PR226-F0434;PR226-F0435;PR226-F0436;PR226-F0437;PR226-F0438;PR226-F0439;PR226-F0440;PR226-F0441;PR226-F0442;PR226-F0443;PR226-F0444;PR226-F0445;PR226-F0446;PR226-F0447;PR226-F0448;PR226-F0449;PR226-F0450;PR226-F0451;PR226-F0452;PR226-F0453;PR226-F0454;PR226-F0455;PR226-F0456;PR226-F0457;PR226-F0458;PR226-F0459;PR226-F0460;PR226-F0461;PR226-F0462;PR226-F0463;PR226-F0464;PR226-F0465;PR226-F0466;PR226-F0467;PR226-F0468;PR226-F0469;PR226-F0470;PR226-F0471;PR226-F0472;PR226-F0473;PR226-F0474;PR226-F0475;PR226-F0476;PR226-F0477;PR226-F0478;PR226-F0479;PR226-F0480;PR226-F0481;PR226-F0482;PR226-F0483;PR226-F0484;PR226-F0485;PR226-F0486;PR226-F0487;PR226-F0488;PR226-F0489;PR226-F0490;PR226-F0491;PR226-F0492;PR226-F0493;PR226-F0494;PR226-F0495;PR226-F0496;PR226-F0497;PR226-F0498;PR226-F0499;PR226-F0500;PR226-F0501;PR226-F0502;PR226-F0503;PR226-F0504;PR226-F0505;PR226-F0506;PR226-F0507;PR226-F0508;PR226-F0509;PR226-F0510;PR226-F0511;PR226-F0512;PR226-F0513;PR226-F0514;PR226-F0515;PR226-F0516;PR226-F0517;PR226-F0518;PR226-F0519,ssh,hardened,src/apps/daemon/internal/runtime/proxy/ssh_tunnel.go#buildSSHAuthMethods,many donor surfaces collapse into one existing/bounded target owner; duplicate runtime/write authority is forbidden
Shadowsocks/SS2022 admission and runtime ownership,PR226-M002;PR226-M003;PR226-M012;PR226-M013;PR226-M014;PR226-M015;PR226-M016;PR226-M017;PR226-M018;PR226-M019;PR226-M020;PR226-M021;PR226-M022;PR226-M023;PR226-M024;PR226-M025;PR226-M026;PR226-M027;PR226-M028;PR226-M029;PR226-M030;PR226-M031;PR226-M032;PR226-M033;PR226-M034;PR226-M035;PR226-M036;PR226-M037;PR226-M038;PR226-M039;PR226-M040;PR226-M041;PR226-M042;PR226-M043;PR226-M044;PR226-M045;PR226-M046;PR226-M047;PR226-M048;PR226-M049;PR226-M050;PR226-M051;PR226-F0048;PR226-F0049;PR226-F0050;PR226-F0051;PR226-F0052;PR226-F0053;PR226-F0054;PR226-F0055;PR226-F0056;PR226-F0057;PR226-F0058;PR226-F0059;PR226-F0060;PR226-F0061;PR226-F0062;PR226-F0063;PR226-F0064;PR226-F0065;PR226-F0066;PR226-F0067;PR226-F0068;PR226-F0069;PR226-F0070;PR226-F0071;PR226-F0072;PR226-F0073;PR226-F0074;PR226-F0075;PR226-F0076;PR226-F0077;PR226-F0078;PR226-F0079;PR226-F0080;PR226-F0081;PR226-F0082;PR226-F0083;PR226-F0084;PR226-F0085;PR226-F0086;PR226-F0087;PR226-F0088;PR226-F0089;PR226-F0090;PR226-F0091;PR226-F0092;PR226-F0093;PR226-F0094;PR226-F0095;PR226-F0096;PR226-F0097;PR226-F0098;PR226-F0099;PR226-F0100;PR226-F0101;PR226-F0102;PR226-F0103;PR226-F0104;PR226-F0105;PR226-F0106;PR226-F0107;PR226-F0108;PR226-F0109;PR226-F0110;PR226-F0111;PR226-F0112;PR226-F0113;PR226-F0114;PR226-F0115;PR226-F0116;PR226-F0117;PR226-F0118;PR226-F0119;PR226-F0120;PR226-F0121;PR226-F0122;PR226-F0123;PR226-F0124;PR226-F0125;PR226-F0126;PR226-F0127;PR226-F0128;PR226-F0129;PR226-F0130;PR226-F0131;PR226-F0132;PR226-F0133;PR226-F0134;PR226-F0135;PR226-F0136;PR226-F0137;PR226-F0138;PR226-F0139;PR226-F0140;PR226-F0141;PR226-F0142;PR226-F0143;PR226-F0144;PR226-F0145;PR226-F0146;PR226-F0147;PR226-F0148;PR226-F0149;PR226-F0150;PR226-F0151;PR226-F0152;PR226-F0153;PR226-F0154;PR226-F0155;PR226-F0156;PR226-F0157;PR226-F0158;PR226-F0159;PR226-F0160;PR226-F0161;PR226-F0162;PR226-F0163;PR226-F0164;PR226-F0165;PR226-F0166;PR226-F0167;PR226-F0168;PR226-F0169;PR226-F0170;PR226-F0171;PR226-F0172;PR226-F0173;PR226-F0174;PR226-F0175;PR226-F0176;PR226-F0177;PR226-F0178;PR226-F0179;PR226-F0180;PR226-F0181;PR226-F0182;PR226-F0183;PR226-F0184;PR226-F0185;PR226-F0186;PR226-F0187;PR226-F0188;PR226-F0189;PR226-F0190;PR226-F0191;PR226-F0192;PR226-F0193;PR226-F0194;PR226-F0195;PR226-F0196;PR226-F0197;PR226-F0198;PR226-F0199;PR226-F0200;PR226-F0201;PR226-F0202;PR226-F0203;PR226-F0204;PR226-F0205;PR226-F0206;PR226-F0207;PR226-F0208;PR226-F0209;PR226-F0210;PR226-F0211;PR226-F0212;PR226-F0213;PR226-F0214;PR226-F0215;PR226-F0216;PR226-F0217;PR226-F0218;PR226-F0219;PR226-F0220;PR226-F0221;PR226-F0222;PR226-F0223;PR226-F0224;PR226-F0225;PR226-F0226;PR226-F0227;PR226-F0228;PR226-F0229;PR226-F0230;PR226-F0231;PR226-F0232;PR226-F0233;PR226-F0234;PR226-F0235;PR226-F0236;PR226-F0237;PR226-F0238;PR226-F0239;PR226-F0240;PR226-F0241;PR226-F0242;PR226-F0243;PR226-F0244;PR226-F0245;PR226-F0246;PR226-F0247;PR226-F0248;PR226-F0249;PR226-F0250;PR226-F0251;PR226-F0252;PR226-F0253;PR226-F0254;PR226-F0255;PR226-F0256;PR226-F0257;PR226-F0258;PR226-F0259;PR226-F0260;PR226-F0261;PR226-F0262;PR226-F0263;PR226-F0264;PR226-F0265;PR226-F0266;PR226-F0267;PR226-F0268;PR226-F0269;PR226-F0270;PR226-F0271;PR226-F0272;PR226-F0273;PR226-F0274;PR226-F0275;PR226-F0276;PR226-F0277;PR226-F0278;PR226-F0279;PR226-F0280;PR226-F0281;PR226-F0282;PR226-F0283;PR226-F0284;PR226-F0285;PR226-F0286;PR226-F0287;PR226-F0288;PR226-F0289;PR226-F0290;PR226-F0291;PR226-F0292;PR226-F0293;PR226-F0294;PR226-F0295;PR226-F0296;PR226-F0297;PR226-F0298;PR226-F0299;PR226-F0300;PR226-F0301;PR226-F0302;PR226-F0303;PR226-F0304;PR226-F0305;PR226-F0306;PR226-F0307;PR226-F0308;PR226-F0309;PR226-F0310;PR226-F0311;PR226-F0312;PR226-F0313;PR226-F0314;PR226-F0315;PR226-F0316;PR226-F0317;PR226-F0318;PR226-F0319;PR226-F0320;PR226-F0321;PR226-F0322;PR226-F0323;PR226-F0324;PR226-F0325;PR226-F0326;PR226-F0327;PR226-F0328;PR226-F0329;PR226-F0330;PR226-F0331;PR226-F0332;PR226-F0333;PR226-F0334;PR226-F0335;PR226-F0336;PR226-F0337;PR226-F0338;PR226-F0339;PR226-F0340;PR226-F0341;PR226-F0342;PR226-F0343,shadowsocks-crypto;shadowsocks-rust,hardened,src/apps/daemon/internal/networking/proxyconfig/parser_ss.go#validateShadowsocks2022Key;src/apps/daemon/internal/runtime/proxy/core_manager.go#buildSingBoxOutbound,many donor surfaces collapse into one existing/bounded target owner; duplicate runtime/write authority is forbidden
TUN/process-routing runtime,PR226-M108;PR226-M109;PR226-M110;PR226-M111;PR226-M112;PR226-M113;PR226-M114;PR226-M115;PR226-M116;PR226-M117;PR226-M118;PR226-M119;PR226-M120;PR226-M121;PR226-M122;PR226-M123;PR226-M125;PR226-M126;PR226-M127;PR226-M128;PR226-F0678;PR226-F0679;PR226-F0680;PR226-F0681;PR226-F0682;PR226-F0683;PR226-F0684;PR226-F0685;PR226-F0686;PR226-F0687;PR226-F0688;PR226-F0689;PR226-F0690;PR226-F0691;PR226-F0692;PR226-F0693;PR226-F0694;PR226-F0695;PR226-F0696;PR226-F0697;PR226-F0698;PR226-F0699;PR226-F0700;PR226-F0701;PR226-F0702;PR226-F0703;PR226-F0704;PR226-F0705;PR226-F0706;PR226-F0707;PR226-F0708;PR226-F0709;PR226-F0710;PR226-F0711;PR226-F0712;PR226-F0714,tinytun,superseded,src/apps/daemon/internal/platform/system;src/packages/lumicore/src/transport,many donor surfaces collapse into one existing/bounded target owner; duplicate runtime/write authority is forbidden
Tailnet transactional change planning,PR226-M103;PR226-M104;PR226-M105;PR226-M106;PR226-F0670;PR226-F0671;PR226-F0672;PR226-F0673;PR226-F0674;PR226-F0675;PR226-F0676;PR226-F0677,tailscale-client,inspired-native,src/apps/daemon/internal/analysis/diagnostics/tailnet_transaction_plan.go#BuildTailnetTransactionPlan,many donor surfaces collapse into one existing/bounded target owner; duplicate runtime/write authority is forbidden
WebSocket backend readiness,PR226-M130;PR226-M131;PR226-M132;PR226-F0715;PR226-F0716;PR226-F0717;PR226-F0718;PR226-F0719;PR226-F0720;PR226-F0721;PR226-F0722,tools,inspired-native,src/apps/daemon/internal/analysis/diagnostics/websocket_readiness_plan.go#BuildWebSocketReadinessPlan,many donor surfaces collapse into one existing/bounded target owner; duplicate runtime/write authority is forbidden
WireGuard receiver-index/obfuscation policy,PR226-M140;PR226-M141;PR226-M142;PR226-M143;PR226-F0012;PR226-F0013;PR226-F0014;PR226-F0015;PR226-F0016;PR226-F0017;PR226-F0018;PR226-F0019;PR226-F0020;PR226-F0021;PR226-F0022;PR226-F0023;PR226-F0024;PR226-F0025;PR226-F0026;PR226-F0027;PR226-F0028;PR226-F0029;PR226-F0030;PR226-F0031;PR226-F0032;PR226-F0033;PR226-F0034;PR226-F0035;PR226-F0036;PR226-F0037,mwgp,guardrail-derived,src/apps/daemon/internal/analysis/diagnostics/wireguard_device_policy_plan.go#BuildWireGuardDevicePolicyPlan,many donor surfaces collapse into one existing/bounded target owner; duplicate runtime/write authority is forbidden
browser/native-host proxy handoff,PR226-M134;PR226-M135;PR226-F0001;PR226-F0002;PR226-F0003;PR226-F0004;PR226-F0005;PR226-F0006;PR226-F0007;PR226-F0008;PR226-F0009;PR226-F0010;PR226-F0011,browser-ext,inspired-native,src/apps/daemon/internal/analysis/diagnostics/browser_proxy_handoff_plan.go#BuildBrowserProxyHandoffPlan,many donor surfaces collapse into one existing/bounded target owner; duplicate runtime/write authority is forbidden
fail-closed proxy protocol dispatch,PR226-M005;PR226-M006;PR226-M007;PR226-M008;PR226-M009;PR226-M010;PR226-F0344;PR226-F0345;PR226-F0346;PR226-F0347;PR226-F0348;PR226-F0349;PR226-F0350;PR226-F0351;PR226-F0352;PR226-F0353;PR226-F0354;PR226-F0355;PR226-F0356;PR226-F0357;PR226-F0358;PR226-F0359;PR226-F0360;PR226-F0361;PR226-F0362;PR226-F0363;PR226-F0364;PR226-F0365;PR226-F0366;PR226-F0367,shadowsocksr,guardrail-derived,src/apps/daemon/internal/runtime/proxy/core_manager.go#buildSingBoxOutbound;src/apps/daemon/internal/runtime/proxy/core_manager.go#buildXrayOutbound,many donor surfaces collapse into one existing/bounded target owner; duplicate runtime/write authority is forbidden
gateway deployment composition planning,PR226-M145;PR226-M146;PR226-M148;PR226-F0038;PR226-F0039;PR226-F0040;PR226-F0041;PR226-F0042;PR226-F0043;PR226-F0044;PR226-F0045;PR226-F0046;PR226-F0047,paas-gateway;reverse-tls,recomposed,src/apps/daemon/internal/analysis/diagnostics/gateway_composition_plan.go#BuildGatewayCompositionPlan,many donor surfaces collapse into one existing/bounded target owner; duplicate runtime/write authority is forbidden
local rule-set normalization,PR226-M054;PR226-M057;PR226-M059;PR226-M060;PR226-M061;PR226-M062;PR226-M063;PR226-M064;PR226-M065;PR226-M071;PR226-M092;PR226-M093;PR226-M097;PR226-F0372;PR226-F0373;PR226-F0374;PR226-F0375;PR226-F0376;PR226-F0377;PR226-F0388;PR226-F0394;PR226-F0395;PR226-F0396;PR226-F0397;PR226-F0398;PR226-F0399;PR226-F0400;PR226-F0401;PR226-F0402;PR226-F0403;PR226-F0404;PR226-F0405;PR226-F0406;PR226-F0407;PR226-F0408;PR226-F0409;PR226-F0410;PR226-F0411;PR226-F0412;PR226-F0413;PR226-F0429;PR226-F0430;PR226-F0431;PR226-F0592;PR226-F0593;PR226-F0594;PR226-F0595;PR226-F0596;PR226-F0597;PR226-F0598;PR226-F0599;PR226-F0600;PR226-F0601;PR226-F0602;PR226-F0603;PR226-F0604;PR226-F0605;PR226-F0606;PR226-F0619;PR226-F0620;PR226-F0621;PR226-F0622;PR226-F0623,srsc;subconverter,adapted,src/apps/daemon/internal/analysis/diagnostics/local_ruleset_plan.go#BuildLocalRuleSetPlan,many donor surfaces collapse into one existing/bounded target owner; duplicate runtime/write authority is forbidden
subscription/rule conversion runtime,PR226-M053;PR226-M055;PR226-M056;PR226-M058;PR226-M066;PR226-M067;PR226-M068;PR226-M069;PR226-M070;PR226-M080;PR226-M081;PR226-M082;PR226-M083;PR226-M084;PR226-M085;PR226-M086;PR226-M087;PR226-M088;PR226-M089;PR226-M090;PR226-M091;PR226-M094;PR226-M095;PR226-M096;PR226-M098;PR226-M099;PR226-M100;PR226-M101;PR226-F0368;PR226-F0369;PR226-F0370;PR226-F0371;PR226-F0378;PR226-F0379;PR226-F0380;PR226-F0381;PR226-F0382;PR226-F0383;PR226-F0384;PR226-F0385;PR226-F0386;PR226-F0387;PR226-F0389;PR226-F0390;PR226-F0391;PR226-F0392;PR226-F0393;PR226-F0414;PR226-F0415;PR226-F0416;PR226-F0417;PR226-F0418;PR226-F0419;PR226-F0420;PR226-F0421;PR226-F0422;PR226-F0423;PR226-F0424;PR226-F0425;PR226-F0426;PR226-F0427;PR226-F0428;PR226-F0520;PR226-F0521;PR226-F0522;PR226-F0523;PR226-F0524;PR226-F0525;PR226-F0526;PR226-F0527;PR226-F0528;PR226-F0529;PR226-F0530;PR226-F0531;PR226-F0532;PR226-F0533;PR226-F0534;PR226-F0535;PR226-F0536;PR226-F0537;PR226-F0538;PR226-F0539;PR226-F0540;PR226-F0541;PR226-F0542;PR226-F0543;PR226-F0544;PR226-F0545;PR226-F0546;PR226-F0547;PR226-F0548;PR226-F0549;PR226-F0550;PR226-F0551;PR226-F0552;PR226-F0553;PR226-F0554;PR226-F0555;PR226-F0556;PR226-F0557;PR226-F0558;PR226-F0559;PR226-F0560;PR226-F0561;PR226-F0562;PR226-F0563;PR226-F0564;PR226-F0565;PR226-F0566;PR226-F0567;PR226-F0568;PR226-F0569;PR226-F0570;PR226-F0571;PR226-F0572;PR226-F0573;PR226-F0574;PR226-F0575;PR226-F0576;PR226-F0577;PR226-F0578;PR226-F0579;PR226-F0580;PR226-F0581;PR226-F0582;PR226-F0583;PR226-F0584;PR226-F0585;PR226-F0586;PR226-F0587;PR226-F0588;PR226-F0589;PR226-F0590;PR226-F0591;PR226-F0607;PR226-F0608;PR226-F0609;PR226-F0610;PR226-F0611;PR226-F0612;PR226-F0613;PR226-F0614;PR226-F0615;PR226-F0616;PR226-F0617;PR226-F0618;PR226-F0624;PR226-F0625;PR226-F0626;PR226-F0627;PR226-F0628;PR226-F0629;PR226-F0630;PR226-F0631;PR226-F0632;PR226-F0633;PR226-F0634;PR226-F0635;PR226-F0636;PR226-F0637;PR226-F0638;PR226-F0639;PR226-F0640;PR226-F0641;PR226-F0642;PR226-F0643;PR226-F0644;PR226-F0645;PR226-F0646;PR226-F0647;PR226-F0648;PR226-F0649;PR226-F0650;PR226-F0651;PR226-F0652;PR226-F0653;PR226-F0654;PR226-F0655;PR226-F0656;PR226-F0657;PR226-F0658;PR226-F0659;PR226-F0660;PR226-F0661;PR226-F0662;PR226-F0663;PR226-F0664;PR226-F0665;PR226-F0666;PR226-F0667;PR226-F0668;PR226-F0669,srsc;subconverter,superseded,src/apps/daemon/internal/analysis/diagnostics/local_ruleset_plan.go#BuildLocalRuleSetPlan,many donor surfaces collapse into one existing/bounded target owner; duplicate runtime/write authority is forbidden
worker affinity and recovery planning,PR226-M137;PR226-M138;PR226-F0723;PR226-F0724;PR226-F0725;PR226-F0726;PR226-F0727;PR226-F0728;PR226-F0729;PR226-F0730;PR226-F0731;PR226-F0732;PR226-F0733;PR226-F0734;PR226-F0735;PR226-F0736;PR226-F0737;PR226-F0738;PR226-F0739;PR226-F0740;PR226-F0741;PR226-F0742;PR226-F0743;PR226-F0744;PR226-F0745,tsheadroom,inspired-native,src/apps/daemon/internal/analysis/diagnostics/worker_affinity_plan.go#BuildWorkerAffinityPlan,many donor surfaces collapse into one existing/bounded target owner; duplicate runtime/write authority is forbidden
