group_id,domain,donors,target_owner,decision,reason
CG-FP-MUTATION-COORDINATION,remote mutation resilience,firewalla-master;unique-queue-master;caddy-master,foundation/remoteaction,provider-scoped cooldown + bounded in-flight gate + jittered local backoff; safety-class/idempotency authority retained,"Combines retry-memory, resource-bound and negative dedup evidence without creating provider-specific executors."
CG-FP-DNS-RESILIENCE,DNS resilience,coredns-master;dns-over-https-proxy-master;godnsagent-master(1);AgentDNS-main,networking/dns,"existing bounded cache, coalescing, failure-aware stale policy and admission remain authoritative",CoreDNS shed re-reviewed; no uncovered runtime bottleneck justifies a second admission controller.
CG-FP-RUNTIME-DESIRED-STATE,runtime supervision,Se7en-Pro-1.0.0;InviZible-master,runtime supervisor + service-owned refresh schedulers,existing stable-ready/backoff/reconciliation owners retained,No duplicate WorkManager or process authority.
CG-FP-HOST-NETWORK,host-network mutation,sysproxy-main;BWLimiter-main;Se7en-Pro-1.0.0;InviZible-master;firewalla-master,platform/system host-network transaction owner,snapshot/apply/verify/rollback remains single authority; dormant traffic shaper stays retired,Prevents split-brain host qdisc/proxy ownership.
CG-FP-WARP,WARP quality,BPB-Warp-Scanner-main;vps-warp-main(1);firewalla-master,runtime/warp,"bounded repeated handshakes, loss/median RTT ranking and noise bounds retained",No second scanner or installer.
CG-FP-DIAGNOSTICS,network diagnostics/scanning,defyxVPN-main(1);Go-netowrking-tools-main;Subnet-Divider-main;lossyconn-master,analysis/scanner + networking/speedtest,latency/jitter/loss/stability and scanner planning retained,Diagnostic evidence stays advisory and bounded.
CG-FP-ENTITLEMENT,operator entitlement evidence,Marzban-master;3xui-telegram-bot-main;eve-xui-manager-main;zeus-main(1),profile entitlement projection,quota/expiry derived view retained; user/billing authorities rejected,"Operator state is advisory, never connectivity authorization."
CG-FP-PROXY-EVASION,proxy/evasion,GoodbyeDPI-master;ev-master_(1);nahan-main(1);bia-pain-bache-main;V2RayN-PRO-main(1);v2rayng-panel-main(1);Serverless-for-Iran-main;incy-platforms-main;Proxy-client-collection-main;snowbox-master,runtime/proxy + evasion owners,existing target-native proxy/evasion/profile owners retained,Peer configs and packet tricks remain evidence/presets unless they beat current invariants.
CG-FP-TOR,Tor routing,Auto_Tor_IP_changer-master(2);torrequest-master;InviZible-master,canonical Tor owner,existing bounded Tor integration retained,No independent IP-rotation loop or second controller.
CG-FP-DEPLOYMENT,deployment/process ownership,x-ui-pro-master;V2ray-for-Doprax-main(1);GodMode-main;gologin-main,target deployment + process supervisor,unsafe/no-license root mutation installers remain guardrails/reference,No remote-script/root-mutation plane is imported.
CG-FP-CRYPTO-DATA,crypto/geodata,openssl-cffi-master;sing-geoip-main;sing-geosite-main,native crypto + geodata owners,existing high-assurance owners retained,No parallel crypto or generated-data source of truth.
CG-FP-SAFETY-VETO,negative security evidence,DNS-Persist-master;ftpscan-master;InterceptSuite-main,security guardrails only,"persistence C2, FTP bounce and interception capabilities remain rejected",Negative evidence may strengthen tests/guardrails but cannot become production capability.
CG-FP-LIVE-CONFIG-AUTHORITY,live configuration authority,caddy-master;Marzban-master;eve-xui-manager-main;zeus-main(1),foundation/config + adapters/api,Caddy conditional mutation invariant promoted to live canonical owner with durable generation and secret transaction,Dormant platform/system Caddy manager remains reference; no second settings/billing DB.
