donor,archive,archive_sha256,member_count,file_surfaces,directories,symbols,license,archive_issues,semantic_record_ids,disposition_summary
3xui-telegram-bot-main,3xui-telegram-bot-main.zip,aba0c1ac694e08186a17b9b4c412b2d3979cf0859f370d42a6246605620be778,39,32,7,210,MIT,"none (pre-extraction path, duplicate, case, device, symlink and expansion checks passed)",E9-0010;E9-0014,complete ninth-order evidence graph; every file surface and parsed symbol resolved
Auto_Tor_IP_changer-master(2),Auto_Tor_IP_changer-master(2).zip,2b14f6d735fa3932c25f779ebe5bb11f08294251ea14c709786484853e4080f3,4,3,1,2,no explicit license; exact-byte duplicate of sixth-order donor archive,"none (pre-extraction path, duplicate, case, device, symlink and expansion checks passed)",E9-0018,complete ninth-order evidence graph; every file surface and parsed symbol resolved
bia-pain-bache-main,bia-pain-bache-main.zip,d3df5220f6041ef7a0f6e2d1258e50292899dbc7073e6e8e938701966f1a884e,55,50,5,288,GPL-2.0; evidence/independent comparison only,"none (pre-extraction path, duplicate, case, device, symlink and expansion checks passed)",E9-0025,complete ninth-order evidence graph; every file surface and parsed symbol resolved
BPB-Warp-Scanner-main,BPB-Warp-Scanner-main.zip,bbad6899e5ca76685ef362a2facf19cdd88bedaa51d77af34f431c2bdc704d1b,17,14,3,65,"GPL-3.0; selected semantics independently rederived, no source copied","none (pre-extraction path, duplicate, case, device, symlink and expansion checks passed)",E9-0004;E9-0005,complete ninth-order evidence graph; every file surface and parsed symbol resolved
BWLimiter-main,BWLimiter-main.zip,e109e52d8743cdecd8fb14696f510e0fe7614a02f4788715151d76e74afbf7a6,9,7,2,157,no explicit license; negative/guardrail evidence only,"none (pre-extraction path, duplicate, case, device, symlink and expansion checks passed)",E9-0006,complete ninth-order evidence graph; every file surface and parsed symbol resolved
caddy-master,caddy-master.zip,dc21aecbfd41e950074fc80da603198cba5f8e14c0aa6445447e2838b4b7a5eb,688,627,61,3733,Apache-2.0,"none (pre-extraction path, duplicate, case, device, symlink and expansion checks passed)",E9-0001;E9-0002;E9-0003,complete ninth-order evidence graph; every file surface and parsed symbol resolved
defyxVPN-main(1),defyxVPN-main(1).zip,60c37bdee140394cf5bb7618a7e54917600946befda4b75fc7ac162002f2c33e,676,503,173,215,MIT,"none (pre-extraction path, duplicate, case, device, symlink and expansion checks passed)",E9-0007;E9-0008;E9-0009,complete ninth-order evidence graph; every file surface and parsed symbol resolved
ev-master (1),ev-master (1).zip,d936beca1266c8e4ab915732c05d89a515f4a5c50a3152c31f2e898060efb281,16,14,2,47,no explicit license; evidence only,"none (pre-extraction path, duplicate, case, device, symlink and expansion checks passed)",E9-0024,complete ninth-order evidence graph; every file surface and parsed symbol resolved
eve-xui-manager-main,eve-xui-manager-main.zip,e178da00b9d58f858132fceac6417f0a1b7905a53545c6ea645bf0892eff9ea2,103,91,12,2087,no explicit license; evidence only,"none (pre-extraction path, duplicate, case, device, symlink and expansion checks passed)",E9-0012;E9-0017,complete ninth-order evidence graph; every file surface and parsed symbol resolved
gologin-main,gologin-main.zip,da7b0d99e4ea62bf77c69f8083bd7cc301dba651ae4b680e97f02cf042d02d12,92,75,17,208,MIT,"none (pre-extraction path, duplicate, case, device, symlink and expansion checks passed)",E9-0027,complete ninth-order evidence graph; every file surface and parsed symbol resolved
GoodbyeDPI-master,GoodbyeDPI-master.zip,aa7901bb23afcc7fddb7cbf0157a5b52d952f18e3b87fbf7207a1a0a15237eea,35,29,6,16,Apache-2.0,"none (pre-extraction path, duplicate, case, device, symlink and expansion checks passed)",E9-0022;E9-0023,complete ninth-order evidence graph; every file surface and parsed symbol resolved
