project,role,wave,surface_count,evidence_records,resolution,target_value,boundary,surface_matrix
LumiNet,target,target,n/a,PR222-S074;PR222-S075;PR222-S076,authoritative target; exact post-221 baseline plus post-222 delta,all selected semantics are recomposed into LumiNet-owned planes,one authoritative owner per state/side-effect domain,post-refactor-222-target-delta.csv
LEGION2-main,donor,post-refactor-160,1087,PR160-M001,rejected-with-reason,negative scanner/security evidence,Broad exploit/recon corpus remains outside LumiNet product authority.,post-refactor-160-surface-accountability.csv
OnionHop-master,donor,post-refactor-160,212,PR160-M002;PR160-S004;PR160-S009,preserved,front-aware Tor bridge diagnostics + shared public endpoint admission,No donor Tor/Xray runtime transplant.,post-refactor-160-surface-accountability.csv
SIMORGH-main,donor,post-refactor-160,58,PR160-M003,reference-only,operational/reference evidence,No donor-specific runtime authority.,post-refactor-160-surface-accountability.csv
Xray-core-main,donor,post-refactor-160,992,PR160-M004,superseded,target-native runtime/health/DNS/routing owners,Only separable stronger primitives retained; no parallel Xray authority.,post-refactor-160-surface-accountability.csv
Xray-docs-next-main,donor,post-refactor-160,506,PR160-M005,reference-only,protocol/operational knowledge,Documentation informs contracts but is not executable authority.,post-refactor-160-surface-accountability.csv
Xray-tun-main,donor,post-refactor-160,810,PR160-M006,superseded,existing target TUN/NAT/platform owners,No parallel TUN controller.,post-refactor-160-surface-accountability.csv
iperf-master,donor,post-refactor-160,113,PR160-M007;PR160-S005,preserved,real bounded iperf3 diagnostic protocol,No embedded C runtime or unauthorised load generator.,post-refactor-160-surface-accountability.csv
lantern-main,donor,post-refactor-160,1029,PR160-M008;PR160-S003,preserved,passive Android physical-underlay tracking,No active requestNetwork ownership.,post-refactor-160-surface-accountability.csv
metacubexd-main,donor,post-refactor-160,180,PR160-M009,expanded,operator UX patterns absorbed into shared control UI,UI state remains non-authoritative.,post-refactor-160-surface-accountability.csv
nexvpn-main,donor,post-refactor-160,193,PR160-M010;PR160-S001,preserved,Android per-app include/exclude routing,Post-160 mobile authority remains canonical.,post-refactor-160-surface-accountability.csv
rethink-app-main,donor,post-refactor-160,1247,PR160-M011;PR160-S002,preserved,Android per-app policy semantics and fail-closed validation,No second VPN controller.,post-refactor-160-surface-accountability.csv
sing-box-testing,donor,post-refactor-160,1264,PR160-M012;PR160-S006,expanded,validate-before-swap ETag refresh + compatibility target/import/export semantics,No second long-lived proxy/subscription owner.,post-refactor-160-surface-accountability.csv
v2board-master,donor,post-refactor-160,362,PR160-M013,rejected-with-reason,commerce/account model reference only,Commerce/reseller/account control plane is unrelated product authority.,post-refactor-160-surface-accountability.csv
v2ray-core-main,donor,post-refactor-160,1065,PR160-M014,superseded,existing target runtime/routing/DNS owners,No duplicate V2Ray core.,post-refactor-160-surface-accountability.csv
v2ray-core-master,donor,post-refactor-160,1450,PR160-M015;PR160-S007,preserved,evidence-bounded same-socket STUN mapping,No false cone/filter precision.,post-refactor-160-surface-accountability.csv
v2ray-go-main,donor,post-refactor-160,817,PR160-M016,superseded,existing Go runtime/adapters,No donor-specific parallel runtime.,post-refactor-160-surface-accountability.csv
v2rayA-main,donor,post-refactor-160,413,PR160-M017,expanded,operator/profile UX ideas absorbed into target-native control UI/compatibility surfaces,No second web control daemon.,post-refactor-160-surface-accountability.csv
v2rayN-master,donor,post-refactor-160,407,PR160-M018;PR160-S008,expanded,STUN negative oracle + compatibility client-format semantics,No second desktop runtime/control plane.,post-refactor-160-surface-accountability.csv
