repair_id,semantic_ids,plane,problem,target_nodes,resolution,validation,status
PR97-R001,PR97-S001;PR97-S002;PR83-S014,Tor runtime,Tor startup previously treated a 300 ms live child as ready,src/apps/daemon/internal/runtime/runtimecore/tor_engine.go;src/apps/daemon/internal/runtime/runtimecore/engine_lifecycle_unix_test.go,Require authenticated control readiness and bootstrap PROGRESS=100 within a bounded 60 s startup window; retry temporary control/cookie failures; tear down on timeout or early exit.,focused exact-source Go harness: race detector count=100 + go vet,verified
PR97-R002,PR97-S003;PR97-S004;PR97-S006,Tor control protocol,Control replies were handled too shallowly for multiline/data/event interleaving and lacked whole-reply/deadline bounds,src/apps/daemon/internal/platform/system/tor_controller.go;src/apps/daemon/internal/platform/system/tor_controller_protocol_test.go,"One framed controller now parses continuation/data replies, consumes standalone asynchronous events, bounds commands/replies, rejects control-character injection before write, and applies per-command deadlines.",focused exact-source Go harness: race detector count=100 + go vet,verified
PR97-R003,PR97-S005,Tor control authorization,Whitelist regexes were prefix-anchored but not end-anchored,src/apps/daemon/internal/platform/system/control_filter.go;src/apps/daemon/internal/platform/system/control_filter_exact_test.go,Compile allowed command shapes as exact full-line matches so safe prefixes cannot authorize trailing arguments.,focused exact-source Go harness: race detector count=100 + go vet,verified
PR97-R004,PR97-S003;PR97-S004,Tor control ownership,TorProcess duplicated bootstrap/ownership parsing outside the deep controller,src/apps/daemon/internal/platform/system/tor_process.go;src/apps/daemon/internal/platform/system/tor_controller.go,Delegate bootstrap progress and ownership commands to the canonical TorController.,focused compatibility compile + go vet,verified
PR97-R005,U-S017;E9-0003;E9-0017;E9-0023;E9-0027;E9-0031;FP-S009;PR83-S010;PR83-S011;PR83-S014;PR83-S017,Evidence truth,Several frozen historical rows used future/deferred wording or one over-broad SOCKS isolation implication,governance/convergence/post-refactor-97-historical-resolutions.csv,Preserve old ledgers byte-for-byte and add a successor correction/final-disposition layer; no identified donor action remains deferred.,successor convergence checker + hash-bound frozen historical evidence,verified
PR117-R006,PR117-S005;PR117-S006;PR117-S028;PR117-S032,mobile TUN/SOCKS association,"SOCKS association setup could race, hang after TCP connect, assume complete writes, and reject IPv6 relay endpoints",src/apps/daemon/internal/platform/mobilehost/tun2socks_adapter.go;src/apps/daemon/internal/platform/mobilehost/tun2socks_test.go,bounded setup deadline; full control-frame writes; IPv4/domain/IPv6 relay parsing; single-winner UDP association install with loser cleanup,100 race-enabled repetitions of four focused tests plus go vet,verified
PR117-R007,PR117-S012;PR117-S013;PR117-S014,VLESS/WebSocket response state,VLESS-over-WebSocket could strip response metadata on every frame and recurse on header-only frames,src/apps/daemon/internal/runtime/proxy/vless_dialer.go;src/apps/daemon/internal/runtime/proxy/edge_dialer.go;src/apps/daemon/internal/runtime/proxy/websocket_conn_helpers.go;src/apps/daemon/internal/runtime/proxy/websocket_conn_helpers_test.go,one-time bounded response-state parser with fragmentation and version validation; shared WebSocket read limit/address/deadline helpers,100 race-enabled repetitions in helper and full-file harnesses plus go vet,verified
PR117-R008,PR117-S026;PR117-S052,relay WebSocket net.Conn contract,relay WebSocket net.Conn returned nil addresses/no-op combined deadlines and lacked a frame bound,src/apps/daemon/internal/integrations/relayclient/serverless_dialer.go;src/apps/daemon/internal/integrations/relayclient/websocket_conn.go;src/apps/daemon/internal/integrations/relayclient/websocket_conn_test.go;src/apps/daemon/internal/runtime/proxy/wstunnel.go,"real underlying addresses/deadlines, 1 MiB read limit, bounded relay confirmation deadline, shared constructor",100 race-enabled repetitions of real WebSocket round-trip/read-limit tests plus go vet,verified
PR137-R009,PR137-S063,HTTP serverless relay,Request sequence was emitted but an echoed response sequence was never validated,src/apps/daemon/internal/integrations/relayclient/serverless_dialer.go;src/apps/daemon/internal/integrations/relayclient/serverless_dialer_test.go,Reject a non-nil response Seq that differs from the current request sequence while preserving legacy omission compatibility and rollback ordering.,focused exact-source Go harness: race detector count=100 + go vet,verified
PR137-R010,PR137-S014;PR137-S015,DoH concurrency/lifecycle,Unique-host bursts were unbounded and shared singleflight work inherited the first waiter cancellation,src/apps/daemon/internal/networking/dns/doh_resolver.go;src/apps/daemon/internal/networking/dns/doh_resolver_admission_test.go,"Detach shared work from individual cancellation, cap it at five seconds, and fail fast beyond 32 admitted unique lookups.",focused exact-source Go harness: race detector count=100 + go vet,verified
PR137-R011,PR137-S016,DoH upstream identity,DoH bodies were parsed without proving transaction/question identity,src/apps/daemon/internal/networking/dns/doh_resolver.go;src/apps/daemon/internal/networking/dns/doh_resolver_admission_test.go,"Boundedly parse compressed question names and require matching TXID, qname, qtype and qclass before accepting A-record data.",focused exact-source Go harness: race detector count=100 + go vet,verified
PR137-R012,PR137-S057,DNS bypass policy,WhiteDNS bypass used substring matching so badexample.com matched example.com and an empty rule matched everything,src/apps/daemon/internal/networking/dns/whitedns_wizard.go;src/apps/daemon/internal/networking/dns/whitedns_wizard_domain_test.go,"Normalize case/trailing dot, ignore empty rules, and require exact domain or dot-delimited subdomain.",focused exact-source Go harness: race detector count=100 + go vet,verified
PR141-R013,PR141-S042,API client identity / rate-limit audit boundary,Gin ClientIP() was used for rate-limit and request-log identity without an explicit trusted-proxy policy; Gin trusts forwarded client-IP headers by default,src/apps/daemon/internal/adapters/api/router.go;scripts/checks/check_api_direct_client_ip.py,Disable trusted proxies by default at router construction with SetTrustedProxies(nil) and fail closed if configuration unexpectedly fails. Forwarded-IP trust now requires a future explicit policy rather than implicit all-proxy trust.,RED source contract failed before change; GREEN checker passes after change; full package runtime blocked by declared Go 1.26 vs local 1.23.2,statically-validated
