record_id,parent_record_id,composition_group_id,donor,domain,value_unit,source_granularity,value_form,separability,donor_path,donor_sha256,donor_symbol,transformation,mapping_topology,disposition,decision_rationale,target_capability,target_nodes,invariant,negative_invariant,test_node,operator_surface,migration_impact,license_note,risk_tier,dependency_record_ids,evidence_confidence,validation_status,source_peer_record_ids
F5-001,n/a,sstp-runtime,ZedPass,protocol-runtime,SSTP system-tunnel engine with rich profile controls,semantic-successor,executable-and-product-capability,independently-decidable,lib/providers/vpn_provider.dart,272070ea3010a18d3f640d9ce28082611532ded91aa861e2cfa6aea8634526e5,VpnProvider,target-native reimplementation and extension,one-to-many,adapted,"With feature breadth prioritized, SSTP now fills a real protocol gap. The donor profile plane is decomposed into a runtimecore engine, external-client capability discovery, process-tree lifecycle ownership, API fields, and advanced operator controls instead of importing donor app architecture.",SSTP system tunnel runtime,src/apps/daemon/internal/runtime/runtimecore/sstp_engine.go#newSSTPEngine;src/apps/daemon/internal/runtime/runtimecore/manager.go#EngineSSTP;src/apps/daemon/internal/runtime/runtimecore/capability.go#ProbeEngine;src/packages/control-ui/src/pages/Operations.tsx#sstpPPPOptions,"SSTP can be started/stopped through the same runtime owner as other engines and preserves server, credentials, proxy, CA, certificate-warning and bounded PPP options",SSTP does not create a parallel daemon/runtime authority and process shutdown remains owner-scoped,src/apps/daemon/internal/runtime/runtimecore/sstp_engine_test.go#TestSSTPEngineStartsAndStopsExternalClient,Operations / Runtime engines / SSTP advanced controls,additive engine and request fields,provenance retained; target-native implementation,high,n/a,high,verified,SEM009
F5-002,n/a,port-preflight,Aether-GUI,operator-preflight,read-only local TCP port collision preflight,semantic-successor,executable-and-product-capability,independently-decidable,src-tauri/src/aether/status.rs,77ef138fca1fbb412bf19b504a8b042bd951422bd4a35f5f628078281edfd3f3,port_is_live_probes_loopback_when_bound_any,adaptation,one-to-one,adapted,The old desktop pre-connect collision probe is promoted because it materially improves startability and operator feedback with almost no architectural cost. LumiNet exposes it as a reusable local preflight API and widget.,runtime startability preflight,src/apps/daemon/internal/platform/system/port_preflight.go#CheckLocalTCPPort;src/apps/daemon/internal/adapters/api/handlers_port_preflight.go#PreflightLocalPort;src/packages/control-ui/src/pages/Operations.tsx#runPreflight,operators can test a local bind target before starting a listener,preflight is advisory/read-only and must not reserve or mutate the port,src/apps/daemon/internal/platform/system/port_preflight_test.go#TestCheckLocalTCPPortReportsOccupiedAndFree,Operations / Port preflight,additive API/widget,provenance retained; target-native implementation,low,n/a,high,verified,SEM016
F5-003,n/a,update-discovery,goida-vpn-configs,distribution,signed update manifest discovery by URL,semantic-successor,executable-and-product-capability,independently-decidable,source/src/release_fetcher.py,a79ebff5eed0fbc560120e9a3ec336f48f6a88968f2ed77494674cee35061641,fetch_latest_release_links,recomposition,many-to-one,recomposed,"Release discovery becomes more useful when fused with the existing fourth-order signed admission plane. A single HTTPS manifest URL now yields a bounded envelope and verified plan, replacing manual copy/paste while retaining target-native trust/version semantics.",signed update discovery,src/apps/daemon/internal/foundation/updateadmission/discover.go#Discover;src/apps/daemon/internal/adapters/api/handlers_update_discover.go#DiscoverSignedUpdate;src/packages/control-ui/src/pages/Operations.tsx#discoverUpdate,one manifest URL produces a bounded signed envelope and an admission plan bound to the daemon build,discovery cannot install or execute an artifact and redirect chains remain bounded,src/apps/daemon/internal/foundation/updateadmission/discover_test.go#TestDiscoverFetchesBoundedEnvelope,Operations / Update center / Discover,additive endpoint and workflow,provenance retained; target-native implementation,medium,n/a,high,verified,SEM041;SEM043
F5-004,n/a,update-staging,defyxVPN,distribution,verified update artifact staging and update-center workflow,semantic-successor,executable-and-product-capability,independently-decidable,lib/modules/main/presentation/widgets/update_dialog.dart,83558841601048591572d0faa2eb48325c78516485002ec66e8d90917c09aeb9,CustomUpdateDialog,recomposition,many-to-many,recomposed,"Previously separate donor update-dialog/download ideas are recomposed above signed admission: the operator can discover, inspect, verify and stage the exact artifact. This adds practical update workflow value without requiring donor-specific updater code.",verified update staging,src/apps/daemon/internal/foundation/updateadmission/stage.go#Stage;src/apps/daemon/internal/adapters/api/handlers_update_stage.go#StageSignedUpdate;src/packages/control-ui/src/pages/Operations.tsx#runUpdateAction,staged bytes must match the admitted size and SHA-256 and are reusable by exact identity,"staging never executes, installs, or marks apply authorization true",src/apps/daemon/internal/foundation/updateadmission/stage_test.go#TestStageDownloadsVerifiesAndReusesArtifact,Operations / Update center / Verify + Stage,additive staging cache and receipt,provenance retained; target-native implementation,high,F5-003,high,verified,SEM006;SEM025;SEM088
F5-005,n/a,operations-workspace,defyxVPN,diagnostics-ui,"unified Operations workspace for readiness, diagnostics, engines and exports",semantic-successor,executable-and-product-capability,independently-decidable,lib/modules/main/presentation/widgets/speed_test.dart,d63c95f716e35515ac60676c26a476cb4d3d84accbad868b32bd7115e62d6bc9,SpeedTestWidget,inspired-native derivation,many-to-one,inspired-native,"The donor diagnostic presentation value is promoted at a higher level: LumiNet combines existing doctor, diagnostic phases/jobs, engine capability inventory and export into one partial-failure-tolerant operator workspace instead of copying a speed-test widget.",operations and diagnostic workspace,src/packages/control-ui/src/pages/Operations.tsx#Operations;src/packages/control-ui/src/api/contracts.ts#parseDoctorReport;src/packages/control-ui/src/api/contracts.ts#parseRuntimeEngines,each operations capability loads independently and successful widgets remain usable when another capability is unavailable,UI state does not become daemon authority and unavailable capabilities are not presented as successful,src/packages/control-ui/scripts/test-feature-promotions.mjs#checkOperationsDiagnosticsAndTrace,Operations / Doctor + Diagnostics + Engine inventory,new product surface,provenance retained; target-native implementation,medium,n/a,high,statically-validated,SEM007;SEM101
F5-006,n/a,profile-workspace,ZedPass,profile-product,rich subscription profile management with mirror health and provider metadata,semantic-successor,executable-and-product-capability,independently-decidable,lib/screens/settings_screen.dart,fc4fdf7ca66a04b2e8ced39ffe86a6a7bfe3da4c63b761a0e4aad22c9a261bb0,_SettingsScreenState,adaptation and expansion,one-to-many,adapted,"Feature richness now justifies exposing profile management that already exists in the daemon: primary/mirrors, last-good source, per-source health, quota/expiry/announcement metadata, refresh, auto-refresh and active state are visible and actionable in one workspace.",subscription profile workspace,src/packages/control-ui/src/pages/Profiles.tsx#Profiles;src/packages/control-ui/src/api/contracts.ts#parseSubscriptionProfiles;src/apps/daemon/internal/adapters/api/handlers_subscription_profiles.go#UpdateSubscriptionProfile,profile UI reflects the existing ProfileService state and exposes refresh/source-health/provider metadata without inventing a second state store,profile UI mutations go only through existing profile APIs and source health remains daemon-owned,src/packages/control-ui/scripts/test-feature-promotions.mjs#checkProfilesRichness,Profiles / source health / quota / refresh controls,new product surface over existing owner,provenance retained; target-native implementation,medium,n/a,high,statically-validated,SEM012
F5-007,n/a,trace-parser,Aether,telemetry,bounded QLOG/qlog-seq local trace parser and summary,semantic-successor,executable-and-product-capability,independently-decidable,quiche/qlog/src/lib.rs,482c18c0e93adbae6f8bfcf4f7b1af78a47ef17accee8b8b8433edd86251c674,QlogStreamer,clean-room adaptation,one-to-one,adapted,"QLOG becomes directly useful when treated as an operator import format rather than a transport authority. The control UI parses bounded local trace files, normalizes categories/events and produces summaries without adding daemon storage.",local transport trace analysis,src/packages/control-ui/src/api/qlog.ts#parseTransportTrace,local trace parsing accepts supported QLOG forms with explicit byte/event ceilings,trace parsing cannot allocate unbounded event collections or upload data implicitly,src/packages/control-ui/scripts/test-contracts.mjs#tooManyTraceEvents,Operations / Transport trace viewer,additive local parser,provenance retained; target-native implementation,medium,n/a,high,verified,SEM080
F5-008,n/a,trace-parser,Aether,telemetry,Chrome NetLog normalization into the same trace model,semantic-successor,executable-and-product-capability,independently-decidable,quiche/netlog/src/lib.rs,2734f320ada2b8cecb2d83470bf0b2f90da0bc3a61538f6dbed641bd8fda9e71,NetlogEvent,clean-room adaptation,many-to-one,adapted,NetLog is promoted because one normalized viewer gives operators another high-value diagnostic input with little extra UI complexity. Numeric constant tables are resolved when present and events flow into the same bounded trace model.,local transport trace analysis,src/packages/control-ui/src/api/qlog.ts#eventFromNetlog;src/packages/control-ui/src/api/qlog.ts#reverseNumericConstants,NetLog events normalize into the same category/name/time/detail model as QLOG,NetLog normalization must remain bounded by the shared trace parser limits,src/packages/control-ui/scripts/test-contracts.mjs#netlog,Operations / Transport trace viewer,additive parser format,provenance retained; target-native implementation,medium,F5-007,high,verified,SEM081
F5-009,n/a,trace-viewer,Aether,telemetry-ui,interactive QLOG/NetLog viewer with filters and category counts,semantic-successor,executable-and-product-capability,independently-decidable,quiche/qlog-dancer/index.html,bf427a2864091faa6292ae2d0986662b33169b667d3bccd7cd5a6f0388310812,qlog-dancer,inspired-native derivation,one-to-many,inspired-native,"The donor qlog visualization idea is promoted as a compact native widget: local file import, format/event summary, category chips, category selection, text filtering and bounded event rows. It is integrated into Operations rather than shipped as a separate web app.",transport trace visualization,src/packages/control-ui/src/pages/Operations.tsx#traceCategory;src/packages/control-ui/src/pages/Operations.tsx#traceQuery,operators can inspect large-but-bounded traces by category and text without leaving the control UI,viewer renders only a bounded subset and does not make local trace data authoritative,src/packages/control-ui/scripts/test-feature-promotions.mjs#checkOperationsTraceFiltering,Operations / Transport trace viewer,new widget over F5-007/F5-008,provenance retained; target-native implementation,low,F5-007;F5-008,high,statically-validated,SEM082
F5-010,n/a,offline-shell,goida-vpn-site,pwa,installable PWA shell with offline static fallback,semantic-successor,executable-and-product-capability,independently-decidable,source/app/static/sw.js,d0bb474e6d1ceba97b38140b6093e419339851fde1f9a51e183195af31d4efc4,service worker cache,adaptation,one-to-one,adapted,Offline/installable shell behavior materially improves usability for a local control application. The service worker caches only same-origin static GET shell assets; API requests stay network-only so an offline shell can still explain daemon unavailability without fabricating live state.,installable offline control shell,src/packages/control-ui/public/sw.js#isCacheableRequest;src/packages/control-ui/src/main.tsx#serviceWorker;src/packages/control-ui/public/manifest.webmanifest#standalone,static shell remains launchable/offline and old shell caches are retired,API and websocket-like requests are never satisfied from the static shell cache,src/packages/control-ui/scripts/test-pwa.mjs#PWA characterization,installable control UI shell,additive manifest/service worker,provenance retained; target-native implementation,low,n/a,high,verified,SEM042
