relationship_id,donor_or_group,relationship,evidence,decision
PR137-DUP-001,Exclave-dev,exact-byte overlap with frozen 117 corpus,10 current-wave surfaces have SHA-256 bytes already present in the frozen 117 surface matrix; primarily vendored/generated/common metadata where classified as such,fully account bytes but assign semantic credit only to fine current-wave records with independently meaningful donor-owned evidence
PR137-DUP-002,Furious-main,exact-byte overlap with frozen 117 corpus,2 current-wave surfaces have SHA-256 bytes already present in the frozen 117 surface matrix; primarily vendored/generated/common metadata where classified as such,fully account bytes but assign semantic credit only to fine current-wave records with independently meaningful donor-owned evidence
PR137-DUP-003,HUNTX,exact-byte overlap with frozen 117 corpus,5 current-wave surfaces have SHA-256 bytes already present in the frozen 117 surface matrix; primarily vendored/generated/common metadata where classified as such,fully account bytes but assign semantic credit only to fine current-wave records with independently meaningful donor-owned evidence
PR137-DUP-004,Intercept-main,exact-byte overlap with frozen 117 corpus,1 current-wave surfaces have SHA-256 bytes already present in the frozen 117 surface matrix; primarily vendored/generated/common metadata where classified as such,fully account bytes but assign semantic credit only to fine current-wave records with independently meaningful donor-owned evidence
PR137-DUP-005,foghorn-main,exact-byte overlap with frozen 117 corpus,3 current-wave surfaces have SHA-256 bytes already present in the frozen 117 surface matrix; primarily vendored/generated/common metadata where classified as such,fully account bytes but assign semantic credit only to fine current-wave records with independently meaningful donor-owned evidence
PR137-DUP-006,freenet-core-main,exact-byte overlap with frozen 117 corpus,1 current-wave surfaces have SHA-256 bytes already present in the frozen 117 surface matrix; primarily vendored/generated/common metadata where classified as such,fully account bytes but assign semantic credit only to fine current-wave records with independently meaningful donor-owned evidence
PR137-DUP-007,fsociety-master,exact-byte overlap with frozen 117 corpus,1 current-wave surfaces have SHA-256 bytes already present in the frozen 117 surface matrix; primarily vendored/generated/common metadata where classified as such,fully account bytes but assign semantic credit only to fine current-wave records with independently meaningful donor-owned evidence
PR137-DUP-008,grasshopper-main,exact-byte overlap with frozen 117 corpus,49 current-wave surfaces have SHA-256 bytes already present in the frozen 117 surface matrix; primarily vendored/generated/common metadata where classified as such,fully account bytes but assign semantic credit only to fine current-wave records with independently meaningful donor-owned evidence
PR137-DUP-009,httun-main,exact-byte overlap with frozen 117 corpus,1 current-wave surfaces have SHA-256 bytes already present in the frozen 117 surface matrix; primarily vendored/generated/common metadata where classified as such,fully account bytes but assign semantic credit only to fine current-wave records with independently meaningful donor-owned evidence
PR137-DUP-010,hysteria-python-main,exact-byte overlap with frozen 117 corpus,281 current-wave surfaces have SHA-256 bytes already present in the frozen 117 surface matrix; primarily vendored/generated/common metadata where classified as such,fully account bytes but assign semantic credit only to fine current-wave records with independently meaningful donor-owned evidence
PR137-PROV-TUN,go-tun2socks-master,same responsibility family as prior tun2socks donors,lwIP/TUN-to-SOCKS architecture overlaps prior tun2socks wave even where bytes differ,existing LumiNet TUN/NAT owner remains authoritative; donor is reference/superseded
PR137-PROV-HYSTERIA,hysteria-python-main,bundled upstream Hysteria and pybind11,386 surfaces classified vendored; 281 exact-byte overlaps with previously reviewed corpus,bundled trees receive no wrapper-donor semantic credit or runtime authority
PR137-PROV-QPP,grasshopper-main,bundled QPP/transitive vendor overlap,801 vendor surfaces; 49 exact-byte overlaps with prior corpus including QPP-family evidence,QPP/custom crypto remains rejected; no duplicate semantic credit
