record_id,parent_record_id,composition_group_id,donor,domain,value_unit,source_granularity,value_form,separability,donor_path,donor_sha256,donor_symbol,transformation,mapping_topology,disposition,decision_rationale,target_capability,target_nodes,invariant,negative_invariant,test_node,operator_surface,migration_impact,license_note,risk_tier,dependency_record_ids,evidence_confidence,validation_status
E8-0001,n/a,CG-automatic-remote-mutation-retry-coordinator,firewalla-master,remote mutation resilience,per-endpoint provider 429 cooldown remembered across independent calls,file/symbol or focused mechanism,defensive behavior,standalone semantic unit or evidence fragment,util/requestWrapper.js,67416fe9d8bea2a38a7a2628f269f3cc52b4d2b985eea6d3fa85ee19619f17b5,rrWithErrHandling,independent rederivation + hardening,idea-to-native,inspired-native,"Firewalla proves that retry policy needs memory beyond one request: a 429 for one endpoint suppresses subsequent callers without blocking unrelated endpoints. LumiNet rederives the concept around canonical action IDs, bounded secret-free state, context cancellation and existing safety classes rather than copying AGPL code.",automatic remote mutation retry coordinator,src/apps/daemon/internal/foundation/remoteaction/remoteaction.go#Executor;src/apps/daemon/internal/foundation/remoteaction/remoteaction.go#waitForCooldownAndAcquire;src/apps/daemon/internal/adapters/api/handlers_system_status.go#RemoteMutationRetry,provider cooldown is shared per canonical mutation action across independent calls and state remains bounded,"cooldown must never key on credential-bearing URLs, replay single-attempt mutations, or block unrelated actions",src/apps/daemon/internal/foundation/remoteaction/remoteaction_test.go#TestExecutorSharesRateLimitCooldownPerAction,GET /api/system/status remote_mutation_retry,additive target-native convergence; no donor-shaped durable migration,AGPL evidence; no donor code copied,high,n/a,high,verified
E8-0002,n/a,CG-remote-mutation-cooldown-isolation,firewalla-master,remote mutation resilience,endpoint-isolation rate-limit test oracle,file/symbol or focused mechanism,test/oracle,standalone semantic unit or evidence fragment,test/test_request_wrapper.js,30161a284730c34fe731f667b851eb924f9c72ffe6334fd837907ee3272d93d8,n/a,oracle adaptation,one-to-one,adapted,The donor test demonstrates the discriminating property that one endpoint can be rate-limited while another remains available. LumiNet encodes the same target-native invariant at action granularity.,remote mutation cooldown isolation,src/apps/daemon/internal/foundation/remoteaction/remoteaction_test.go#TestExecutorSharesRateLimitCooldownPerAction,cooldown isolation is observable under two distinct action IDs,rate-limit memory must not become a global outage switch,src/apps/daemon/internal/foundation/remoteaction/remoteaction_test.go#TestExecutorSharesRateLimitCooldownPerAction,test suite,additive target-native convergence; no donor-shaped durable migration,AGPL test used as behavioral evidence only,medium,n/a,high,verified
E8-0003,n/a,CG-bounded-failure-aware-DoH-response-cache,coredns-master,DNS resilience,stale-answer window with refresh coordination and transient-error precedence,file/symbol or focused mechanism,executable behavior,standalone semantic unit or evidence fragment,plugin/cache/handler.go,ccf2272e8b97d949f70ed0bda8af350ce4c9422a388e64d725f62d081128b438,ServeDNS,adaptation + simplification + hardening,many-to-one,adapted,"CoreDNS shows that stale DNS data is useful only under controlled refresh/failure semantics and that transient SERVFAIL must not shadow a valid positive answer. LumiNet applies the same resilience shape to HTTP DoH caching: successful answers only, stale-if-refresh-error, coalesced miss refresh, bounded lifetime.",bounded failure-aware DoH response cache,src/apps/daemon/internal/networking/dns/dohcache.go#DoHCachePolicy;src/apps/daemon/internal/networking/dns/dohcache.go#fetchCoalesced;src/apps/daemon/internal/networking/dns/bounded_cache.go#boundedTTLCache,only successful DNS answers become fresh cache authority; stale is served only inside a bounded stale window after refresh failure,HTTP 5xx/empty bodies must never be cached as successful DNS answers; refresh fanout must not scale with caller count,src/apps/daemon/internal/networking/dns/dohcache_test.go#TestDoHCacheServesStaleOnlyAfterRefreshFailure,DoH proxy/cache diagnostics,additive target-native convergence; no donor-shaped durable migration,Apache-2.0; semantics adapted target-native,high,n/a,high,verified
E8-0004,n/a,CG-shared-bounded-DNS-cache-primitive,coredns-master,DNS resilience,bounded cache ownership and independent expiry,file/symbol or focused mechanism,data structure / resource bound,standalone semantic unit or evidence fragment,plugin/cache/cache.go,339becc303033325fc04ddc86725ed1f84bff0639104c074a9d88dbd0d21b19f,Cache,primitive extraction + target-native LRU,one-to-many,extracted,CoreDNS makes cache capacity a first-class policy. LumiNet replaces three unbounded DNS maps with one bounded TTL/LRU primitive that clones values at ownership boundaries and supports separate fresh/stale deadlines.,shared bounded DNS cache primitive,src/apps/daemon/internal/networking/dns/bounded_cache.go#boundedTTLCache;src/apps/daemon/internal/networking/dns/doh_proxy.go#DoHProxy;src/apps/daemon/internal/networking/dns/doh_resolver.go#FailoverDOHResolver,all in-memory DNS caches have a hard entry bound and atomic expiry/LRU ownership,"caller slice mutation, expired retention, or unbounded key growth must not corrupt/expand cache state",src/apps/daemon/internal/networking/dns/bounded_cache_test.go#TestBoundedTTLCacheEvictsLRUAndClones,internal DNS plane,additive target-native convergence; no donor-shaped durable migration,Apache-2.0,high,n/a,high,verified
E8-0005,n/a,CG-DoH-miss-coalescing,coredns-master,DNS resilience,single-key refresh suppression test principle,file/symbol or focused mechanism,test/oracle,standalone semantic unit or evidence fragment,plugin/cache/prefetch_test.go,120f0251fc1d7cb52af79bf8955a1df63440f3661f8fc62648c46abf1b279b3f,n/a,oracle recomposition,idea-to-native,recomposed,CoreDNS prefetch testing reinforces that refresh work must be coalesced per cache key. LumiNet validates the same property for concurrent DoH misses without importing the donor prefetch subsystem.,DoH miss coalescing,src/apps/daemon/internal/networking/dns/dohcache.go#fetchCoalesced,concurrent misses for the same DNS key share one upstream refresh,cache-miss storms must not multiply upstream requests,src/apps/daemon/internal/networking/dns/dohcache_test.go#TestDoHCacheCoalescesConcurrentMisses,test suite,additive target-native convergence; no donor-shaped durable migration,Apache-2.0,medium,n/a,high,verified
E8-0006,n/a,CG-stable-run-process-supervision,Se7en-Pro-1.0.0,runtime supervision,stable-ready interval before restart-debt reset,file/symbol or focused mechanism,recovery state machine,standalone semantic unit or evidence fragment,PsiphonUI/Services/SingBoxTunManager.cs,7e201b434233b566cd0e26929be1127c10672658952f23442b19e8ff5ec729c1,RunSupervisorLoopAsync,adaptation + hardening,one-to-one,adapted,"Se7en distinguishes merely reaching readiness from staying healthy for a meaningful interval. LumiNet adopts that invariant in the generic process supervisor, while preserving the independent rolling failure window and additionally pruning expired history at record/evaluation time.",stable-run process supervision,src/apps/daemon/internal/platform/system/process_supervisor.go#ProcessSupervisor;src/apps/daemon/internal/platform/system/process_supervisor.go#recordFailureAfterRun,short ready-then-crash loops continue escalating backoff; only a stable ready run resets consecutive backoff debt,readiness alone must not erase crash-loop evidence and expired history must not falsely trip the circuit breaker,src/apps/daemon/internal/platform/system/process_supervisor_test.go#TestProcessSupervisorStableReadinessResetsOnlyBackoffDebt,daemon child-process supervision,additive target-native convergence; no donor-shaped durable migration,MIT,high,n/a,high,verified
E8-0007,n/a,CG-durable-host-network-transaction-owner,Se7en-Pro-1.0.0,host network authority,system-proxy backup/restore around tunnel lifecycle,file/symbol or focused mechanism,operational recovery,standalone semantic unit or evidence fragment,PsiphonUI/Services/SystemProxyService.cs,d75d4aef2c914a52a0bb6d4333a36f57d1d17f4186e5a26132537ec368d984cd,SystemProxyService,mechanism comparison,many-to-one,superseded,"The donor reinforces snapshot-before-mutation and restoration, but LumiNet already has a stronger single host-network authority with process lock, durable route session, validation, verify, rollback and crash recovery. A donor-shaped proxy service would duplicate authority.",durable host-network transaction owner,src/apps/daemon/internal/platform/system/host_network.go#ApplyHostNetwork;src/apps/daemon/internal/platform/system/host_network.go#hostNetworkManager,proxy/routing mutations pass through one snapshot/apply/verify/rollback owner,UI/service-local proxy mutation must not become a parallel host-network source of truth,src/apps/daemon/internal/platform/system/host_network_test.go#TestHostNetworkPlanUsesDaemonRouteSessionWithoutMutation,host-network plan/apply API,additive target-native convergence; no donor-shaped durable migration,MIT,high,n/a,high,verified
E8-0008,n/a,CG-target-secret-isolation,Se7en-Pro-1.0.0,security boundary,OS-backed secret storage boundary,file/symbol or focused mechanism,security pattern,standalone semantic unit or evidence fragment,PsiphonUI/Services/SecretStore.cs,8ddac7e2489f2500fdb1a3c1549a4e51aa1d9cd71b0b8472cc1adc9fd8accf4d,SecretStore,mechanism comparison,many-to-one,superseded,SecretStore is a useful product-level reminder that credentials must be outside ordinary settings/log state. LumiNet already owns a secret-reference boundary and no donor-specific store is introduced.,target secret isolation,governance/convergence/remote-http-actions.csv#action_id,mutation retry/status state stores aggregate counters and canonical action IDs only,"URLs, bearer tokens, request bodies and credentials must not enter retry coordinator state or telemetry",src/apps/daemon/internal/foundation/remoteaction/remoteaction_test.go#TestExecutorCooldownStateIsBounded,governance + status,additive target-native convergence; no donor-shaped durable migration,MIT,medium,n/a,high,statically-validated
E8-0009,n/a,CG-single-owner-desired-state-reconciliation,InviZible-master,runtime reconciliation,periodic actual-vs-declared module-state reconciliation and command-hash no-op avoidance,file/symbol or focused mechanism,architectural pattern,standalone semantic unit or evidence fragment,tordnscrypt/src/main/java/pan/alexander/tordnscrypt/modules/ModulesStateLoop.java,812fdc1bbbfd1db145b41273b44799d0f6115bc12b4bb962e643a399423ba269,ModulesStateLoop,negative/positive invariant derivation,negative-to-guardrail,guardrail-derived,"InviZible repeatedly reconciles observed thread/module/firewall state and avoids needless firewall reapplication when the generated command set is unchanged. LumiNet keeps this as a cross-plane invariant: process state is supervisor-owned, host-network state is transaction-owner-observed, and mutation replay requires explicit reconciliation rather than a second generic state loop.",single-owner desired-state reconciliation,src/apps/daemon/internal/platform/system/process_supervisor.go#ProcessSupervisor;src/apps/daemon/internal/platform/system/host_network.go#PlanHostNetwork;src/apps/daemon/internal/foundation/remoteaction/remoteaction.go#ReconcileBeforeRetry,actual state is observed by the owner before retry/reapply and unchanged desired state does not create a second authority,"a generic GPL-derived state loop must not bypass existing process, host-network or remote-action owners",src/apps/daemon/internal/foundation/remoteaction/remoteaction_test.go#TestReconcilePreventsDuplicateReplay,runtime/host-network/mutation owners,additive target-native convergence; no donor-shaped durable migration,GPL evidence only; target-native guardrail,high,n/a,high,verified
E8-0010,n/a,CG-periodic-refresh-ownership-and-backoff,InviZible-master,scheduler resilience,unique periodic work ownership with exponential backoff and resource constraints,file/symbol or focused mechanism,operational scheduling pattern,standalone semantic unit or evidence fragment,tordnscrypt/src/main/java/pan/alexander/tordnscrypt/settings/dnscrypt_rules/remote/UpdateRemoteRulesWorkManager.kt,d4c80bcf54ca5a30773fa49c26bf70e7d1124b5c17889b98245a7dc8611c968d,UpdateRemoteRulesWorkManager,mechanism comparison + guardrail derivation,many-to-one,superseded,The donor validates unique periodic ownership and failure backoff. LumiNet already has a service-owned profile refresh scheduler with due-time/backoff/in-flight ownership and now a remote-action cooldown plane; Android battery/storage constraints are not applicable to the desktop/server daemon.,periodic refresh ownership and backoff,src/apps/daemon/internal/integrations/sub/profile_service.go#StartAutoRefresh;src/apps/daemon/internal/integrations/sub/profile_service.go#profileSourceBackoff,one service owns scheduled refresh and concurrent stale snapshots cannot duplicate in-flight refresh,no second scheduler is introduced and platform-specific battery/storage constraints are not misapplied,src/apps/daemon/internal/integrations/sub/profile_source_health_test.go#TestQueueDueRefreshesRespectsBackoffAndInflightOwnership,profile auto-refresh,additive target-native convergence; no donor-shaped durable migration,GPL evidence only; no code copied,medium,n/a,high,verified
