wave,donor,license_posture,source_reuse_policy
ultimate-63,3xui-telegram-bot-main,MIT,direct adaptation permitted with attribution
ultimate-63,AgentDNS-main,"no explicit LICENSE in archive; README claims MIT, treated as unverified/no-license for source reuse",no direct source reuse; concepts/negative evidence/reference only
ultimate-63,Auto_Tor_IP_changer-master(2),no explicit license; exact-byte duplicate of sixth-order donor archive,no source copying; evidence/reference/independent rederivation only
ultimate-63,BPB-Warp-Scanner-main,"GPL-3.0; selected semantics independently rederived, no source copied",no source copying; evidence/reference/independent rederivation only
ultimate-63,BWLimiter-main,no explicit license; negative/guardrail evidence only,no source copying; evidence/reference/independent rederivation only
ultimate-63,DNS-Persist-master,MIT,"permissive source eligible for comparison/adaptation, but target-native authority and correctness gates still apply"
ultimate-63,Go-netowrking-tools-main,no explicit license,no direct source reuse; concepts/negative evidence/reference only
ultimate-63,GodMode-main,MIT,"permissive source eligible for comparison/adaptation, but target-native authority and correctness gates still apply"
ultimate-63,GoodbyeDPI-master,Apache-2.0,direct adaptation permitted with attribution
ultimate-63,InterceptSuite-main,no explicit license,no direct source reuse; concepts/negative evidence/reference only
ultimate-63,InviZible-master,GPL-family copyleft; target uses independent target-native semantics only,no direct donor source reuse for eighth-order changes; independent target-native rederivation/evidence only unless pre-existing compatible boundary already exists
ultimate-63,Marzban-master,"AGPL-3.0; selected semantics independently rederived, no source copied",no source copying; evidence/reference/independent rederivation only
ultimate-63,Proxy-client-collection-main,no explicit license; descriptive reference only,no source copying; evidence/reference/independent rederivation only
ultimate-63,Se7en-Pro-1.0.0,MIT,"permissive source eligible for comparison/adaptation, but target-native authority and correctness gates still apply"
ultimate-63,Serverless-for-Iran-main,"GPL-3.0; preset concepts only, no source/config copied",no source copying; evidence/reference/independent rederivation only
ultimate-63,Subnet-Divider-main,no explicit license,no direct source reuse; concepts/negative evidence/reference only
ultimate-63,V2RayN-PRO-main(1),GPL-family copyleft plus bundled third-party binaries/notices; target does not copy source/binaries,no direct donor source reuse for eighth-order changes; independent target-native rederivation/evidence only unless pre-existing compatible boundary already exists
ultimate-63,V2ray-for-Doprax-main(1),no explicit root license in archive,no direct source reuse; concepts/negative evidence/reference only
ultimate-63,bia-pain-bache-main,GPL-2.0; evidence/independent comparison only,no source copying; evidence/reference/independent rederivation only
ultimate-63,caddy-master,Apache-2.0,direct adaptation permitted with attribution
ultimate-63,coredns-master,Apache-2.0,"permissive source eligible for comparison/adaptation, but target-native authority and correctness gates still apply"
ultimate-63,defyxVPN-main(1),MIT,direct adaptation permitted with attribution
ultimate-63,dns-over-https-proxy-master,Apache-2.0,"permissive source eligible for comparison/adaptation, but target-native authority and correctness gates still apply"
ultimate-63,ev-master_(1),no explicit license; evidence only,no source copying; evidence/reference/independent rederivation only
ultimate-63,eve-xui-manager-main,no explicit license; evidence only,no source copying; evidence/reference/independent rederivation only
ultimate-63,firewalla-master,AGPL-3.0; target independently rederives selected semantics,no direct donor source reuse for eighth-order changes; independent target-native rederivation/evidence only unless pre-existing compatible boundary already exists
ultimate-63,ftpscan-master,no explicit license,no direct source reuse; concepts/negative evidence/reference only
ultimate-63,godnsagent-master(1),MIT,"permissive source eligible for comparison/adaptation, but target-native authority and correctness gates still apply"
ultimate-63,gologin-main,MIT,direct adaptation permitted with attribution
ultimate-63,incy-platforms-main,no explicit license; descriptive reference only,no source copying; evidence/reference/independent rederivation only
ultimate-63,lossyconn-master,MIT,"permissive source eligible for comparison/adaptation, but target-native authority and correctness gates still apply"
ultimate-63,nahan-main(1),no explicit license; new revision evidence only,no source copying; evidence/reference/independent rederivation only
ultimate-63,openssl-cffi-master,Apache-2.0,"permissive source eligible for comparison/adaptation, but target-native authority and correctness gates still apply"
ultimate-63,sing-geoip-main,GPL-family copyleft; target does not copy generator source,no direct donor source reuse for eighth-order changes; independent target-native rederivation/evidence only unless pre-existing compatible boundary already exists
