donor,path,depth,direct_file_count,direct_child_dir_count,recursive_file_count,recursive_bytes,languages,classifications,children,reviewed_surface_count,reviewed_modules,fourth_order_record_ids,current_resolution,review_rationale,review_status
Aether,.,0,8,4,2180,10139564,batch;c;css;html;javascript;markdown;rust;shell;toml;unknown;yaml,configuration;deployment;documentation;governance;implementation;media;repository-administration;test-or-fixture;vendored,.github;Docs;aether;quiche,2195,aether-owner-account;aether-owner-aethernoize;aether-owner-apifront;aether-owner-build;aether-owner-cli;aether-owner-config;aether-owner-consts;aether-owner-dns;aether-owner-error;aether-owner-fragment;aether-owner-lastconn;aether-owner-mac_test;aether-owner-main;aether-owner-masque;aether-owner-masque_h2;aether-owner-netstack;aether-owner-noize;aether-owner-prober;aether-owner-quic;aether-owner-routing;aether-owner-socks;aether-owner-sysprofile;aether-owner-tls;aether-owner-tunnelping;aether-owner-wg_prober;aether-owner-wireguard;aether-owner-zerotrust;aether-root;quiche-apps;quiche-buffer-pool;quiche-core;quiche-datagram-socket;quiche-ffi;quiche-fuzz;quiche-h3-qpack;quiche-h3i;quiche-netlog;quiche-octets;quiche-path-cid;quiche-pmtud;quiche-qlog;quiche-qlog-dancer;quiche-recovery;quiche-task-killswitch;quiche-tokio;quiche-tools;quiche-workspace,FO-001;FO-002;FO-004;FO-007,fully-accounted-fourth-order,Directory recursively resolves to 2195 exact hashed surfaces across 47 reviewed module family/families; no child path is omitted from the surface matrix.,reviewed
Aether,.github,1,0,1,1,27730,yaml,repository-administration,workflows,1,aether-root,n/a,fully-accounted-fourth-order,Directory recursively resolves to 1 exact hashed surfaces across 1 reviewed module family/families; no child path is omitted from the surface matrix.,reviewed
Aether,.github/workflows,2,1,0,1,27730,yaml,repository-administration,,1,aether-root,n/a,fully-accounted-fourth-order,Directory recursively resolves to 1 exact hashed surfaces across 1 reviewed module family/families; no child path is omitted from the surface matrix.,reviewed
Aether,Docs,1,5,0,5,1844309,markdown;unknown,documentation;media,,5,aether-root,n/a,fully-accounted-fourth-order,Directory recursively resolves to 5 exact hashed surfaces across 1 reviewed module family/families; no child path is omitted from the surface matrix.,reviewed
Aether,aether,1,3,1,29,510601,batch;rust;toml;unknown,configuration;implementation,src,29,aether-owner-account;aether-owner-aethernoize;aether-owner-apifront;aether-owner-build;aether-owner-cli;aether-owner-config;aether-owner-consts;aether-owner-dns;aether-owner-error;aether-owner-fragment;aether-owner-lastconn;aether-owner-mac_test;aether-owner-main;aether-owner-masque;aether-owner-masque_h2;aether-owner-netstack;aether-owner-noize;aether-owner-prober;aether-owner-quic;aether-owner-routing;aether-owner-socks;aether-owner-sysprofile;aether-owner-tls;aether-owner-tunnelping;aether-owner-wg_prober;aether-owner-wireguard;aether-owner-zerotrust,FO-001;FO-002;FO-004;FO-007,fully-accounted-fourth-order,Directory recursively resolves to 29 exact hashed surfaces across 27 reviewed module family/families; no child path is omitted from the surface matrix.,reviewed
Aether,aether/src,2,26,0,26,436052,rust,implementation,,26,aether-owner-account;aether-owner-aethernoize;aether-owner-apifront;aether-owner-cli;aether-owner-config;aether-owner-consts;aether-owner-dns;aether-owner-error;aether-owner-fragment;aether-owner-lastconn;aether-owner-mac_test;aether-owner-main;aether-owner-masque;aether-owner-masque_h2;aether-owner-netstack;aether-owner-noize;aether-owner-prober;aether-owner-quic;aether-owner-routing;aether-owner-socks;aether-owner-sysprofile;aether-owner-tls;aether-owner-tunnelping;aether-owner-wg_prober;aether-owner-wireguard;aether-owner-zerotrust,FO-001;FO-002;FO-004;FO-007,fully-accounted-fourth-order,Directory recursively resolves to 26 exact hashed surfaces across 26 reviewed module family/families; no child path is omitted from the surface matrix.,reviewed
Aether,quiche,1,15,14,2137,7699364,c;css;html;javascript;markdown;rust;shell;toml;unknown;yaml,test-or-fixture;vendored,.github;apps;buffer-pool;datagram-socket;fuzz;h3i;netlog;octets;qlog;qlog-dancer;quiche;task-killswitch;tokio-quiche;tools,2152,quiche-apps;quiche-buffer-pool;quiche-core;quiche-datagram-socket;quiche-ffi;quiche-fuzz;quiche-h3-qpack;quiche-h3i;quiche-netlog;quiche-octets;quiche-path-cid;quiche-pmtud;quiche-qlog;quiche-qlog-dancer;quiche-recovery;quiche-task-killswitch;quiche-tokio;quiche-tools;quiche-workspace,n/a,fully-accounted-fourth-order,Directory recursively resolves to 2152 exact hashed surfaces across 19 reviewed module family/families; no child path is omitted from the surface matrix.,reviewed
Aether,quiche/.github,2,1,1,5,17584,yaml,vendored,workflows,5,quiche-workspace,n/a,fully-accounted-fourth-order,Directory recursively resolves to 5 exact hashed surfaces across 1 reviewed module family/families; no child path is omitted from the surface matrix.,reviewed
Aether,quiche/.github/workflows,3,4,0,4,16434,yaml,vendored,,4,quiche-workspace,n/a,fully-accounted-fourth-order,Directory recursively resolves to 4 exact hashed surfaces across 1 reviewed module family/families; no child path is omitted from the surface matrix.,reviewed
Aether,quiche/apps,2,2,1,11,136504,rust;shell;toml;unknown,vendored,src,11,quiche-apps,n/a,fully-accounted-fourth-order,Directory recursively resolves to 11 exact hashed surfaces across 1 reviewed module family/families; no child path is omitted from the surface matrix.,reviewed
Aether,quiche/apps/src,3,5,1,9,131878,rust;unknown,vendored,bin,9,quiche-apps,n/a,fully-accounted-fourth-order,Directory recursively resolves to 9 exact hashed surfaces across 1 reviewed module family/families; no child path is omitted from the surface matrix.,reviewed
Aether,quiche/apps/src/bin,4,4,0,4,32294,rust;unknown,vendored,,4,quiche-apps,n/a,fully-accounted-fourth-order,Directory recursively resolves to 4 exact hashed surfaces across 1 reviewed module family/families; no child path is omitted from the surface matrix.,reviewed
Aether,quiche/buffer-pool,2,2,1,4,25732,rust;toml,vendored,src,5,quiche-buffer-pool,n/a,fully-accounted-fourth-order,Directory recursively resolves to 5 exact hashed surfaces across 1 reviewed module family/families; no child path is omitted from the surface matrix.,reviewed
Aether,quiche/buffer-pool/src,3,3,0,3,25293,rust,vendored,,3,quiche-buffer-pool,n/a,fully-accounted-fourth-order,Directory recursively resolves to 3 exact hashed surfaces across 1 reviewed module family/families; no child path is omitted from the surface matrix.,reviewed
