donor,archive,archive_sha256,member_count,file_surfaces,directories,symbols,symlinks,license_posture,source_reuse_policy,archive_issues,final_disposition,nested_members
Tor-IP-Changer-main,Tor-IP-Changer-main.zip,ee552ea0f66b6971fb95c9b1f85b95948a73092cf90b123d5b11d4ffc28e6051,11,8,3,2,0,MIT,concept/adaptation permitted with attribution; no donor packaging copied,none; validated before extraction,reviewed against post-refactor target; semantics in post-refactor-97 ledger,0
TorOverVPN-main,TorOverVPN-main.zip,8cdeee24aa0cf8318af47568439f11519984d3806d8d0fd9388e02bd911097d9,6,4,2,1,0,no explicit LICENSE,no source reuse; operational/negative evidence only,none; validated before extraction,reviewed against post-refactor target; semantics in post-refactor-97 ledger,0
Tor_Onion_Proxy_Library-master,Tor_Onion_Proxy_Library-master.zip,0ebd6ce5c11763ae2394ae878cb02108705d8b1d9a9e81411d655d41b8229f3d,145,73,72,583,0,Apache-2.0,behavioral evidence/adaptation permitted; bundled binaries remain donor artifacts,none; validated before extraction,reviewed against post-refactor target; semantics in post-refactor-97 ledger,120
onion-grater-master,onion-grater-master.zip,cdb3d70b07f53f69806cd108004abadd5914e9aafd834c5966222dcb02695c64,36,23,13,0,0,AGPL-3+ with file-specific notices,no source reuse; security-policy evidence only,none; validated before extraction,reviewed against post-refactor target; semantics in post-refactor-97 ledger,0
onionbalance-develop,onionbalance-develop.zip,a8fb0b914e3769907575186deff564063ccb15aeab3330dda1a04f8d356a4d26,62,54,8,142,0,GPLv3,no source reuse; protocol/algorithm reference only,none; validated before extraction,reviewed against post-refactor target; semantics in post-refactor-97 ledger,0
onionoo-master,onionoo-master.zip,6ea0ae8910b70ce9ef1356c318baeb0e46ef82f3d53d2fa3b33f91978e785404,146,116,30,2507,0,BSD-style,protocol/data-model reference only,none; validated before extraction,reviewed against post-refactor target; semantics in post-refactor-97 ledger,0
tor-android-master,tor-android-master.zip,ba973b6f3a83561ccbdb7543b82a938738d7283b6690a025e527b50ed4508382,80,44,36,119,5,mixed component licenses documented in LICENSE,behavioral/build reference only; no bundled component reuse,none; validated before extraction; symlinks recorded without materialization,reviewed against post-refactor target; semantics in post-refactor-97 ledger,33
tor-controller-master,tor-controller-master.zip,47ed6317070125162797169ca12cefed9fbff1ad9624796bc7cdb9c857362ac7,12501,10407,2094,176,18,Apache-2.0 top-level; large vendored dependency tree,primary-source concepts only; vendored code not reused,none; validated before extraction; symlinks recorded without materialization,reviewed against post-refactor target; semantics in post-refactor-97 ledger,0
tor-ramdisk-master,tor-ramdisk-master.zip,de7ac139cb76f2a1a57d4a21147923573d5e57da2780beb27f233821b88f4334,16,14,2,0,0,GPLv3,no source reuse; operational/negative evidence only,none; validated before extraction,reviewed against post-refactor target; semantics in post-refactor-97 ledger,0
torflow-main,torflow-main.zip,d5f33420f3eaf82cf49a046c110e5f18e300c2cc0a7fac167a0d94216bf53811,164,120,44,2054,0,BSD-style,measurement/evaluation reference only,none; validated before extraction,reviewed against post-refactor target; semantics in post-refactor-97 ledger,0
torps-master,torps-master.zip,42281c84375156cbc4ff6e26e64b3700338d86529b6d70185e3ba32f05d5277a,870,787,83,11156,0,BSD-style/custom US Government notice,research/evaluation reference only,none; validated before extraction,reviewed against post-refactor target; semantics in post-refactor-97 ledger,0
torsocks-main,torsocks-main.zip,a4f827d6dc5248a110886265c61e66af3822a9699cacf6a3e858bd58b418a21b,120,102,18,494,0,GPLv2,no source reuse; behavioral guardrails/test ideas only,none; validated before extraction,reviewed against post-refactor target; semantics in post-refactor-97 ledger,0
tun2tor-master,tun2tor-master.zip,a4c5512fe09c9b45f042c11f186a3031b3c8359efc30ee1221767ee1443d36be,41,33,8,336,1,MIT,concept/adaptation permitted with attribution; no donor packaging copied,none; validated before extraction; symlinks recorded without materialization,reviewed against post-refactor target; semantics in post-refactor-97 ledger,0
txtorcon-main,txtorcon-main.zip,5e21fbbe4adc8b72839280b86f07b1cab3b3d3aa847106242d36e4725846c7c6,246,225,21,2105,0,MIT,protocol/test evidence may inform independent target-native implementation,none; validated before extraction,reviewed against post-refactor target; semantics in post-refactor-97 ledger,0
