repair_id,repair,resolution,target_paths,semantic_record_ids
U-R001,atomic-replacement-safe filesystem observation,"canonical watcher observes parent directories, filters exact target paths and debounces write/create/rename/remove",src/apps/daemon/internal/platform/system/file_watcher.go;src/apps/daemon/internal/platform/system/file_watcher_test.go,U-S001
U-R002,duplicate config watcher implementation,runtime proxy watcher delegates to the canonical system watcher and deduplicates unchanged durable revisions,src/apps/daemon/internal/runtime/proxy/config_watcher.go,U-S001
U-R003,hard-coded obfs4-only Tor bridge seam,typed bounded pluggable-transport builder supports registered obfs4/Snowflake/WebTunnel client transports,src/apps/daemon/internal/platform/system/tor_config_builder.go;src/apps/daemon/internal/runtime/runtimecore/manager.go,U-S002;U-S003;U-S004
U-R004,Tor transport process-authority expansion,live API accepts only registered transport names/executable basenames and narrowly approved flags,src/apps/daemon/internal/runtime/runtimecore/manager.go;src/apps/daemon/internal/adapters/api/handlers_system_engines.go,U-S003;U-S004
U-R005,Tor replacement before transport binary admission,production preflight resolves executable availability before current-engine stop/replacement,src/apps/daemon/internal/runtime/runtimecore/manager.go;src/apps/daemon/internal/runtime/runtimecore/adapters.go;src/apps/daemon/internal/runtime/runtimecore/adapters_transport_test.go,U-S004
U-R006,incorrect AvoidDiskWrites value,Tor config builder now emits AvoidDiskWrites 1,src/apps/daemon/internal/platform/system/tor_config_builder.go;src/apps/daemon/internal/runtime/runtimecore/chaining_test.go,U-S002
U-R007,invalid per-instance Tor GeoIP file references,runtime torrc no longer points at nonexistent GeoIP/GeoIPv6 files in a fresh temporary DataDirectory,src/apps/daemon/internal/runtime/runtimecore/tor_engine.go;src/apps/daemon/internal/runtime/runtimecore/chaining_test.go,U-S002
U-R008,external-process DoT-over-Tor composition gap,authenticated DoT is implemented directly with optional SOCKS raw dialing and bounded deadlines,src/apps/daemon/internal/networking/dns/resolver.go;src/apps/daemon/internal/networking/dns/resolver_dot_test.go,U-S005
U-R009,malformed DoH proxy silently fell back direct,DoH proxy admission now fails closed and redirects are disabled,src/apps/daemon/internal/networking/dns/resolver.go;src/apps/daemon/internal/networking/dns/resolver_dot_test.go,U-S005
U-R010,Tor exit diagnostic lacked explicit unknown/encrypted resolution,tri-state DNSEL diagnostic uses authenticated encrypted DNS and optional active Tor SOCKS,src/apps/daemon/internal/analysis/diagnostics/tor_exit_check.go;src/apps/daemon/internal/adapters/api/handlers_tor_ops.go;src/apps/daemon/internal/adapters/api/routes_system.go,U-S006
U-R011,endpoint comparison collapsed loss/outliers,"bounded quality primitive preserves loss, median successful RTT and jitter",src/apps/daemon/internal/runtime/proxy/node_latency_tester.go;src/apps/daemon/internal/runtime/proxy/node_latency_tester_test.go,U-S007
U-R012,TLS probe evidence omitted peer chain/algorithm detail,"scanner peer evidence now includes issuer, chain size/length, signature and public-key algorithms",src/apps/daemon/internal/analysis/scanner/probe_pipeline_utils.go;src/apps/daemon/internal/analysis/scanner/tls_peer_info_test.go,U-S008
U-R013,regional DNS could dereference a nil response,nil/rcode regional responses are explicit errors; DoH now explicitly requires TLS 1.2+,src/apps/daemon/internal/networking/dns/resolver.go,U-S005
