path,change_type,baseline_sha256,current_sha256,accountability_class,finding_ids,reason
Makefile,modified,5b7c641070d7af1f5293885741239857cfda0213ef7dfb7c1be07a9728bf9d9a,22130bc894ce3372caa598df31671cb3de8915ee9f3f273eeb21816397405d0d,verification,F-014,Execute declaration-integrity and refactor-successor gates in canonical verify-repo.
governance/audit/refactor-pass-audit.md,added,n/a,9ff243cb91d3bde2abd82d368234c8adba71a547aa6ac3e1a680bf9b14100d51,governance/evidence,F-014;F-015;F-016;F-017;F-018,"Durable architecture audit, coverage, remediation and refactor RFC evidence."
governance/audit/refactor-pass-coverage.csv,added,n/a,a683e702246fb96bde7cd80dcf53d68a5ac440105c695b910f868944704ccbe5,governance/evidence,F-014;F-015;F-016;F-017;F-018,"Durable architecture audit, coverage, remediation and refactor RFC evidence."
governance/audit/refactor-pass-findings.csv,added,n/a,1bf4e32837e25da3c17358f6075bb543119abb39b0e8e33b83a2076dd000b51e,governance/evidence,F-014;F-015;F-016;F-017;F-018,"Durable architecture audit, coverage, remediation and refactor RFC evidence."
governance/audit/refactor-pass-refactor-plan.md,added,n/a,e3b9e67c26b0e2c277ed9546ce5c40c59ea3aaffa1a54a1bd76adf104ea21173,governance/evidence,F-014;F-015;F-016;F-017;F-018,"Durable architecture audit, coverage, remediation and refactor RFC evidence."
governance/audit/refactor-pass-remediation.csv,added,n/a,75852a2a5c27ecc2f7052e668ce7e4b4b25988e46e1272dd6bf2f99192ca4206,governance/evidence,F-014;F-015;F-016;F-017;F-018,"Durable architecture audit, coverage, remediation and refactor RFC evidence."
governance/audit/refactor-pass-rust-ffi-rfc.md,added,n/a,119284a4c8979c71830f969a46f25851f397d60f8685dbd5e5ad12019c91a690,governance/evidence,F-014;F-015;F-016;F-017;F-018,"Durable architecture audit, coverage, remediation and refactor RFC evidence."
governance/audit/refactor-pass-validation.md,added,n/a,e968d38e2c35634bd68fa725fa2f448f1355affb9019ef2c49609b9e018fa730,governance/evidence,F-014;F-015;F-016;F-017;F-018,"Durable architecture audit, coverage, remediation and refactor RFC evidence."
governance/convergence/refactor-pass-baseline-files.csv,added,n/a,105f948f7fe966b4a11214e09c0bb9b7d1f7686410317ce72deb9425b9139679,governance/evidence,F-014,Successor baseline and exact target-delta evidence for the architecture refactor.
governance/topology/relocations.json,modified,80f4b6fccbe9f08cb73cc8ad5dd1932c5b6719c6735d549b7b7334ada888d9ee,51b4b615e7f8404ac2fe80adcee3c074d4f4dee41d3eb100b1e81174184c6372,governance/evidence,F-005;F-012;F-013;F-014,Record deliberate retirements and reviewed transformed WebTunnel test semantics.
labs/daemon/modules/MODULE_ISLANDS.csv,modified,f8fc34e9f80f2235afed521135d513c49466088f57c4d9641e74230c06f8c834,2a5b342ed5e0e9f337804a68123c0bc114aa3585ee92d56fb835838f4d6a4e3a,retirement/evidence,F-013,Retire obsolete Android lab ProtectSocket adapter and its preserved-island catalog row.
labs/daemon/modules/mobile/protect_unix.go,deleted,ab1d46c061b18ef7edf52f8c2cdb7ed2e1711ae6e0775b0b09295910de64e8e2,n/a,retirement/evidence,F-013,Retire obsolete Android lab ProtectSocket adapter and its preserved-island catalog row.
scripts/checks/check_go_declaration_integrity.go,added,n/a,f5fde3bf1dedd6480810b13d6e63c34fda5ccda48610582ff7206cb599055e50,verification,F-014,Add dependency-free cross-platform Go syntax/declaration integrity guard.
scripts/checks/check_refactor_audit.py,added,n/a,ce0452b937947698e4db3099677dc1f844011e673a2d2b546d8fd20a6b45fce3,verification,F-014,Add machine-checkable successor refactor evidence and invariant gate.
scripts/checks/check_ultimate_convergence.py,modified,229aec41de4dbe495e7fc7b4f88e72bd3b20f2dd2b74919b50abf079eac728b3,b77830651da5ecf830126ba66b47809dca8fc734b9321deb62c8507944d60e51,governance/evidence,F-014,Freeze historical ultimate convergence against the refactor successor baseline.
src/apps/daemon/internal/adapters/api/.context,modified,414f7049516178924d636ca5b2b441f0680934123dcf999dbfac01cc05a47679,9c1a7d5c610b7cbeb6e53fc7d4d611b56c74a1e17ff22eb236ef58b292b3b68a,generated-context,F-014,Regenerated source ownership/context after architecture refactor.
src/apps/daemon/internal/adapters/api/handlers_proxy_directory_test.go,modified,6fb6d61d85a4b3988e1178c1fcb368e17ebde90c534951f2d395a6ab43dcbc4c,fcfacdf3a52ed00490889fad3591ab9e5ecfdf0469a8e28f8832547fc7448ec7,refactor/architecture,F-004,Narrow configuration persistence to revision-CAS authority and update characterization.
src/apps/daemon/internal/analysis/diagnostics/.context,modified,139a557692cd933fdca13239ba78af973896ee65d05e26eb639780fb64aa736d,e8ae3e268378bbfa3115718e3a9353bd4bc6cfe42956c5a01606562685915d41,generated-context,F-014,Regenerated source ownership/context after architecture refactor.
src/apps/daemon/internal/analysis/scanner/.context,modified,fb68d0c72c9b66288e30295cf43e478d143819591520e3106561e32591f33af9,0742850326d97978e58f805b9b705f4f8fd743f7db61df8547f9774ec669a394,generated-context,F-014,Regenerated source ownership/context after architecture refactor.
src/apps/daemon/internal/foundation/config/.context,modified,3d653e05f9bfabdad1f3f80c5ba1325277757dd962bdbaa35ed3fedbe87cb67e,9d7bc917762ad628eb6c9cd254b1b767ea27a76c1bb8e0e9eeab6f016e5e6432,generated-context,F-004,Regenerated source ownership/context after architecture refactor.
src/apps/daemon/internal/foundation/config/config.go,modified,3e8a59a963944a7215fa37dfbc5fa59ed90c50100f4f969233e0b560966a04a2,50f527b57cb71b85425d7a04c301f01ebf3b6037703277dc42bb3da17a6c3620,refactor/architecture,F-004,Narrow configuration persistence to revision-CAS authority and update characterization.
src/apps/daemon/internal/foundation/config/config_secret_refs_test.go,modified,b45f219f3fd32d3d7b692a2edcf1d4b71ffe17452f60249dfb635ba2e951dd1d,a9d9dfc5e66feef5005e05cc707f9d6d34d9a64c03c51de3fb93b54ac8df9154,refactor/architecture,F-004,Narrow configuration persistence to revision-CAS authority and update characterization.
src/apps/daemon/internal/foundation/config/revision_test.go,modified,2f2554bb82178dd6e14594fc2bae132c5728b2e4e7eb84e9967fce02b0bc7913,9384bd29ec661fe7fb69e7c165b36b4f303bdbe3c0a01a256ec3dafd1bcc86e7,refactor/architecture,F-004,Narrow configuration persistence to revision-CAS authority and update characterization.
src/apps/daemon/internal/foundation/remoteaction/.context,modified,22d6c8d63c24fc155184992ba65fd16fc00430a55349d8fc8d357387cc066c23,fbd665f7c064f7a9b9f6deb6c0a8641193309d1d69b21d65c559299ee37c0336,generated-context,F-014,Regenerated source ownership/context after architecture refactor.
src/apps/daemon/internal/integrations/provision/provision.go,modified,f7bd131055f8df86a328aca745a905c6d6aa157bc7756d87da7eea137a4cbc43,27ec479dad6855cf7f6c02c4d965d8a3e832dde9a3329b6c061d9cd882120c5b,refactor/architecture,F-001,Deepen provisioning progress by removing unused/racy subscriber lifecycle.
src/apps/daemon/internal/integrations/provision/provision_test.go,modified,6e8ba133952e147a5022caabb0caf0c498c06a17a56d47ff07070dd7c6de7e41,3f87375f20b67ffbab2af810f193068f462e1f077d2cf0ef83e48357d594623a,refactor/architecture,F-001,Deepen provisioning progress by removing unused/racy subscriber lifecycle.
src/apps/daemon/internal/integrations/provision/vps.go,modified,577e60f3f130936615110400ac1c48ed49dd69e1c6ecd2a27522ea747ebdca20,526c41dba24062a05a142de79c1d0b17626d2c45f264c1b4046346080f5fe9e2,refactor/architecture,F-002;F-015;F-016,Bound/redact remote execution while retaining explicit SSH/bootstrap design-first risks.
src/apps/daemon/internal/integrations/relayclient/.context,modified,99739bd58c5e00f80650780df23d312f7a61d7a2a15d5f158bbfc202890dafd3,be28e5709e6fcda9a2e28aec8b71edd51b2958f320aadb6d16b75b1940532c23,generated-context,F-014,Regenerated source ownership/context after architecture refactor.
src/apps/daemon/internal/integrations/relayclient/gsa_relay.go,modified,84c3f88618257cca8c44f88614da6d8de18e006f250b2b1e94c6d94c2b10120f,8a3a8f058e1c15895014f84183b7bd373d9bffa01063a8cdc4eb9fc3d6f51828,refactor/architecture,F-007;F-010;F-011,Remove compile-blocking aliases; make close state atomic; use safe rollback primitive.
src/apps/daemon/internal/integrations/relayclient/relay_wire.go,modified,c38aefcc2884fe8fd0f7fed2f744c4aa46e44b8f04299d6565a0a8849b7092cc,7e03d723b8969d6481fb6f82d8e52d5f8eff74c6241debc34d9c1e327815c1ea,refactor/architecture,F-011,Centralize non-aliasing failed-write rollback and regressions.
src/apps/daemon/internal/integrations/relayclient/relay_wire_test.go,added,n/a,465dd81b63f81efc342d7331d3efb1f2bca3b850b6efaa1c63d167b6f869d573,refactor/architecture,F-011,Centralize non-aliasing failed-write rollback and regressions.
src/apps/daemon/internal/integrations/relayclient/serverless_dialer.go,modified,bd975a381c08d1184352d3c28e663087fa10f1be9683380c4ac83689bf54ef10,5118e7bb1f54b393e7fcd6c0448c81b34d27319f9a414e97840839928fea993a,refactor/architecture,F-009;F-010;F-011,"Restore live TLS verification, atomic close, and regression coverage."
src/apps/daemon/internal/integrations/relayclient/serverless_dialer_test.go,modified,7c67cd0c7284e04f3674f6b368652e7fcb082a40706bab01bb4748ca7d771b46,1d3dd67035c00074016e68beff7fae65360b914e4b267d3469fa982ef31c2387,refactor/architecture,F-009;F-010;F-011,"Restore live TLS verification, atomic close, and regression coverage."
