source_record_id,donor,domain,value_unit,fourth_order_disposition,fifth_order_decision,feature_value,usability_value,widget_richness,promotion_record_ids,target_evidence,decision_rationale,validation_status
SEM005,defyxVPN,mobile,iOS PacketTunnel host lifecycle,reference-only,deferred-platform-without-target-host,medium,medium,medium,n/a,n/a,Platform-specific lifecycle/test value remains useful but there is no matching active target host in this release surface; promotion now would add code without a usable user path.,reviewed
SEM006,defyxVPN,distribution,client update dialog workflow,reference-only,promoted-as-composition,high,high,high,F5-004,src/apps/daemon/internal/foundation/updateadmission/stage.go#Stage;src/apps/daemon/internal/adapters/api/handlers_update_stage.go#StageSignedUpdate;src/packages/control-ui/src/pages/Operations.tsx#runUpdateAction,"Feature-weighted re-score promotes this value through F5-004. Previously separate donor update-dialog/download ideas are recomposed above signed admission: the operator can discover, inspect, verify and stage the exact artifact. This adds practical update workflow value without requiring donor-specific updater code.",verified
SEM009,ZedPass,protocol,SSTP client/profile plane,reference-only,promoted-live,high,medium,high,F5-001,src/apps/daemon/internal/runtime/runtimecore/sstp_engine.go#newSSTPEngine;src/apps/daemon/internal/runtime/runtimecore/manager.go#EngineSSTP;src/apps/daemon/internal/runtime/runtimecore/capability.go#ProbeEngine;src/packages/control-ui/src/pages/Operations.tsx#sstpPPPOptions,"Feature-weighted re-score promotes this value through F5-001. With feature breadth prioritized, SSTP now fills a real protocol gap. The donor profile plane is decomposed into a runtimecore engine, external-client capability discovery, process-tree lifecycle ownership, API fields, and advanced operator controls instead of importing donor app architecture.",verified
SEM012,ZedPass,ui-product,DNS/proxy/TLS profile editing UX,reference-only,promoted-live,high,high,high,F5-006,src/packages/control-ui/src/pages/Profiles.tsx#Profiles;src/packages/control-ui/src/api/contracts.ts#parseSubscriptionProfiles;src/apps/daemon/internal/adapters/api/handlers_subscription_profiles.go#UpdateSubscriptionProfile,"Feature-weighted re-score promotes this value through F5-006. Feature richness now justifies exposing profile management that already exists in the daemon: primary/mirrors, last-good source, per-source health, quota/expiry/announcement metadata, refresh, auto-refresh and active state are visible and actionable in one workspace.",statically-validated
SEM016,Aether-GUI,process-supervision,pre-connect port collision check,reference-only,promoted-live,medium,medium,medium,F5-002,src/apps/daemon/internal/platform/system/port_preflight.go#CheckLocalTCPPort;src/apps/daemon/internal/adapters/api/handlers_port_preflight.go#PortPreflight;src/packages/control-ui/src/pages/Operations.tsx#runPreflight,Feature-weighted re-score promotes this value through F5-002. The old desktop pre-connect collision probe is promoted because it materially improves startability and operator feedback with almost no architectural cost. LumiNet exposes it as a reusable local preflight API and widget.,verified
SEM017,Aether-GUI,process-recovery,PID-file orphan termination,rejected-with-reason,deferred-functional-integrity,medium,medium,medium,n/a,n/a,Orphan PID termination remains deferred because the target lacks a durable process-identity record strong enough to distinguish a stale LumiNet child from a reused PID; wrong-process termination would be a direct functionality/reliability defect. Existing owner-scoped process-tree shutdown provides the useful lifecycle behavior.,reviewed
SEM022,Goida-AI-Unlocker,host-mutation,aggressive DNS service/process/ACL takeover,rejected-with-reason,deferred-because-behavior-breaks-target-functionality,medium,medium,medium,n/a,n/a,The donor behavior is broad/destructive or semantically mismatched enough that it would make existing routing/host behavior less predictable. Functionality-first weighting still rejects mechanisms that actively degrade another working feature.,reviewed
SEM023,Goida-AI-Unlocker,cache,small remote-main-line TTL cache,reference-only,deferred-lower-feature-leverage,medium,medium,medium,n/a,n/a,Re-reviewed with functionality/usability/widget richness dominant. The item remains below the current promotion cutoff because it lacks a coherent current user path or duplicates a stronger existing owner; its useful sub-primitives remain available for later extraction.,reviewed
SEM024,Goida-AI-Unlocker,localization,language normalization and fallback,reference-only,deferred-until-full-string-catalog,high,high,high,n/a,n/a,"Localization is high-value, but the current control UI has no complete message-key catalog. Shipping a partial donor-language layer would create inconsistent mixed-language workflows; promote when the full current UI can be translated coherently.",reviewed
SEM025,Goida-AI-Unlocker,distribution,desktop update workflow,reference-only,promoted-as-composition,high,high,high,F5-004,src/apps/daemon/internal/foundation/updateadmission/stage.go#Stage;src/apps/daemon/internal/adapters/api/handlers_update_stage.go#StageSignedUpdate;src/packages/control-ui/src/pages/Operations.tsx#runUpdateAction,"Feature-weighted re-score promotes this value through F5-004. Previously separate donor update-dialog/download ideas are recomposed above signed admission: the operator can discover, inspect, verify and stage the exact artifact. This adds practical update workflow value without requiring donor-specific updater code.",verified
SEM026,Goida-AI-Unlocker,operations,retrying delete/external-open helpers,reference-only,deferred-lower-feature-leverage,high,high,medium,n/a,n/a,Re-reviewed with functionality/usability/widget richness dominant. The item remains below the current promotion cutoff because it lacks a coherent current user path or duplicates a stronger existing owner; its useful sub-primitives remain available for later extraction.,reviewed
SEM028,Unlock_AI_and_EN_Services_for_Russia,routing-data,hard-coded service destination IPs,rejected-with-reason,deferred-because-behavior-breaks-target-functionality,medium,medium,medium,n/a,n/a,The donor behavior is broad/destructive or semantically mismatched enough that it would make existing routing/host behavior less predictable. Functionality-first weighting still rejects mechanisms that actively degrade another working feature.,reviewed
SEM029,Unlock_AI_and_EN_Services_for_Russia,blocking-policy,28K+ blocking domain corpus,reference-only,deferred-low-interactive-value,medium,medium,medium,n/a,n/a,"The data is potentially useful, but under the current feature-richness goal it adds less operator value than live protocol/update/profile/diagnostic surfaces and lacks a direct current workflow.",reviewed
SEM030,Unlock_AI_and_EN_Services_for_Russia,routing-data,15 unlabeled positive domains,reference-only,deferred-low-interactive-value,medium,medium,medium,n/a,n/a,"The data is potentially useful, but under the current feature-richness goal it adds less operator value than live protocol/update/profile/diagnostic surfaces and lacks a direct current workflow.",reviewed
SEM031,Unlock_AI_and_EN_Services_for_Russia,deployment,Magisk/root module packaging,reference-only,deferred-because-behavior-breaks-target-functionality,medium,medium,medium,n/a,n/a,The donor behavior is broad/destructive or semantically mismatched enough that it would make existing routing/host behavior less predictable. Functionality-first weighting still rejects mechanisms that actively degrade another working feature.,reviewed
SEM036,goida-vpn-configs,remote-fetch,TLS verification disabled and HTTPS downgrade retry,rejected-with-reason,deferred-because-behavior-breaks-target-functionality,medium,medium,medium,n/a,n/a,The donor behavior is broad/destructive or semantically mismatched enough that it would make existing routing/host behavior less predictable. Functionality-first weighting still rejects mechanisms that actively degrade another working feature.,reviewed
SEM039,goida-vpn-configs,routing-data,SNI/domain catalog,reference-only,deferred-low-interactive-value,medium,medium,medium,n/a,n/a,"The data is potentially useful, but under the current feature-richness goal it adds less operator value than live protocol/update/profile/diagnostic surfaces and lacks a direct current workflow.",reviewed
SEM040,goida-vpn-configs,distribution,QR subscription distribution outputs,reference-only,deferred-qr-generator-boundary,high,high,medium,n/a,n/a,"QR subscription output is useful, but there is no current QR encoder dependency/runtime in the frozen UI and the production bundle cannot be rebuilt in this environment. Keep as the next product promotion instead of shipping a fake/non-interoperable code.",reviewed
SEM041,goida-vpn-configs,distribution,GitHub release discovery/update tooling,reference-only,promoted-live,high,medium,medium,F5-003,src/apps/daemon/internal/foundation/updateadmission/discover.go#Discover;src/apps/daemon/internal/adapters/api/handlers_update_discover.go#DiscoverSignedUpdate;src/packages/control-ui/src/pages/Operations.tsx#discoverUpdate,"Feature-weighted re-score promotes this value through F5-003. Release discovery becomes more useful when fused with the existing fourth-order signed admission plane. A single HTTPS manifest URL now yields a bounded envelope and verified plan, replacing manual copy/paste while retaining target-native trust/version semantics.",verified
SEM042,goida-vpn-site,pwa,offline cache/service worker strategy,reference-only,promoted-live,high,high,high,F5-010,src/packages/control-ui/public/sw.js#isCacheableRequest;src/packages/control-ui/src/main.tsx#serviceWorker;src/packages/control-ui/public/manifest.webmanifest#standalone,Feature-weighted re-score promotes this value through F5-010. Offline/installable shell behavior materially improves usability for a local control application. The service worker caches only same-origin static GET shell assets; API requests stay network-only so an offline shell can still explain daemon unavailability without fabricating live state.,verified
SEM043,goida-vpn-site,distribution,GitHub release asset discovery with TTL cache,reference-only,promoted-partially,high,medium,medium,F5-003,src/apps/daemon/internal/foundation/updateadmission/discover.go#Discover;src/apps/daemon/internal/adapters/api/handlers_update_discover.go#DiscoverSignedUpdate;src/packages/control-ui/src/pages/Operations.tsx#discoverUpdate,"Feature-weighted re-score promotes this value through F5-003. Release discovery becomes more useful when fused with the existing fourth-order signed admission plane. A single HTTPS manifest URL now yields a bounded envelope and verified plan, replacing manual copy/paste while retaining target-native trust/version semantics.",verified
SEM044,goida-vpn-site,ui-security,external-link confirmation affordance,reference-only,promoted-live,medium,high,high,F5-011,src/packages/control-ui/src/pages/Profiles.tsx#openProviderLink,Feature-weighted re-score promotes this value through F5-011. The link-confirmation affordance becomes useful once provider support/home-page metadata is visible in Profiles. Links are actionable with an explicit confirmation instead of being inert metadata.,statically-validated
SEM045,goida-vpn-site,localization,multi-language product translation corpus,reference-only,deferred-until-full-string-catalog,high,high,high,n/a,n/a,"Localization is high-value, but the current control UI has no complete message-key catalog. Shipping a partial donor-language layer would create inconsistent mixed-language workflows; promote when the full current UI can be translated coherently.",reviewed
SEM046,goida-vpn-site,product-analytics,client download/project statistics presentation,reference-only,deferred-missing-authoritative-stats-source,medium,medium,medium,n/a,n/a,"Project/download statistics would enrich the UI, but LumiNet has no authoritative stats provider today. Existing profile quota/health metadata was promoted instead because it is backed by live daemon data.",reviewed
SEM047,goida-vpn-site,product-web,SEO/meta routes and templates,reference-only,deferred-lower-feature-leverage,medium,medium,medium,n/a,n/a,Re-reviewed with functionality/usability/widget richness dominant. The item remains below the current promotion cutoff because it lacks a coherent current user path or duplicates a stronger existing owner; its useful sub-primitives remain available for later extraction.,reviewed
SEM056,Aether,certificate-lifecycle,MASQUE certificate lifetime/renewal window,reference-only,deferred-lower-feature-leverage,medium,medium,medium,n/a,n/a,Re-reviewed with functionality/usability/widget richness dominant. The item remains below the current promotion cutoff because it lacks a coherent current user path or duplicates a stronger existing owner; its useful sub-primitives remain available for later extraction.,reviewed
SEM057,Aether,routing-policy,block-before-proxy precedence,rejected-with-reason,deferred-because-behavior-breaks-target-functionality,medium,medium,medium,n/a,n/a,The donor behavior is broad/destructive or semantically mismatched enough that it would make existing routing/host behavior less predictable. Functionality-first weighting still rejects mechanisms that actively degrade another working feature.,reviewed
SEM059,Aether,wireguard-resilience,bounded transient UDP receive error tolerance,reference-only,deferred-lower-feature-leverage,medium,medium,medium,n/a,n/a,Re-reviewed with functionality/usability/widget richness dominant. The item remains below the current promotion cutoff because it lacks a coherent current user path or duplicates a stronger existing owner; its useful sub-primitives remain available for later extraction.,reviewed
SEM064,Aether,identity,Cloudflare Access/Zero Trust token login/cache,reference-only,deferred-no-user-facing-access-flow,medium,medium,medium,n/a,n/a,"Identity/token mechanics are useful only with a concrete Access login workflow and consumer. No current LumiNet product flow needs that identity plane, so promotion would add hidden complexity without user-visible functionality.",reviewed
SEM065,Aether,transport,MASQUE CONNECT-IP capsule parsing/tunnel,reference-only,deferred-parallel-transport-stack,medium,medium,medium,n/a,n/a,These deep QUIC/H3/FFI mechanisms are substantial but would create a parallel transport implementation with little immediate operator/widget value relative to the existing target libraries. Smaller observable trace value was promoted instead.,reviewed
SEM066,Aether,transport,HTTP/2 MASQUE fallback,reference-only,deferred-parallel-transport-stack,medium,medium,medium,n/a,n/a,These deep QUIC/H3/FFI mechanisms are substantial but would create a parallel transport implementation with little immediate operator/widget value relative to the existing target libraries. Smaller observable trace value was promoted instead.,reviewed
SEM067,Aether,transport,quiche MASQUE/QUIC client,reference-only,deferred-parallel-transport-stack,high,high,high,n/a,n/a,These deep QUIC/H3/FFI mechanisms are substantial but would create a parallel transport implementation with little immediate operator/widget value relative to the existing target libraries. Smaller observable trace value was promoted instead.,reviewed
SEM071,Aether,tls,ECH retry configuration extraction,reference-only,deferred-lower-feature-leverage,medium,medium,medium,n/a,n/a,Re-reviewed with functionality/usability/widget richness dominant. The item remains below the current promotion cutoff because it lacks a coherent current user path or duplicates a stronger existing owner; its useful sub-primitives remain available for later extraction.,reviewed
SEM074,Aether,binary-parsing,bounds-checked octet reader/writer,reference-only,deferred-parallel-transport-stack,medium,medium,medium,n/a,n/a,These deep QUIC/H3/FFI mechanisms are substantial but would create a parallel transport implementation with little immediate operator/widget value relative to the existing target libraries. Smaller observable trace value was promoted instead.,reviewed
SEM075,Aether,transport-performance,batched datagram/GSO socket abstraction,reference-only,deferred-parallel-transport-stack,medium,medium,medium,n/a,n/a,These deep QUIC/H3/FFI mechanisms are substantial but would create a parallel transport implementation with little immediate operator/widget value relative to the existing target libraries. Smaller observable trace value was promoted instead.,reviewed
SEM076,Aether,transport-http3,HTTP/3/QPACK implementation,reference-only,deferred-parallel-transport-stack,medium,medium,medium,n/a,n/a,These deep QUIC/H3/FFI mechanisms are substantial but would create a parallel transport implementation with little immediate operator/widget value relative to the existing target libraries. Smaller observable trace value was promoted instead.,reviewed
SEM077,Aether,transport-recovery,QUIC congestion/loss recovery suite,reference-only,deferred-parallel-transport-stack,high,high,high,n/a,n/a,These deep QUIC/H3/FFI mechanisms are substantial but would create a parallel transport implementation with little immediate operator/widget value relative to the existing target libraries. Smaller observable trace value was promoted instead.,reviewed
SEM078,Aether,transport-pmtud,QUIC PMTUD state machine,reference-only,deferred-parallel-transport-stack,high,high,high,n/a,n/a,These deep QUIC/H3/FFI mechanisms are substantial but would create a parallel transport implementation with little immediate operator/widget value relative to the existing target libraries. Smaller observable trace value was promoted instead.,reviewed
SEM079,Aether,transport-migration,path validation/migration,reference-only,deferred-parallel-transport-stack,medium,medium,medium,n/a,n/a,These deep QUIC/H3/FFI mechanisms are substantial but would create a parallel transport implementation with little immediate operator/widget value relative to the existing target libraries. Smaller observable trace value was promoted instead.,reviewed
SEM080,Aether,telemetry,QLOG schema/serialization,reference-only,promoted-live,medium,medium,medium,F5-007,src/packages/control-ui/src/api/qlog.ts#parseTransportTrace,"Feature-weighted re-score promotes this value through F5-007. QLOG becomes directly useful when treated as an operator import format rather than a transport authority. The control UI parses bounded local trace files, normalizes categories/events and produces summaries without adding daemon storage.",verified
