id,title,domain,status,confidence,locations,evidence,evidence_families,root_cause,trigger,consequence,severity,priority,recommendation,acceptance,verification,relations
F-001,Provisioning log subscription could deadlock and race channel close,reliability,Verified,Verified,integrations/provision ProvisionLogger; workflows/jobs provisioning runners,Static trace plus 100x race harness,implementation trace; race harness,Subscriber replay was synchronously pushed into a fixed buffer and unsubscribe closed channels while Log could still send,History greater than subscriber buffer or concurrent unsubscribe/logging,Provisioning could hang or panic during ordinary progress reporting,High,Now,Collapse logging to one thread-safe history interface; remove unused subscription fanout,No subscriber lifecycle remains; concurrent logging is race-free,100x Go race harness,R-001
F-002,Provisioning SSH command output was unbounded and errors could include secret-bearing command text,security/reliability,Verified,Verified,integrations/provision SSHRunner.Run,Static trace plus bounded-output regression harness,implementation trace; race harness,Remote stdout/stderr were fully buffered and command text was embedded in errors,Verbose or failing remote command,Memory growth and credential material could enter errors,High,Now,Bound captured output and return redacted execution errors,At most configured output bytes retained; errors omit command and stderr,100x Go race harness; go vet,R-002
F-003,Runtime engine replacement could strand a healthy engine after new-start failure,correctness/reliability,Verified,Verified,runtime/runtimecore Manager.Start,State trace plus replacement/rollback regression tests,implementation trace; race harness,Replacement stopped the current engine before the replacement had successfully started and had no restore transaction,Factory or Start failure after preflight,Healthy Tor/Psiphon runtime could be taken offline by a failed reconfiguration,High,Now,Keep the Start interface and hide transactional start/restore inside the module,Failed replacement restores previous configuration; double failure reports both causes,100x Go race harness,R-003
F-004,Configuration manager exposed an unconditional persistence escape hatch beside CAS,architecture/correctness,Verified,Statically validated,foundation/config Manager interface,Consumer search found no production Save/GetCopy callers; source interface inspection,call-site search; implementation trace,Safe CAS was optional because unconditional Save and duplicate GetCopy stayed exported,Any future internal caller choosing the bypass,Stale writers could overwrite authoritative settings and interface remained wider than necessary,Medium,Now,Make CAS persistence the only mutation interface and remove duplicate copy getter,Production/tests use revisioned snapshot mutation; removed names have no consumers,refactor audit checker; repository source/context checks,R-004
F-005,Dormant internal modules preserved duplicate privileged authority,security/architecture,Verified,Statically validated,platform/system admin SSH and Linux tproxy; workflows/jobs generic runner; mobile lab ProtectSocket,Repository-wide consumer search plus topology ownership audit,call-site search; topology checker,Unconsumed modules retained root/network/process authority after canonical owners had moved elsewhere,Future accidental registration or copy/paste reuse,Duplicate insecure authority and wider interfaces,Medium,Now,Retire proven-unconsumed modules under existing ADR deletion rules,Files absent; topology records explicit retirement; canonical owners unchanged,topology checker; refactor audit checker,R-005
F-006,Failover DNS resolver advertised 38 unused compatibility methods including no-ops/constants,architecture,Verified,Statically validated,networking/dns FailoverDOHResolver interface,Receiver-method census plus repository-wide reference search,AST/symbol census; call-site search,Historical compatibility surface remained exported inside an internal package after consumers disappeared,Maintenance or new callers infer unsupported capabilities from the interface,Weak locality and misleading test surface,Medium,Now,Delete only zero-consumer methods; preserve every active resolver behavior,Removed methods have zero source/test/doc/governance consumers; active call sites unchanged,refactor audit checker; syntax/declaration checker,R-006
F-007,GSA relay source contained self-referential duplicate type aliases,correctness/delivery,Verified,Verified,integrations/relayclient GSA relay,Exact-source typecheck failed before change and passed after,compiler evidence; source trace,Stale compatibility aliases redeclared canonical wire types in the same package,Any build selecting the file,Deterministic Go compile failure,High,Now,Remove invalid aliases and use canonical relay wire types directly,Exact-source package typechecks/tests successfully,100x race harness; declaration integrity checker,R-007
F-008,NAT package protocol constants collided with exported TCP/UDP listener types,correctness/delivery,Verified,Verified,platform/system/nat,Exact-source typecheck failed before change and passed after,compiler evidence; package tests,Protocol constants reused type identifiers in the same package namespace,Any active NAT build,Deterministic Go compile failure,High,Now,Rename protocol constants while preserving listener type interface,All active platform selections have zero duplicate declarations; NAT tests pass,100x race harness; declaration integrity checker,R-008
F-009,Authenticated serverless relay disabled TLS certificate verification,security,Verified,Verified,integrations/relayclient serverless WebSocket dialer,Live call trace plus self-signed-certificate rejection regression,implementation trace; TLS harness,Diagnostic-style trust bypass leaked into an authenticated relay transport,MITM with attacker-controlled certificate on relay path,Relay traffic confidentiality/integrity loss,High,Now,Restore normal PKI verification on live relay traffic,Untrusted self-signed relay is rejected,100x race TLS harness,R-009
F-010,HTTP/GSA relay close state raced concurrent I/O,concurrency/reliability,Verified,Verified,integrations/relayclient HTTP and GSA net.Conn adapters,Static race trace plus race harness,implementation trace; race detector,Plain bool lifecycle state was accessed by concurrent methods,Concurrent Close with Read/Write,Data race and undefined lifecycle behavior,Medium,Now,Use atomic idempotent close ownership,Close is idempotent and race-free,100x race harness,R-010
