donor,archive_sha256,license,file_surfaces,directories,manifests,symbols,nested_file_payloads,symlinks,decision
IPRadar2ForLinux,bb31f74a93c5de4d647376244114006de0a2a64c4833a8e7d0179e1247f88a18,MIT,46,12,3,269,0,0,"reference-only: passive connection/network visibility is valuable, but process-kill and firewall automation are not adopted without one canonical cross-runtime flow authority."
SNI-Spoofing-Go,e11b4b225bbc8e484aed2771290911fa4a9a1bcf4111d087e035e7cf269033df,GPL-3.0,52,20,1,56,0,0,rejected-with-reason: raw wrong-sequence TLS injection duplicates LumiNet evasion authority and GPL source is not directly reused.
SNI-Spoofing-Pro,d09b52a9ed1ba0da978060b4848e0bacf51eed3550879cfd8201e30abeb1f975,GPL-3.0,31,6,1,136,0,0,rejected-with-reason: raw injection plus deployment/service authority would duplicate existing evasion/runtime owners; GPL source is not directly reused.
Sanaei-3xui-v2ray,6f257f6221a51e24a9c02aa158dd7c64dbd1a719b7fdb64850f2b23b4a8e97f8,GPL-3.0,150,49,1,1899,0,0,rejected-with-reason: server tenant/admin/control-plane authority is outside LumiNet client scope and would create a second source of truth.
Scrapling,4714e95e7be11b0e8de83eb490fe3c3226c4f01ff4a9bf997a65a63e3629ad3c,BSD-3-Clause,236,41,4,1411,45,0,"reference-only: checkpoint atomicity/dedup is useful evidence, but generic scraping/MCP and automatic work replay broaden authority and can replay non-idempotent jobs."
Shin-TG-V2ray-Collector,713c2635806df68560a35c49ed2a7cf945c0053c74b6c8c3d6cac829d56cda3e,unknown/no root license,10,0,1,21,0,0,"rejected-with-reason: scraped public configuration datasets are untrusted remote inputs, license provenance is unclear, and they cannot become authoritative profile state."
Throne,8a734eaaf1b8249777e3151f7da10641f8e8886a3bdd3a90c14e43bd2eb58e30,GPL-3.0,844,135,9,743,0,0,"reference-only: rich desktop process/connection UI is useful product evidence, but target lacks a canonical cross-runtime flow registry and desktop per-app authority remains unsupported."
V2RayDAR,ff03255ef6f8be15b08f1f2c1ae5d7603c40fc17cbb4509be854cd135dcfea8d,AGPL-3.0,62,8,2,803,0,0,"reference-only: external sing-box validation/probing is a useful oracle, but AGPL code and a second subscription/runtime owner are not adopted."
Vwarp,36aeae1358bff0284aa724c3df4046bf209d929bc313adbaede4baac514071a0,AGPL-3.0,195,59,1,786,0,0,superseded: LumiNet already owns WARP/MASQUE scanning/runtime with bounded real-handshake qualification; donor staging does not justify another WARP authority.
WarpScanner,db17f55307969470409a6f9a7c1cc83159b6f5c0eca1e9a36d8945e6a3e765c3,GPL-3.0,41,4,1,3694,0,0,adapted: repeated quality samples exposed temporal jitter as a stable ranking discriminator; unsafe worker counts and arbitrary aggregate weights are not adopted.
Yacd-meta,d6bdeb427be33d701d9cd34954e7be367ab8a244b87b9fe96b92321ffcddd8a0,MIT (package.json),226,30,2,401,0,0,"reference-only: connection-table UX is valuable, but its backend assumes a canonical connections API LumiNet does not yet have across all runtimes."
gotk4,07dc14f4f4780b336b7095250a9fb0f0a17b5d61551a5e5fc35ce57f669b2c74,MPL-2.0 root; subcomponents vary,168,68,2,5308,0,0,rejected-with-reason: GTK binding generation targets the wrong product stack and adds build/runtime complexity without LumiNet semantic value.
ipscan,74a5cf36656eb50df9b4291d160b37c948f4e851a3fbddb3889b98c59c2e1b22,GPL-2.0,350,74,3,27,48,0,superseded: feeder/fetcher/cancellation patterns overlap LumiNet scanner scheduling and diagnostics; no second scanner framework is adopted.
libcrafter,bc021e2984f081561604dc1502eee53b831de76b8afed4fb128c067cb64afa6e,MIT,1284,145,4,16732,0,2,hardened: strict IP declared-length checks and bounded conflict-aware defragmentation semantics harden existing LumiNet packet owners; generic live packet crafting is not added.
mylg,60dc992016e5cbefcceb53f1c36ceebc6d280597cd4db7aa0812a600d8119e75,MIT,392,63,4,652,0,0,adapted: real TTL-scoped traceroute semantics replace LumiNet fake repeated-connect tracing; donor CLI/runtime packaging is not imported.
obfuscated-openssh,d9cb272486e0b903fe474d09813626cfd8bd71f0a63312ce19920c05025a998d,BSD-family/OpenSSH composite,450,12,3,351,0,0,rejected-with-reason: legacy SSH obfuscation uses deliberately weak anti-scanning crypto and would fork obsolete SSH protocol/runtime authority.
okhttp,89766236272fafb00410b7d2c6b636a30d9bd261c7e7ae02cbdfee7385cd0f38,Apache-2.0,616,326,29,291,48,0,adapted: finite follow-up and bounded Retry-After semantics harden LumiNet subscription HTTP resilience without importing the HTTP stack.
subconverter,ccdee435e87c8477b74199f29bdb075355b94d31848cc62460569cd2f70bd0e3,GPL-3.0,508,57,1,281,0,0,"superseded: broad conversion corpus is useful compatibility evidence, but LumiNet already owns validated parsers for observed SIP002/SSR/VMess/VLESS/Trojan/Hysteria forms and must not add a parallel converter service."
tailscale-rs,5ecf45641379b1aa1fc2daf2eed5966e92ddf93f637cbb938422240c82111495,BSD-3-Clause,485,163,47,2710,1,0,adapted: BART longest-prefix semantics inspired an immutable Go prefix index; full cross-platform netmon remains reference-only because it would introduce a new supervision/route-observation plane.
tsidp,ab98dceb906d57e26c99c2697810fc1e6ec48e39d2c7dc8cb8719e177d72e47a,BSD-3-Clause,86,18,6,208,0,0,rejected-with-reason: OIDC/OAuth identity-provider authority is outside LumiNet client scope and would create a new authentication source of truth.
