id,surface,role,entry_points,dependencies,risk_signals,evidence,status,findings,gap,criticality
C-001,foundation/config,durable settings authority and secret-reference CAS,HTTP settings/DDNS/proxy-directory writes,secret store; filesystem,"stateful, security-sensitive, recent churn",source trace; historical ultimate tests; refactor interface audit,Inspected,F-004,Current interface change is source/static validated; full Go 1.26 package build unavailable,critical
C-002,foundation/remoteaction,automatic mutation safety/retry coordination,all registered remote mutations,HTTP providers; reconciliation,"external side effects, retries",ultimate 100x race evidence reused; unchanged source hash checked by global gate,Exercised,,No new refactor delta,critical
C-003,integrations/provision,VPS/Cloudflare provisioning and SSH execution,provision jobs / HTTP intent,SSH; remote shell; cloud,"privileged, secrets, external I/O",source trace; two exact-source race harnesses,Exercised,F-001;F-002;F-015;F-016,SSH trust/bootstrap policy unresolved,critical
C-004,integrations/relayclient,serverless/GSA relay transport adapters,evasion relay dials,HTTP/WebSocket/TLS,"live user traffic, concurrency, buffering",two exact-source race harnesses; TLS regressions,Exercised,F-007;F-009;F-010;F-011;F-018,Deadline/backpressure contract deferred,critical
C-005,runtime/runtimecore,long-lived engine lifecycle transaction,Start/Stop/Status,Tor/Psiphon adapters,"availability, replacement, recovery",exact-source 100x race replacement harness,Exercised,F-003,,critical
C-006,runtime/proxy,evasion/qualification runtime including WebTunnel and SSH,runtime dials and qualification,relayclient; platform; external networks,"large/high-churn package, user traffic",WebTunnel exact-source race/TLS harness; targeted trust audit,Exercised,F-012;F-015,SSH host identity unresolved,critical
C-007,networking/dns,DNS/DoH/DoT resolution and failover,resolver calls from runtime/scanner/mobile/API,HTTP/TLS/cache,"large internal interface, network input",symbol/consumer census; syntax/declaration checks; historical ultimate DNS tests,Inspected,F-006,Full package execution blocked by Go 1.26 dependencies,high
C-008,platform/system/nat,NAT packet/listener primitives,mobilehost/platform callers,stdlib/network,platform build selection,exact-source full package 100x race tests,Exercised,F-008,,high
C-009,platform/system privileged surfaces,host-network/process mutations,transactional host-network owner,OS commands/filesystem,root authority,topology/ownership audits and dead-module search,Inspected,F-005,,critical
C-010,workflows/jobs,typed job orchestration,job manager/runners,store; integrations,async lifecycle,consumer census; repo job ownership gates,Inspected,F-001;F-005,,high
C-011,native/LumiCore Rust FFI,"Go/C↔Rust ABI, memory/string ownership",C exports/private ABI header,Rust core; host callers,unsafe memory/ABI compatibility,source/unsafe census; ABI governance checks,Blocked,F-017,"Cargo/rustc unavailable, so no Rust source edit claimed",critical
C-012,analysis/scanner + diagnostics,measurement/scanning plane,HTTP jobs/API diagnostics,TLS/network/native,intentional trust-bypass measurement semantics,targeted TLS classification plus prior ultimate convergence evidence,Inspected,,No new finding; remaining InsecureSkipVerify sites are diagnostic/measurement paths,high
C-013,adapters/api,authenticated product translation,HTTP/WebSocket routes,all daemon modules,"external input, authority",route/request-context/capability gates,Exercised,F-004;F-015,,critical
C-014,mobile + desktop + control UI,product hosts and adapters,Android/Desktop/browser,daemon contracts,platform/release skew,canonical repository reachability/product gates,Exercised,F-013,No platform runtime emulator/build in this environment,high
C-015,build/release/governance,"source topology, historical convergence, ABI, packaging checks",Makefile verify-repo,toolchains; scripts,release integrity,canonical checker suite; new declaration checker,Exercised,F-014,Go 1.26/Rust/Android toolchains partially unavailable,critical
