record_id,parent_record_id,composition_group_id,donor,domain,value_unit,source_granularity,value_form,separability,donor_path,donor_sha256,donor_symbol,transformation,mapping_topology,disposition,decision_rationale,target_capability,target_nodes,invariant,negative_invariant,test_node,operator_surface,migration_impact,license_note,risk_tier,dependency_record_ids,evidence_confidence,validation_status
E9-0001,n/a,CG9-transactional-hot-reload,caddy-master,runtime configuration,stage-before-publish config reload with rollback and stale-writer preconditions,focused donor mechanism/file,state-machine/transaction semantics,independently decidable semantic unit/evidence fragment,caddy.go,cf9e366d67c9367bb77a0ab48595533492fb526bac289ec0985cd21d54b6a823,changeConfig,adaptation + hardening,one-to-many,adapted,"Caddy demonstrates transactional config loading and conditional mutation. LumiNet had a dormant ConfigManager owner but leaked staged plugins, did not retire changed same-name generations, held state locks across lifecycle calls, hashed formatting, and exposed mutable config. The target owner is hardened rather than replaced.",transactional hot reload,src/apps/daemon/internal/platform/system/caddy.go#ConfigManager;src/apps/daemon/internal/platform/system/caddy.go#HotReloadIfHash,all replacement plugins are live before publication; stale expected hashes fail before lifecycle mutation,failed staging cannot alter published state; plugin lifecycle must not execute under the published-state lock,src/apps/daemon/internal/platform/system/caddy_test.go#TestConfigManagerFailedStagingRollsBackNewPluginsAndKeepsOldState,dormant runtime configuration owner,additive target-native convergence or explicit retirement; no donor-shaped durable authority migration,Apache-2.0,high,n/a,high,verified
E9-0002,n/a,CG9-configuration-generation-CAS,caddy-master,runtime configuration,semantic config hashing and optimistic whole-config CAS,focused donor mechanism/file,concurrency primitive,independently decidable semantic unit/evidence fragment,caddy.go,cf9e366d67c9367bb77a0ab48595533492fb526bac289ec0985cd21d54b6a823,changeConfig,adaptation,idea-to-native,adapted,Caddy If-Match semantics expose a concrete stale-editor race. LumiNet independently applies the principle to the whole canonical daemon config while preserving HotReload compatibility.,configuration generation CAS,src/apps/daemon/internal/platform/system/caddy.go#HotReloadIfHash,expected generation must match the active canonical hash,concurrent stale configuration writers cannot silently overwrite a newer generation,src/apps/daemon/internal/platform/system/caddy_test.go#TestConfigManagerHotReloadIfHashRejectsStaleWriter,dormant runtime configuration owner,additive target-native convergence or explicit retirement; no donor-shaped durable authority migration,Apache-2.0,high,n/a,high,verified
E9-0003,n/a,CG9-resource-lifecycle,caddy-master,resource lifecycle,reference-counted shared resource pool with destructor,focused donor mechanism/file,resource-management primitive,independently decidable semantic unit/evidence fragment,usagepool.go,1656867acb8b18fbf70dbaa1ee7eea3403e5965374a9020634076a24eccdec10,n/a,mechanism comparison,custom:reference-only,reference-only,The primitive is strong but LumiNet has no concrete changed resource owner requiring cross-module reference counting. Adding a generic pool without an owner would be architecture theater. Retained as future evidence only.,n/a,n/a,n/a,n/a,n/a,n/a,additive target-native convergence or explicit retirement; no donor-shaped durable authority migration,Apache-2.0,medium,n/a,high,reviewed
E9-0004,n/a,CG9-WARP-endpoint-quality-scanner,BPB-Warp-Scanner-main,WARP diagnostics,"repeated endpoint trials, observed loss and quality-aware ranking",focused donor mechanism/file,diagnostic algorithm,independently decidable semantic unit/evidence fragment,warp.go,ac3e2375a35d27d85360bc25c99efcae5801f0eabefd876d35000d5654141dec,n/a,independent rederivation + hardening,idea-to-native,inspired-native,"The GPL donor shows that endpoint quality is not a one-shot RTT. LumiNet independently implements bounded repeated handshakes, measured loss, median successful RTT and loss-first ranking.",WARP endpoint quality scanner,src/apps/daemon/internal/runtime/warp/warp_scanner.go#summarizeWarpAttempts,quality reflects repeated successful/failed observations under hard attempt and concurrency caps,a lossy low-latency endpoint cannot outrank a zero-loss endpoint or satisfy stop-on-good,src/apps/daemon/internal/runtime/warp/warp_scanner_test.go#TestWarpScannerRanksLossBeforeLatency,POST /api/system/warp-scan,additive target-native convergence or explicit retirement; no donor-shaped durable authority migration,"GPL-3.0; selected semantics independently rederived, no source copied",high,n/a,high,verified
E9-0005,n/a,CG9-authoritative-WARP-candidate-generation,BPB-Warp-Scanner-main,WARP diagnostics,broader WARP endpoint/port candidate corpus,focused donor mechanism/file,configuration/data corpus,independently decidable semantic unit/evidence fragment,network.go,2bf416b88a95f1aa83676cfeaa89869fc41564b2128df05ca430a58a39aeed57,n/a,independent rederivation,many-to-one,inspired-native,LumiNet had divergent API/runtime WARP candidate generators. The target runtime now owns one deduplicated candidate corpus used by API and scanner; donor values were not copied as source.,authoritative WARP candidate generation,src/apps/daemon/internal/runtime/warp/warp_scanner.go#GenerateCandidates,one bounded runtime owner generates unique IPv4/IPv6 endpoint candidates,API and runtime must not drift into separate candidate corpora,src/apps/daemon/internal/runtime/warp/warp_scanner_test.go#TestGenerateCandidatesUsesAuthoritativeCorpusAndNoDuplicates,POST /api/system/warp-scan,additive target-native convergence or explicit retirement; no donor-shaped durable authority migration,"GPL-3.0; selected semantics independently rederived, no source copied",medium,n/a,high,verified
E9-0006,n/a,CG9-single-host-network-mutation-authority,BWLimiter-main,host network authority,"ingress/egress tc shaping with IFB, protected ports and rollback ideas",focused donor mechanism/file,operational script/state mutation,independently decidable semantic unit/evidence fragment,limit-tc-port.sh,99fe863e8c43616732d60d2bfaf1caea6dd58cf29ec718c30a6a83505d040799,n/a,negative-to-guardrail,negative-to-guardrail,guardrail-derived,"The no-license donor is materially stronger than LumiNet's dormant traffic_shaper.go, but both mutate host qdisc state. The dormant parallel Go shaper is removed instead of copying shell logic; durable host-network ownership and in-process token-bucket shaping remain authoritative.",single host-network mutation authority,src/apps/daemon/internal/platform/system/host_network.go#ApplyHostNetwork;src/apps/daemon/internal/runtime/proxy/ip_shaper.go#PacedConn,host-network mutation remains snapshot/verify/rollback owned; portable per-flow shaping remains process-owned,a dormant helper must not clear or replace host qdisc outside durable authority,src/apps/daemon/internal/platform/system/host_network_test.go#TestFailedPersistentChangeRollsBackWithFreshContext,host-network operations,additive target-native convergence or explicit retirement; no donor-shaped durable authority migration,no explicit license; negative/guardrail evidence only,high,n/a,high,verified
E9-0007,n/a,CG9-bounded-network-quality-diagnostics,defyxVPN-main(1),network diagnostics,latency/jitter/loss/stability computation alongside throughput,focused donor mechanism/file,diagnostic/UX semantics,independently decidable semantic unit/evidence fragment,lib/modules/speed_test/application/services/results_calculator_service.dart,d87c2e17c3d5eca7e00b52a519c5a4af93d8049a96366ab980f9d6b534a6cf81,n/a,adaptation,many-to-one,adapted,"The newer MIT defyx revision has a substantially richer quality model than LumiNet's one-download endpoint. LumiNet keeps download throughput but adds min ping, median latency, adjacent-sample jitter, packet loss and a stability classification.",bounded network quality diagnostics,src/apps/daemon/internal/adapters/api/speedtest_metrics.go#summarizeSpeedtestLatency;src/apps/daemon/internal/adapters/api/speedtest_runner.go#runSpeedtest,quality metrics derive from bounded explicit samples and the same request deadline,download throughput alone must not claim connection stability,src/apps/daemon/internal/adapters/api/speedtest_metrics_test.go#TestSummarizeSpeedtestLatency,POST /api/system/speedtest,additive target-native convergence or explicit retirement; no donor-shaped durable authority migration,MIT,medium,n/a,high,verified
E9-0008,n/a,CG9-bounded-speedtest-runner,defyxVPN-main(1),network diagnostics,bounded multi-sample latency probing,focused donor mechanism/file,runtime measurement,independently decidable semantic unit/evidence fragment,lib/modules/speed_test/application/services/latency_measurement_service.dart,e03323447c4cd8151404b235988a2e1b1191b8438acdc9b425701c40a36497b0,n/a,adaptation + second-order hardening,one-to-many,hardened,The target adapts repeated latency probing but adds explicit sample/time/byte/redirect bounds. A second-order audit found that an origin ignoring Range could otherwise cause unbounded reads; the target now reads at most the approved bytes plus one detection byte.,bounded speedtest runner,src/apps/daemon/internal/adapters/api/speedtest_runner.go#runSpeedtest,all probes and download reads remain within explicit operator budgets,redirect chains or Range-ignoring origins cannot bypass byte/time bounds,src/apps/daemon/internal/adapters/api/speedtest_runner_test.go#TestRunSpeedtestRejectsOriginThatIgnoresDownloadBudget,POST /api/system/speedtest,additive target-native convergence or explicit retirement; no donor-shaped durable authority migration,MIT,high,n/a,high,verified
E9-0009,n/a,CG9-host-network-ownership,defyxVPN-main(1),platform networking,desktop proxy/VPN lifecycle integration,focused donor mechanism/file,platform integration,independently decidable semantic unit/evidence fragment,lib/modules/core/desktop_platform_handler.dart,b5578ed1c194084c6c816a2fd729c938a86ecd2f9f7f8e687a1c69b084f64587,n/a,mechanism comparison,many-to-one,superseded,"The new defyx revision adds native desktop integration, but LumiNet already has durable host-network transaction ownership and platform runtime owners. A second desktop authority would weaken recovery semantics.",host network ownership,src/apps/daemon/internal/platform/system/host_network.go#ApplyHostNetwork,one target owner coordinates persistent system-network changes,desktop UI/platform glue cannot directly become a second host mutation authority,src/apps/daemon/internal/platform/system/host_network_test.go#TestPersistentDNSChangeCommitsAndRemovesRecoveryRecord,system networking,additive target-native convergence or explicit retirement; no donor-shaped durable authority migration,MIT,medium,n/a,high,verified
E9-0010,n/a,CG9-advisory-profile-entitlement,3xui-telegram-bot-main,subscription operator evidence,expiry/traffic reminders,focused donor mechanism/file,product/state semantics,independently decidable semantic unit/evidence fragment,utils/reminder.py,a7f52518ad0b35a67c5a6f311ef0672fef045bb5b261abe76467f42db6981117,n/a,many-peer synthesis,many-to-one,synthesized,"The donor supplies useful quota/expiry operator semantics, but its user/billing database is not LumiNet authority. LumiNet synthesizes provider-reported metadata into a derived advisory entitlement view only.",advisory profile entitlement,src/apps/daemon/internal/integrations/sub/profile_entitlement.go#EvaluateProfileEntitlement;src/apps/daemon/internal/adapters/api/handlers_subscription_profiles.go#SubscriptionProfileView,quota/expiry warnings are derived from one explicit instant and existing provider metadata,"derived entitlement must never grant, revoke, bill, or meter connectivity",src/apps/daemon/internal/integrations/sub/profile_entitlement_test.go#TestEvaluateProfileEntitlementWarningsAndPrecedence,Profiles API and control UI,additive target-native convergence or explicit retirement; no donor-shaped durable authority migration,MIT,medium,n/a,high,verified
