wave,donor,archive,archive_sha256,member_count,file_surfaces,directories,symbols,symlinks,license_posture,source_reuse_policy,archive_issues,final_disposition,nested_members
post-refactor-20b,serenity-dev,serenity-dev.zip,7727f8b146386acadf63461a80aeab5789af27c312ff8cc8dc16b5fbeab2129a,116,91,25,167,0,GPL-3.x,no direct source reuse; independently rederive concepts/tests only,none; CRC/path/duplicate/case/type checks passed before extraction,"reference-only; config generation/filtering evidence retained, broad installer ownership rejected",0
post-refactor-20b,shadow-main,shadow-main.zip,f4c369bf9b22e9c6c13ef2c4d137337fe2c87bdc7e03fa351e402f18fa730254,1271,1044,227,6573,4,BSD-style,source reuse legally possible with attribution; this release uses evaluation/reference semantics only,none; CRC/path/duplicate/case/type checks passed before extraction,reference-only; deterministic real-application network simulation/evaluation methodology retained,0
post-refactor-20b,shadowsocks-libev-master,shadowsocks-libev-master.zip,40b9b953102fb8d0871954411aa8cf02adb9cf41b2c9ec535f6f4106dc6788b0,221,189,32,561,0,GPL-3.x,no direct source reuse; protocol/reference evidence only,none; CRC/path/duplicate/case/type checks passed before extraction,reference plus hardening evidence; existing target Shadowsocks/SOCKS authority retained,0
post-refactor-20b,simple-obfs-android-master,simple-obfs-android-master.zip,875ea443d237badfa03c9030ed0c23547b86eefc5260d465f556592bbcab60c6,64,34,30,3,0,GPL-3.x,no direct source reuse; packaging/lifecycle reference only,none; CRC/path/duplicate/case/type checks passed before extraction,"reference-only; Android plugin packaging boundary retained, executable plugin authority rejected",0
post-refactor-20b,sing-box-dashboard-main,sing-box-dashboard-main.zip,4883e3aeb43f6040d95d1df5df0f84a6a19ff8073b5fe652f8c51415fce4e8b7,80,65,15,444,0,GPL-3.x plus project naming/association restriction,no direct source reuse; UI/protocol concepts only,none; CRC/path/duplicate/case/type checks passed before extraction,"reference-only; framed WebSocket/operator-state evidence retained, target UI/API authority unchanged",0
post-refactor-20b,sing-box-dev-next,sing-box-dev-next.zip,d0adeeb89cf0a9b56aceff027074ff675b9ef467a2bf8fb8c8ffafa114edbc1d,1144,988,156,4592,0,GPL-3.x plus project naming/association restriction,no direct source reuse; mechanism/test evidence only,none; CRC/path/duplicate/case/type checks passed before extraction,hardening/reference evidence only; no GPL proxy-engine import or duplicate runtime authority,0
post-refactor-20b,sing-box-extended-extended,sing-box-extended-extended.zip,86d70fff1cb9b174e3329ccd961bf1345491613cadde79b30e48b858bf2d9d12,1771,1481,290,9096,0,GPL-3.x,no direct source reuse; mechanism/negative evidence only,none; CRC/path/duplicate/case/type checks passed before extraction,reference/guardrail only; expanded server/stealth/domain-fronting authorities rejected,0
post-refactor-20b,sing-box-for-android-dev,sing-box-for-android-dev.zip,9e5602a448757a89c453705effe57068d7c85e52e49f9c12677c98cee1d00080,692,538,154,1891,1,GPL-3.x,no direct source reuse; Android lifecycle/negative evidence only,none; CRC/path/duplicate/case/type checks passed before extraction,"reference/guardrail only; VPN lifecycle evidence retained, Xposed concealment hooks rejected",33
post-refactor-20b,sing-cloudflared-main,sing-cloudflared-main.zip,c3d9b99bcc7d81fcfa88ec96a9e1434aa7501f305873658fef7ea624548bc7fa,137,116,21,1909,0,GPL-3.x,no direct source reuse; protocol/negative evidence only,none; CRC/path/duplicate/case/type checks passed before extraction,reference/guardrail only; remotely managed inbound-tunnel authority rejected,0
post-refactor-20b,tun2proxy-master,tun2proxy-master.zip,b42601013d89cffa3bdcf3082c2b8100786612d829bb4b5956ef41356c3e0578,73,60,13,287,1,MIT,direct reuse permitted with attribution; target-native adaptation chosen to preserve existing authority,none; CRC/path/duplicate/case/type checks passed before extraction,hardening/reference evidence; SOCKS UDP/address-family semantics absorbed by existing TUN owner,0
post-refactor-20b,tun2socks-main,tun2socks-main.zip,87c1a82c5428967243cd0dd8deb1f8af934bdff675ce1b0b98565111c5f89ff6,166,119,47,497,0,MIT,direct reuse permitted with attribution; target-native adaptation chosen to preserve existing NAT owner,none; CRC/path/duplicate/case/type checks passed before extraction,hardening/reference evidence; existing target NAT/TUN authority retained,0
