prior_record_id,donor,prior_wording_issue,final_disposition,current_resolution,evidence
U-S017,torget-main,prior superseded wording implied active SOCKS-auth isolation,reference-only / claim corrected,Production torEngine SocksPort currently does not enable IsolateSOCKSAuth. The donor remains isolation reference; no active target behavior is claimed.,src/apps/daemon/internal/runtime/runtimecore/tor_engine.go;src/apps/daemon/internal/platform/system/tor_config_builder.go
E9-0003,caddy-master,retained as future evidence only,reference-only / final no-change,"No current LumiNet resource owner needs generic reference counting; adding a generic pool would create unused architecture. This is a completed no-change disposition, not queued work.",ultimate-pass-adoption-ledger.csv#E9-0003
E9-0017,eve-xui-manager-main,future explicit offline release requirement,reference-only / final no-change,Offline bundle packaging is useful evidence but not a dependency of the current release topology. No donor installer is adopted and no open convergence action remains.,ultimate-pass-adoption-ledger.csv#E9-0017
E9-0023,GoodbyeDPI-master,potentially useful future mechanism,reference-only / final no-change,Per-flow TTL tracking does not satisfy a current owned requirement and would add packet-state authority. Retain as evidence only with no queued implementation.,ultimate-pass-adoption-ledger.csv#E9-0023
E9-0027,gologin-main,useful future identity pattern,reference-only / final no-change,No OAuth provider/session product contract exists in LumiNet. Introducing an identity authority from peer evidence alone is rejected for the current target.,ultimate-pass-adoption-ledger.csv#E9-0027
E9-0031,x-ui-pro-master,any future bootstrap must use guarded provisioning,guardrail-derived / final rejection of donor mechanism,Broad root mutation and remote-script bootstrap are rejected. Current provisioning remains the pinned/signed apt owner introduced by F-016.,src/apps/daemon/internal/integrations/provision/vps.go
FP-S009,InviZible-master,Unix firewall protection described as deferred until a transaction exists,guardrail-derived / final rejection of second authority,"Direct donor iptables import is rejected because HostNetworkChange is the sole privileged network owner. Absence of an additional Unix leak feature is a disclosed product limitation, not an incomplete donor action.",src/apps/daemon/internal/platform/system
PR83-S010,smux-dev,pending protocol/performance differential,reference-only / final no-change,The fair scheduler does not justify replacing the pinned mux without compatible measured evidence. The convergence decision is complete: keep the existing owner.,post-refactor-83-adoption-ledger.csv#PR83-S010
PR83-S011,smux-dev,future upgrade must verify bounds,reference-only / final no-change,Buffer/deadline bounds remain a dependency-review oracle; no fork internals are imported and no upgrade task is left open by this release.,post-refactor-83-adoption-ledger.csv#PR83-S011
PR83-S014,onionperf-master,valuable for future Tor diagnostics,recomposed / partially adopted now,"Bootstrap/control readiness semantics are now adopted with TOPL, tor-android, and txtorcon evidence as PR97-S001..S006. Transfer/circuit measurement schemas remain observational reference only.",PR97-S001;PR97-S002;PR97-S003;PR97-S006
PR83-S017,QS-Tunnel-main,future bounded target-native DNS tunnel wording,guardrail-derived / final no-change,"LumiNet still has no production DNS tunnel; raw spoofing and duplicate host-network authority remain rejected. This is a final scope truth, not a queued implementation.",post-refactor-83-adoption-ledger.csv#PR83-S017
