repair_id,repair,resolution,target_paths,semantic_record_ids
FP-R001,provider-scope mutation cooldown,remoteaction cooldown now keys on declared provider quota scope across distinct actions,src/apps/daemon/internal/foundation/remoteaction/remoteaction.go;src/apps/daemon/internal/integrations/provision/cloudflare.go;src/apps/daemon/internal/analysis/scanner/cloudflare_deployer.go;src/apps/daemon/internal/runtime/proxy/google_drive_actions.go;src/apps/daemon/internal/runtime/warp/warp.go;src/apps/daemon/internal/networking/dns/ddns_updater.go,FP-S001
FP-R002,bounded provider mutation concurrency,per-scope in-flight limit and global active-scope capacity fail closed before side effects,src/apps/daemon/internal/foundation/remoteaction/remoteaction.go;src/apps/daemon/internal/foundation/remoteaction/remoteaction_test.go,FP-S002
FP-R003,retry herd control,local exponential backoff is jittered while explicit Retry-After remains exact,src/apps/daemon/internal/foundation/remoteaction/remoteaction.go;src/apps/daemon/internal/foundation/remoteaction/remoteaction_test.go,FP-S003
FP-R004,live config CAS,canonical Manager and all live config HTTP writers use revision compare-and-swap,src/apps/daemon/internal/foundation/config/config.go;src/apps/daemon/internal/foundation/config/revision_test.go;src/apps/daemon/internal/adapters/api/config_mutation.go;src/apps/daemon/internal/adapters/api/config_mutation_test.go;src/apps/daemon/internal/adapters/api/handlers_system_startup.go;src/apps/daemon/internal/adapters/api/handlers_system_ddns.go;src/apps/daemon/internal/adapters/api/handlers_proxy_directory.go,FP-S004
FP-R005,owned config snapshots,"Get/Save deep-copy nested proxy nodes, decoy targets and trusted-key maps; generated refs retained in published state",src/apps/daemon/internal/foundation/config/config.go;src/apps/daemon/internal/foundation/config/revision_test.go,FP-S004;FP-S006
FP-R006,copy-on-write secret commit,staged secret refs roll back on config failure and superseded refs retire only after durable publication,src/apps/daemon/internal/foundation/config/config.go;src/apps/daemon/internal/foundation/config/revision_test.go,FP-S006
FP-R007,durable config generation,"_revision survives restart, legacy files migrate, reused changed external revisions advance to prevent ABA, and byte-identical self-reloads do not churn generations",src/apps/daemon/internal/foundation/config/config.go;src/apps/daemon/internal/foundation/config/revision_test.go,FP-S005
FP-R008,stop spurious load rewrites,inline-secret migration detector excludes the deliberately inline-encrypted Upgen seed,src/apps/daemon/internal/foundation/config/config.go;src/apps/daemon/internal/foundation/config/revision_test.go,FP-S005
FP-R009,post-commit runtime side effect ordering,HostsOverride applies only after durable config CAS succeeds,src/apps/daemon/internal/adapters/api/handlers_system_startup.go,FP-S004
FP-R010,retire unsafe dormant TLS relay,removed unused default-InsecureSkipVerify/shared-raw-relay legacy port,src/apps/daemon/internal/platform/system/reverse_tls.go,FP-SAFETY-RETIRE
FP-R011,retire unsafe dormant API-key reverse proxy,removed unused auth-bypass-on-empty-secret/process-fatal legacy proxy port,src/apps/daemon/internal/platform/system/api_key_reverse_proxy.go,FP-SAFETY-RETIRE
FP-R012,historical successor layering,ninth-order checker freezes its original target against final-pass successor baseline instead of reinterpreting history,scripts/checks/check_ninth_order_convergence.py;governance/convergence/final-pass-baseline-files.csv,FP-GOV
FP-R013,eighth current-anchor refresh,historical E8 retry record points at the current coordinator helper after owner evolution,governance/convergence/eighth-order-adoption-ledger.csv,FP-GOV
FP-R014,topology retirement registration,legacy reverse proxies explicitly retired in relocation provenance rather than silently deleted,governance/topology/relocations.json,FP-GOV
FP-R015,self-clean canonical verification,Makefile exports PYTHONDONTWRITEBYTECODE so repository checks cannot create __pycache__ residue that the final audit must reject,Makefile,FP-GOV
