composition_group_id,donors,record_ids,target_capability,target_owner,mapping_topology,resolution,group_id,domain,relationship,decision
CG-PR117-ANDROID-PLUGIN,simple-obfs-android-master,PR117-S008;PR117-S009,Android transport packaging;Android executable-extension guardrail,governance/convergence/post-refactor-117-semantic-anchors.md#PR117-S008;governance/convergence/post-refactor-117-semantic-anchors.md#PR117-S009,idea-to-native,final dispositions encoded in referenced semantic records; shared-base and authority conflicts resolved without duplicate owner creation,,,,
CG-PR117-ANDROID-VPN,sing-box-for-android-dev,PR117-S022,Android VPN lifecycle,governance/convergence/post-refactor-117-semantic-anchors.md#PR117-S022,many-to-one,final dispositions encoded in referenced semantic records; shared-base and authority conflicts resolved without duplicate owner creation,,,,
CG-PR117-API-AUTH,sing-box-dev-next,PR117-S016,operator API authority,governance/convergence/post-refactor-117-semantic-anchors.md#PR117-S016,many-to-one,final dispositions encoded in referenced semantic records; shared-base and authority conflicts resolved without duplicate owner creation,,,,
CG-PR117-BINDINGS,tun2socks-python-main,PR117-S035,language boundary,governance/convergence/post-refactor-117-semantic-anchors.md#PR117-S035,one-to-one,final dispositions encoded in referenced semantic records; shared-base and authority conflicts resolved without duplicate owner creation,,,,
CG-PR117-BOUNDS,sing-box-extended-extended,PR117-S020,proxy resource bounds,governance/convergence/post-refactor-117-semantic-anchors.md#PR117-S020,many-to-one,final dispositions encoded in referenced semantic records; shared-base and authority conflicts resolved without duplicate owner creation,,,,
CG-PR117-CONFIG,serenity-dev,PR117-S001,proxy configuration validation,governance/convergence/post-refactor-117-semantic-anchors.md#PR117-S001,many-to-one,final dispositions encoded in referenced semantic records; shared-base and authority conflicts resolved without duplicate owner creation,,,,
CG-PR117-DEPENDENCY-BUNDLE,wsnet-master,PR117-S059,native dependency authority guardrail,governance/convergence/post-refactor-117-semantic-anchors.md#PR117-S059,negative-to-guardrail,final dispositions encoded in referenced semantic records; shared-base and authority conflicts resolved without duplicate owner creation,,,,
CG-PR117-DNS,sing-box-extended-extended;tun2proxy-master,PR117-S021;PR117-S030,DNS authority,governance/convergence/post-refactor-117-semantic-anchors.md#PR117-S021;governance/convergence/post-refactor-117-semantic-anchors.md#PR117-S030,many-to-many,final dispositions encoded in referenced semantic records; shared-base and authority conflicts resolved without duplicate owner creation,,,,
CG-PR117-DUP-TUN2SOCKS,tun2socks-python-main,PR117-S034;PR117-S036,donor provenance/accountability;dependency provenance,governance/convergence/post-refactor-117-semantic-anchors.md#PR117-S034;governance/convergence/post-refactor-117-semantic-anchors.md#PR117-S036,many-to-one,final dispositions encoded in referenced semantic records; shared-base and authority conflicts resolved without duplicate owner creation,,,,
CG-PR117-EVAL,shadow-main;uquic-master,PR117-S003;PR117-S004;PR117-S039,network evaluation methodology;runtime authority guardrail;transport evaluation methodology,governance/convergence/post-refactor-117-semantic-anchors.md#PR117-S003;governance/convergence/post-refactor-117-semantic-anchors.md#PR117-S004;governance/convergence/post-refactor-117-semantic-anchors.md#PR117-S039,many-to-many,final dispositions encoded in referenced semantic records; shared-base and authority conflicts resolved without duplicate owner creation,,,,
CG-PR117-FAILOVER,sing-box-extended-extended,PR117-S017,endpoint-pool planning,governance/convergence/post-refactor-117-semantic-anchors.md#PR117-S017,many-to-one,final dispositions encoded in referenced semantic records; shared-base and authority conflicts resolved without duplicate owner creation,,,,
CG-PR117-HOST-NETWORK,wsnet-master,PR117-S058,host-network authority guardrail,governance/convergence/post-refactor-117-semantic-anchors.md#PR117-S058,negative-to-guardrail,final dispositions encoded in referenced semantic records; shared-base and authority conflicts resolved without duplicate owner creation,,,,
CG-PR117-INBOUND-TUNNEL,sing-cloudflared-main,PR117-S025,inbound exposure authority guardrail,governance/convergence/post-refactor-117-semantic-anchors.md#PR117-S025,negative-to-guardrail,final dispositions encoded in referenced semantic records; shared-base and authority conflicts resolved without duplicate owner creation,,,,
CG-PR117-MEASUREMENT,website-master,PR117-S049;PR117-S050;PR117-S051,measurement methodology;deployment authority guardrail;measurement test methodology,governance/convergence/post-refactor-117-semantic-anchors.md#PR117-S049;governance/convergence/post-refactor-117-semantic-anchors.md#PR117-S050;governance/convergence/post-refactor-117-semantic-anchors.md#PR117-S051,idea-to-native,final dispositions encoded in referenced semantic records; shared-base and authority conflicts resolved without duplicate owner creation,,,,
CG-PR117-NESTED,sing-box-for-android-dev,PR117-S024,build provenance,governance/convergence/post-refactor-117-semantic-anchors.md#PR117-S024,one-to-one,final dispositions encoded in referenced semantic records; shared-base and authority conflicts resolved without duplicate owner creation,,,,
CG-PR117-PERAPP,tun2proxy-master,PR117-S029,per-app routing,governance/convergence/post-refactor-117-semantic-anchors.md#PR117-S029,idea-to-native,final dispositions encoded in referenced semantic records; shared-base and authority conflicts resolved without duplicate owner creation,,,,
CG-PR117-PROVENANCE,websocket-main,PR117-S054,dependency provenance,governance/convergence/post-refactor-117-semantic-anchors.md#PR117-S054,one-to-one,final dispositions encoded in referenced semantic records; shared-base and authority conflicts resolved without duplicate owner creation,,,,
CG-PR117-PROVISION,serenity-dev,PR117-S002,host provisioning guardrail,governance/convergence/post-refactor-117-semantic-anchors.md#PR117-S002,negative-to-guardrail,final dispositions encoded in referenced semantic records; shared-base and authority conflicts resolved without duplicate owner creation,,,,
CG-PR117-PROXY-AUTHORITY,shadowsocks-libev-master;sing-box-dev-next,PR117-S007;PR117-S015,proxy runtime authority,governance/convergence/post-refactor-117-semantic-anchors.md#PR117-S007;governance/convergence/post-refactor-117-semantic-anchors.md#PR117-S015,many-to-many,final dispositions encoded in referenced semantic records; shared-base and authority conflicts resolved without duplicate owner creation,,,,
CG-PR117-QUIC,uquic-master,PR117-S037;PR117-S038,QUIC transport authority;fingerprint authority,governance/convergence/post-refactor-117-semantic-anchors.md#PR117-S037;governance/convergence/post-refactor-117-semantic-anchors.md#PR117-S038,one-to-many,final dispositions encoded in referenced semantic records; shared-base and authority conflicts resolved without duplicate owner creation,,,,
CG-PR117-ROUTING-PLUGIN,wsnet-master,PR117-S057;PR117-S060,routing-plugin boundary;routing-plugin lifecycle,governance/convergence/post-refactor-117-semantic-anchors.md#PR117-S057;governance/convergence/post-refactor-117-semantic-anchors.md#PR117-S060,many-to-one,final dispositions encoded in referenced semantic records; shared-base and authority conflicts resolved without duplicate owner creation,,,,
CG-PR117-SERVER-AUTHORITY,sing-box-extended-extended,PR117-S018;PR117-S019,inbound/server authority guardrail,governance/convergence/post-refactor-117-semantic-anchors.md#PR117-S018;governance/convergence/post-refactor-117-semantic-anchors.md#PR117-S019,negative-to-guardrail,final dispositions encoded in referenced semantic records; shared-base and authority conflicts resolved without duplicate owner creation,,,,
CG-PR117-STEALTH-HOOKS,sing-box-for-android-dev,PR117-S023,Android integrity guardrail,governance/convergence/post-refactor-117-semantic-anchors.md#PR117-S023,negative-to-guardrail,final dispositions encoded in referenced semantic records; shared-base and authority conflicts resolved without duplicate owner creation,,,,
CG-PR117-TOR-DEFENSE,vanguards-master,PR117-S040;PR117-S041;PR117-S042,Tor defense reference;Tor control authority guardrail;Tor diagnostics,governance/convergence/post-refactor-117-semantic-anchors.md#PR117-S040;governance/convergence/post-refactor-117-semantic-anchors.md#PR117-S041;governance/convergence/post-refactor-117-semantic-anchors.md#PR117-S042,idea-to-native,final dispositions encoded in referenced semantic records; shared-base and authority conflicts resolved without duplicate owner creation,,,,
CG-PR117-TUN-DUALSTACK,tun2proxy-master;tun2socks-main,PR117-S027;PR117-S031;PR117-S033,TUN/NAT authority;TUN architecture,governance/convergence/post-refactor-117-semantic-anchors.md#PR117-S027;governance/convergence/post-refactor-117-semantic-anchors.md#PR117-S031;governance/convergence/post-refactor-117-semantic-anchors.md#PR117-S033,many-to-many,final dispositions encoded in referenced semantic records; shared-base and authority conflicts resolved without duplicate owner creation,,,,
CG-PR117-TUN-SOCKS,shadowsocks-libev-master;tun2proxy-master;tun2socks-main,PR117-S005;PR117-S006;PR117-S028;PR117-S032,mobile TUN SOCKS association;mobile TUN SOCKS handshake,src/apps/daemon/internal/platform/mobilehost/tun2socks_adapter.go#installUDPAssoc;src/apps/daemon/internal/platform/mobilehost/tun2socks_adapter.go#writeFull;src/apps/daemon/internal/platform/mobilehost/tun2socks_adapter.go#readSocks5UDPRelay;src/apps/daemon/internal/platform/mobilehost/tun2socks_adapter.go#socksHandshakeDeadline,many-to-many,final dispositions encoded in referenced semantic records; shared-base and authority conflicts resolved without duplicate owner creation,,,,
CG-PR117-UI,sing-box-dashboard-main,PR117-S011,operator presentation,governance/convergence/post-refactor-117-semantic-anchors.md#PR117-S011,many-to-one,final dispositions encoded in referenced semantic records; shared-base and authority conflicts resolved without duplicate owner creation,,,,
CG-PR117-VLESS-WS,sing-box-dev-next,PR117-S012;PR117-S013;PR117-S014,VLESS WebSocket response state,src/apps/daemon/internal/runtime/proxy/websocket_conn_helpers.go#vlessWSResponseState,many-to-one,final dispositions encoded in referenced semantic records; shared-base and authority conflicts resolved without duplicate owner creation,,,,
CG-PR117-WASM-TRANSPORT,water-master;water-rs-main,PR117-S043;PR117-S044;PR117-S045;PR117-S046;PR117-S047;PR117-S048,executable-extension guardrail;binary supply-chain guardrail;language/runtime ownership,governance/convergence/post-refactor-117-semantic-anchors.md#PR117-S043;governance/convergence/post-refactor-117-semantic-anchors.md#PR117-S044;governance/convergence/post-refactor-117-semantic-anchors.md#PR117-S045;governance/convergence/post-refactor-117-semantic-anchors.md#PR117-S046;governance/convergence/post-refactor-117-semantic-anchors.md#PR117-S047;governance/convergence/post-refactor-117-semantic-anchors.md#PR117-S048,many-to-many,final dispositions encoded in referenced semantic records; shared-base and authority conflicts resolved without duplicate owner creation,,,,
CG-PR117-WIREGUARD,wgsocks-main,PR117-S055;PR117-S056,WireGuard/TUN authority;NAT/DNS capability truth,governance/convergence/post-refactor-117-semantic-anchors.md#PR117-S055;governance/convergence/post-refactor-117-semantic-anchors.md#PR117-S056,many-to-one,final dispositions encoded in referenced semantic records; shared-base and authority conflicts resolved without duplicate owner creation,,,,
CG-PR117-WS-CONTRACT,sing-box-dashboard-main;sing-cloudflared-main;websocket-main,PR117-S010;PR117-S026;PR117-S052;PR117-S053,WebSocket operator contract;relay WebSocket connection;WebSocket net.Conn contract;WebSocket validation methodology,governance/convergence/post-refactor-117-semantic-anchors.md#PR117-S010;src/apps/daemon/internal/integrations/relayclient/websocket_conn.go#NewWebSocketConn;src/apps/daemon/internal/integrations/relayclient/websocket_conn.go#WebSocketConn;governance/convergence/post-refactor-117-semantic-anchors.md#PR117-S053,many-to-many,final dispositions encoded in referenced semantic records; shared-base and authority conflicts resolved without duplicate owner creation,,,,
,httun-main,,,integrations/relayclient httpServerlessConn,,,PR137-CG-RELAY-SEQ,HTTP relay sequencing,donor replay/sequence evidence -> target-native response identity hardening,adopt semantic invariant only; preserve existing wire compatibility and relay authority
,foghorn-main,,,networking/dns FailoverDOHResolver,,,PR137-CG-DOH,DNS concurrency and upstream identity,bounded executor/failover identity evidence -> target-native admission/cancellation/response checks,harden existing DoH owner; reject donor DNS server/plugin authority
,hawk-proxy-main,,,networking/dns WhiteDNSWizard,,,PR137-CG-DOMAIN-BOUNDARY,domain policy matching,unsafe substring allowlist negative evidence -> exact label-boundary guardrail,negative-to-guardrail hardening; no Hawk proxy/import
,go-tun2socks-master;Furious-main;Exclave-dev;hysteria-python-main,,,platform/mobilehost Tun2SocksAdapter + platform/system NAT,,,PR137-CG-TUN,TUN-to-proxy stacks,multiple donor lifecycle/packaging examples -> current target owner comparison,existing 117 TUN owner remains stronger/coherent; no second lwIP/TUN engine
,gost-master;fteproxy-master;fwlite-master;grasshopper-main;hawk-proxy-main;hysteria-python-main,,,runtime/proxy CoreManager and existing relay owners,,,PR137-CG-PROXY-ENGINES,proxy/server runtime,many peer engines -> one target runtime authority,"retain mechanism/reference evidence, reject duplicate server/crypto/transport authority"
