donor,donor_path,value_unit,donor_outcome,target_owner,reason,guardrail
mitmengine-master,reference_fingerprints/fingerprint_metadata.jsonl,component mismatch / grade / PFS evidence,superseded,src/apps/daemon/internal/analysis/diagnostics/tls_interception_evidence_plan.go,Historical fingerprint corpus is useful for anomaly categories but is stale and cannot identify a current interception product.,historical fingerprint database never becomes live authority
mitmproxy-main,mitmproxy/flowfilter.py,flow metadata filter language,adapted,src/apps/daemon/internal/analysis/diagnostics/flow_filter_plan.go,Reduced a powerful filter language to a bounded literal metadata-only subset suitable for read-only operator evidence.,donor runtime or authority is not imported implicitly
mitmproxy-main,mitmproxy/certs.py,certificate authority and active interception,rejected,src/apps/daemon/internal/analysis/diagnostics/tls_interception_evidence_plan.go,CA generation/installation and active interception would create unsafe duplicate authority; only read-only evidence is retained.,LumiNet does not install interception roots or terminate user TLS for inspection
mitmproxy-main,mitmproxy/addonmanager.py,addon execution manager,rejected,src/apps/daemon/internal/analysis/diagnostics/flow_filter_plan.go,Untrusted arbitrary addon execution is not admitted into the daemon.,donor runtime or authority is not imported implicitly
bine-master,tor/tor.go,"circuit, SOCKS and bootstrap lifecycle",adapted,src/apps/daemon/internal/analysis/diagnostics/tor_bootstrap_evidence_plan.go,"Readiness requires authenticated control evidence, enabled networking, full bootstrap, a circuit and SOCKS listener.",donor runtime or authority is not imported implicitly
bine-master,tor/dialer.go,dial/listen/process control,superseded,src/apps/daemon/internal/runtime/proxy/core_manager.go,Existing external-engine ownership remains authoritative; no second Tor process/controller is added.,donor runtime or authority is not imported implicitly
bridgedb-main,bridgedb/filters.py,transport/country/address-family filters,adapted,src/apps/daemon/internal/analysis/diagnostics/tor_bridge_selection_plan.go,Bridge filters become deterministic caller-supplied selection constraints without a distribution service.,donor runtime or authority is not imported implicitly
bridgedb-main,bridgedb/bridgerequest.py,request constraints and requested transport,adapted,src/apps/daemon/internal/analysis/diagnostics/tor_bridge_selection_plan.go,Request intent is normalized into bounded local selection criteria.,donor runtime or authority is not imported implicitly
bridgedb-main,bridgedb/bridgerings.py,hash-ring distribution,adapted,src/apps/daemon/internal/analysis/diagnostics/tor_bridge_selection_plan.go,Client-stable distribution inspired deterministic SHA-256 ranking without persisting client identifiers.,no client identity or distribution database is persisted
bridgedb-main,bridgedb/distributors/__init__.py,server-side distributor stack,rejected,src/apps/daemon/internal/analysis/diagnostics/tor_bridge_selection_plan.go,Email/HTTPS/Moat distribution authority and user data stores are not a LumiNet responsibility.,donor runtime or authority is not imported implicitly
bridgedb-main,bridgedb/Stability.py,running/stable bridge evidence,adapted,src/apps/daemon/internal/analysis/diagnostics/tor_bridge_selection_plan.go,Running/stable flags are accepted only as caller-supplied evidence before deterministic selection.,donor runtime or authority is not imported implicitly
conjure-master,pkg/station/liveness/liveness.go,liveness cache semantics,adapted,src/apps/daemon/internal/analysis/diagnostics/phantom_pool_plan.go,Fresh explicit not-live evidence is required; stale/unknown/live candidates are excluded.,donor runtime or authority is not imported implicitly
conjure-master,pkg/station/liveness/cached.go,cached liveness lifecycle,adapted,src/apps/daemon/internal/analysis/diagnostics/phantom_pool_plan.go,Liveness evidence gains explicit age bounds without importing probe authority.,donor runtime or authority is not imported implicitly
conjure-master,cmd/registration-server/main.go,registration server,rejected,src/apps/daemon/internal/analysis/diagnostics/phantom_pool_plan.go,Registration/signalling servers would create a new remote authority plane.,donor runtime or authority is not imported implicitly
Hiddify-Manager-dev,haproxy/haproxy.cfg.j2,HAProxy SNI/fronting topology,adapted,src/apps/daemon/internal/analysis/diagnostics/gateway_composition_plan.go,"Layered listener/path-router/detour/egress/health topology becomes a planning preset, not rendered service config.",donor runtime or authority is not imported implicitly
Hiddify-Manager-dev,singbox/configs/05_inbounds_new.json.j2,sing-box generated service configuration,superseded,src/apps/daemon/internal/runtime/proxy/core_manager.go,External-core configuration remains generated by LumiNet owners; donor deployment templates do not write host state.,donor runtime or authority is not imported implicitly
probe-legacy-master,ooni/nettests/blocking/web_connectivity.py,experiment/control web connectivity comparison,adapted,src/apps/daemon/internal/analysis/diagnostics/censorship_measurement_plan.go,Control-paired outcomes become bounded evidence; causal attribution stays explicitly separate.,donor runtime or authority is not imported implicitly
probe-legacy-master,ooni/nettests/blocking/dns_consistency.py,DNS consistency test,adapted,src/apps/daemon/internal/analysis/diagnostics/censorship_measurement_plan.go,DNS experiment/control outcome is one supported evidence kind.,donor runtime or authority is not imported implicitly
probe-legacy-master,ooni/nettests/blocking/tcp_connect.py,TCP connect test,adapted,src/apps/daemon/internal/analysis/diagnostics/censorship_measurement_plan.go,TCP experiment/control outcome is one supported evidence kind.,donor runtime or authority is not imported implicitly
probe-legacy-master,ooni/measurements.py,measurement engine/report submission,rejected,src/apps/daemon/internal/analysis/diagnostics/censorship_measurement_plan.go,No active censorship probe runner or report uploader is imported.,donor runtime or authority is not imported implicitly
SenPaiScanner-main,internal/ipsrc/ipsrc.go,candidate IP source generation,hardened,src/apps/daemon/internal/analysis/diagnostics/cdn_candidates.go;src/apps/daemon/internal/workflows/jobs/runners.go,Active scanner inputs must be public-routable before any network I/O.,donor runtime or authority is not imported implicitly
SenPaiScanner-main,internal/prober/prober.go,probe engine,superseded,src/apps/daemon/internal/workflows/jobs/runners.go,Existing bounded CDN scan workflow stays authoritative.,donor runtime or authority is not imported implicitly
IPScanner-main,console-crossplatform/IPScanner.ps1,Cloudflare range scan script,hardened,src/apps/daemon/internal/analysis/diagnostics/cdn_candidates.go;src/apps/daemon/internal/workflows/jobs/runners.go,Range-scanning evidence reinforces public-address admission before active probes.,donor runtime or authority is not imported implicitly
qjs-master,runtime.go,QuickJS runtime/context lifecycle,rejected,src/apps/daemon/internal/analysis/diagnostics/flow_filter_plan.go,Embedding arbitrary JavaScript/WASM would widen execution authority; finite typed routing/planner contracts remain authoritative.,donor runtime or authority is not imported implicitly
qjs-master,eval.go,JavaScript eval surface,rejected,src/apps/daemon/internal/analysis/diagnostics/flow_filter_plan.go,No arbitrary eval is added to the daemon.,donor runtime or authority is not imported implicitly
pion-dtls-main,config.go,DTLS config security and session bounds,adapted,src/apps/daemon/internal/analysis/diagnostics/dtls_session_policy_plan.go,"Secure verification, EMS, replay, MTU, ALPN, CID, padding and retransmit constraints are normalized into a non-executing policy.",donor runtime or authority is not imported implicitly
pion-dtls-main,flight.go,flight/retransmission state machine,adapted,src/apps/daemon/internal/analysis/diagnostics/dtls_session_policy_plan.go,Retransmit timing cannot be disabled and is explicitly bounded.,donor runtime or authority is not imported implicitly
smux-master,mux.go,config bounds and defaults,hardened,src/apps/daemon/internal/analysis/diagnostics/multiplex_policy_plan.go;src/apps/daemon/internal/runtime/proxy/kcp_transport.go,"Version, keepalive, frame and buffer limits become explicit in the planner and existing KCP smux owner.",donor runtime or authority is not imported implicitly
smux-master,stream.go,flow-control window update,superseded,src/apps/daemon/go.mod,The pinned smux dependency remains the flow-control implementation; LumiNet does not fork it.,donor runtime or authority is not imported implicitly
smux-master,session.go,keepalive/session lifecycle,hardened,src/apps/daemon/internal/runtime/proxy/kcp_transport.go,LumiNet sets explicit v1 and keepalive bounds but leaves session mechanics to the dependency.,donor runtime or authority is not imported implicitly
NoMoreWalls-master,fetch.py,mutable source aggregation,rejected,src/apps/daemon/internal/analysis/diagnostics/routing_artifact_plan.go,Remote mutable subscription aggregation cannot become routing policy authority.,donor runtime or authority is not imported implicitly
NoMoreWalls-master,snippets/rules.yml,rules and policy group snippets,superseded,src/apps/daemon/internal/analysis/diagnostics/local_ruleset_plan.go;src/apps/daemon/internal/analysis/diagnostics/routing_artifact_plan.go,Local ruleset/routing corpus owners already provide bounded explicit imports with provenance.,donor runtime or authority is not imported implicitly
