record_id,parent_record_id,composition_group_id,donor,domain,value_unit,source_granularity,value_form,separability,donor_path,donor_sha256,donor_symbol,transformation,mapping_topology,disposition,decision_rationale,target_capability,target_nodes,invariant,negative_invariant,test_node,operator_surface,migration_impact,license_note,risk_tier,dependency_record_ids,evidence_confidence,validation_status
S6-001,n/a,s6-001,Auto_Tor_IP_changer,tor-runtime,Tor circuit identity rotation without process reload,semantic-unit,executable-behavior,independently-decidable,Auto_Tor_IP_changer-master/autoTOR.py,4b038019570e14694b637fe8b80a3344425361bb6732492b29aa0ceac22eebe8,change,target-native adaptation,one-to-many,adapted,"The donor periodically reloads the Tor service to obtain a new public identity. LumiNet already owns a long-lived Tor process and SAFECOOKIE control plane, so the useful outcome is recomposed as SIGNAL NEWNYM through the active runtime owner rather than restarting Tor.",Tor circuit operations,src/apps/daemon/internal/runtime/runtimecore/tor_engine.go#rotateIdentity;src/apps/daemon/internal/runtime/runtimecore/manager.go#RotateTorIdentity;src/apps/daemon/internal/adapters/api/handlers_system_engines.go#RotateTorIdentity;src/packages/control-ui/src/pages/Operations.tsx#rotateTorIdentity,identity rotation targets the already-running Tor engine and leaves process ownership intact,rotation never starts or reloads Tor implicitly and existing streams are not falsely claimed to migrate,src/apps/daemon/internal/platform/system/tor_controller_newnym_test.go#TestSignalNewNymSendsBoundedControlCommand,Operations / Tor identity,additive,provenance retained; target-native implementation,medium,n/a,high,verified
S6-002,n/a,s6-002,ahmia-crawler,onion-routing,v3 onion validation plus deterministic same-service proxy affinity and bounded reachability probe,semantic-unit,executable-behavior,independently-decidable,ahmia-crawler-master/ahmia/ahmia/middlewares.py,e904f9072c9d52cc91c3b2f564ea735b55e91c3d2a9f0d3e06aca0c431f83eab,ProxyMiddleware,recomposition,many-to-one,recomposed,"Ahmia validates v3 onions and pins the same onion service to the same proxy. LumiNet absorbs those semantics into a one-request diagnostic owner using its Tor SOCKS runtime, strict redirect policy, response ceilings, and deterministic proxy affinity instead of importing Scrapy middleware or a Tor fleet.",bounded onion reachability diagnostics,src/apps/daemon/internal/analysis/diagnostics/onion_probe.go#ValidOnionV3Host;src/apps/daemon/internal/analysis/diagnostics/onion_probe.go#StableProxyForOnion;src/apps/daemon/internal/analysis/diagnostics/onion_probe.go#ProbeOnion;src/apps/daemon/internal/adapters/api/handlers_tor_ops.go#ProbeOnionService,only valid v3 onion services are probed and a service deterministically retains one normalized SOCKS proxy for the request,"probe depth, redirects, body bytes and request timeout remain bounded; it does not become an unbounded crawler",src/apps/daemon/internal/analysis/diagnostics/onion_probe_test.go#TestValidOnionV3HostAndStableAffinity,Operations / Tor onion probe,additive,provenance retained; target-native implementation,high,n/a,high,verified
S6-003,n/a,s6-003,ahmia-crawler,onion-metadata,"bounded onion title, description and link metadata extraction",semantic-unit,executable-behavior,independently-decidable,ahmia-crawler-master/ahmia/ahmia/spiders/onionspider.py,f176deba4fbc8a57f464b39c96df3c2851ec113e0be84f306b4f3c7a2d3cdea9,parse_item,primitive extraction and native reimplementation,many-to-one,extracted,"Ahmia extracts document metadata and onion links for indexing. LumiNet retains the operator-useful subset after the 64 KiB probe ceiling: compact title/meta-description plus v3-onion and same-service link counts, using standard-library parsing rather than importing the crawler/indexing stack.",bounded onion metadata diagnostics,src/apps/daemon/internal/analysis/diagnostics/onion_probe.go#extractOnionHTMLMetadata;src/packages/control-ui/src/pages/Operations.tsx#torProbe,metadata is derived only from the already-bounded text sample and entity-normalized before display,"metadata extraction cannot trigger additional network requests, scripts, a DOM runtime or indexing side effects",src/apps/daemon/internal/analysis/diagnostics/onion_probe_test.go#TestExtractOnionHTMLMetadataCountsOnlyV3OnionLinks,Operations / Tor onion probe,additive,provenance retained; target-native implementation,medium,S6-002,high,verified
S6-004,n/a,s6-004,RKh-SNI-Spoofing,sni-diagnostics,multi-run SNI stability and latency ranking,semantic-unit,executable-behavior,independently-decidable,RKh-SNI-Spoofing-main/RKh-SNI-Spoofing-v0.1.2.py,ed4af5bf29ad324d01931a423ae1abe7844bd670c716c4d362c99ed958874c06,check,adaptation,one-to-one,adapted,"The donor repeats probes and ranks candidates by stability and latency. LumiNet ports that outcome into its existing bounded TLS-record SNI diagnostic, retaining cancellation, candidate ceilings and worker bounds while reporting outcome histograms.",SNI stability ranking,src/apps/daemon/internal/analysis/diagnostics/sni_spoof_scan.go#RunSniSpoofStabilityScan;src/apps/daemon/internal/adapters/api/handlers_sni_spoof.go#RunSniSpoofScan;src/packages/control-ui/src/pages/Operations.tsx#runSNIStability,"rank uses repeated bounded probes, stability first and latency second, with deterministic tie-breaking",stability runs are capped and cannot bypass the existing SNI candidate/concurrency budget,src/apps/daemon/internal/analysis/diagnostics/sni_spoof_scan_test.go#TestRunSniSpoofStabilityScanRanksStableLowLatencyCandidates,Operations / SNI stability ranking,additive,provenance retained; target-native implementation,medium,n/a,high,verified
S6-005,n/a,s6-005,RKh-SNI-Spoofing,sni-corpus,validated 285-candidate SNI corpus,semantic-unit,data-corpus,independently-decidable,RKh-SNI-Spoofing-main/domains.txt,fe2bc79d19cf6906798ac751756a88105cf9a24326007b279d0829defeea1ef3,n/a,data extraction and normalization,one-to-one,extracted,"The donor carries 319 candidate rows. After LumiNet grammar validation and case-insensitive deduplication, 285 unique candidates remain and are exposed through the existing SNI defaults endpoint rather than a second catalog.",curated SNI candidate data,src/apps/daemon/internal/analysis/diagnostics/sni_candidates.go#CuratedSniCandidates;src/apps/daemon/internal/adapters/api/handlers_sni_spoof.go#defaultSniSpoofList;src/packages/control-ui/src/pages/Operations.tsx#loadSNICorpus,the built-in corpus has exactly 285 unique candidates and every entry satisfies the same SNI grammar as runtime probes,callers receive a defensive copy and the corpus does not bypass runtime candidate ceilings,src/apps/daemon/internal/analysis/diagnostics/sni_candidates_test.go#TestCuratedSniCandidatesAreValidUniqueAndDefensiveCopy,Operations / Load 285-candidate corpus,additive,provenance retained; target-native implementation,low,n/a,high,verified
S6-006,n/a,s6-006,PowerShell-VPNGate,provider-discovery,"VPN Gate discovery, filtering, ranking and SSTP handoff",semantic-unit,executable-behavior,independently-decidable,PowerShell-VPNGate-main/PowerShell-VPNGate.ps1,c21b5d4a20d43b9671ed2e3430391b8c4beaa4828add006b01f47cf2e9052eb0,n/a,target-native provider adaptation,one-to-many,adapted,"The donor downloads VPN Gate CSV data, lets the user choose geography and tries provider endpoints. LumiNet decomposes that into a bounded read-only provider adapter, deterministic ranking, and explicit SSTP handoff to the already-authoritative runtime engine.",VPN Gate provider directory,src/apps/daemon/internal/integrations/vpngate/client.go#Fetch;src/apps/daemon/internal/integrations/vpngate/client.go#Parse;src/apps/daemon/internal/adapters/api/handlers_vpngate.go#setupVPNGateRoutes;src/packages/control-ui/src/pages/Operations.tsx#loadVPNGate,catalog retrieval is bounded and ranking/filtering is deterministic before presenting SSTP metadata,the provider adapter never starts or mutates a tunnel; runtimecore remains the only SSTP lifecycle owner,src/apps/daemon/internal/integrations/vpngate/client_test.go#TestParseFiltersAndRanksServers,Operations / VPN Gate discovery,additive,provenance retained; target-native implementation,medium,n/a,high,verified
S6-007,n/a,s6-007,OrbotIPtProxy,dns-fallback,DNS UDP truncation fallback that forces TCP retry,semantic-unit,executable-behavior,independently-decidable,OrbotIPtProxy-master/OrbotTun.go/dns.go,1a970e09ac1bd20f4cda4fa49a1d98a4d0a45d87f2c97cdd771ef4601876136c,ReceiveTo,proven supersession with donor oracle,one-to-one,superseded,"Orbot uses a truncated DNS response to force clients onto TCP when UDP cannot be proxied. LumiNet already implements the same responsibility in a dedicated DNS owner; this wave adds a packet-contract test proving transaction/question retention, QR+TC, cleared RCODE, and zero answer/authority/additional counts.",DNS TCP fallback,src/apps/daemon/internal/networking/dns/dns_fallback.go#DNSUDPFallbackListener,fallback responses preserve the DNS transaction/question while forcing a standards-compatible TCP retry,fallback never fabricates answers or hides a DNS error as successful data,src/apps/daemon/internal/networking/dns/dns_fallback_test.go#TestDNSUDPFallbackListenerReturnsTruncatedNoErrorResponse,daemon DNS fallback,none,provenance retained; target implementation already existed,medium,n/a,high,verified
S6-008,n/a,s6-008,OrbotIPtProxy,tun-runtime,legacy tun2socks packet-flow bridge,semantic-unit,executable-behavior,independently-decidable,OrbotIPtProxy-master/OrbotTun.go/OrbotTun.go,9479e7d8f1ed857b190f67d1c8e661925ccbbd77a27cd8a6076f13fd62127eea,StartSocks,comparison and supersession,many-to-one,superseded,"The donor exposes a narrow go-tun2socks packet bridge. LumiNet already has platform/mobilehost Tun2SocksAdapter plus system-level TUN routing, route rollback and socket-protection owners, so importing OrbotTun would create a second packet-routing authority with less lifecycle coverage.",TUN to SOCKS runtime,src/apps/daemon/internal/platform/mobilehost/tun2socks_adapter.go#StartTun2Socks;src/apps/daemon/internal/platform/system/tun_router.go#TunRouterManager,TUN packet routing remains under target route/device lifecycle owners with rollback and mobile socket protection,"no donor-shaped TUN bridge may bypass target route leases, shutdown or socket protection",src/apps/daemon/internal/platform/system/tun_router_test.go#TestTunRouterDNSFailureRollsBackRoutes,system/mobile TUN runtime,none,provenance retained; stronger target owner,high,n/a,high,verified
S6-009,n/a,s6-009,g2rayXHTTPS,deployment-template,reviewable VLESS plus XHTTP devcontainer bundle generation,semantic-unit,executable-behavior,independently-decidable,g2rayXHTTPS-master/.devcontainer/config.json,da0a330b225233daeff20d3a6e38b432d68b4db523a16bea4195395df5d4af0d,n/a,target-native template generation,one-to-many,adapted,"The donor provides a static Codespaces/devcontainer deployment for Xray VLESS+XHTTP. LumiNet converts the useful setup outcome into a read-only generator with validated UUID/version/port/path/mode and amd64/arm64 packaging, fitting the target XHTTP vocabulary without hidden deployment side effects.",VLESS XHTTP deployment template,src/apps/daemon/internal/integrations/provision/devcontainer_vless.go#GenerateVLESSDevcontainer;src/apps/daemon/internal/adapters/api/handlers_provision.go#GenerateVLESSDevcontainer;src/packages/control-ui/src/pages/Operations.tsx#generateDevcontainer,generation is deterministic from validated inputs and returns reviewable files without deploying them,template generation cannot mutate remote infrastructure or silently choose an unpinned Xray version,src/apps/daemon/internal/integrations/provision/devcontainer_vless_test.go#TestGenerateVLESSDevcontainerUsesXHTTPAndPinnedVersion,Operations / VLESS + XHTTP devcontainer,additive,provenance retained; target-native implementation,medium,n/a,high,verified
S6-010,n/a,s6-010,nahan,profile-portability,subscription profile backup and restore UX,semantic-unit,executable-behavior,independently-decidable,nahan-main/_worker.js,4f4366a1fecdaba0399e281f1c88e8a17a28621505add6b0fcf482edb4648852,exportConfig,product adaptation,one-to-one,adapted,"Nahan exposes browser-side backup/restore. LumiNet already owns profile persistence and validation, so this value is promoted as bounded JSON export/import that calls the existing profile API and preserves mirrors/refresh controls rather than copying Worker/KV state.",profile portability,src/packages/control-ui/src/pages/Profiles.tsx#exportProfiles;src/packages/control-ui/src/pages/Profiles.tsx#importProfiles,export uses a versioned schema and import is capped by file size and entry count before existing profile API validation,browser import does not become a second persistent profile store or bypass daemon validation,src/packages/control-ui/scripts/test-sixth-order-promotions.mjs#checks,Profiles / Export and Import,additive,provenance retained; target-native implementation,medium,n/a,high,verified
