wave,donor,archive,archive_sha256,member_count,file_surfaces,directories,symbols,symlinks,license_posture,source_reuse_policy,archive_issues,final_disposition,nested_members
post-refactor-20c,Exclave-dev,Exclave-dev.zip,0384ed49f568b7ebc7e61a7adc97eb79a2898694bc5d6910f0d0529bdc8f3144,819,648,171,1352,0,GPL-3.0,no direct source reuse; independently rederive concepts/tests only,none; CRC/path/duplicate/case/type checks passed before extraction,reference-only Android packaging/config/protect evidence; executable plugin authority rejected,34
post-refactor-20c,Furious-main,Furious-main.zip,6e997352758c0e22e8493b5ba2ecc9fc1908a349b7a8f0162676edf0f9b9b6c9,4305,4283,22,1828,0,GPL-3.0,no direct source reuse; independently rederive concepts/tests only,none; CRC/path/duplicate/case/type checks passed before extraction,reference-only operator/TUN workflow; generated/bundled runtime assets rejected as authority,0
post-refactor-20c,HUNTX,HUNTX.zip,ca9d55e1d9627a02ec7b57a03b8a09355bc9ad8d47b5651423d0008aabcc1e56,268,229,39,351,0,no explicit license found in archive metadata,no direct source reuse; concepts/negative evidence/reference only,none; CRC/path/duplicate/case/type checks passed before extraction,reference bounded orchestration/state patterns; arbitrary remote proxy scraping authority rejected,0
post-refactor-20c,Intercept-main,Intercept-main.zip,11665a3108ddf452fd14f6fc3f0ef49238a72e71cff2c6ca5a0b8864a2a3e21a,5,3,2,0,0,Apache-2.0,source reuse legally possible with attribution; this release uses negative/reference evidence only,none; CRC/path/duplicate/case/type checks passed before extraction,offensive MITM/spoofing capabilities rejected; trust-boundary guardrails retained,0
post-refactor-20c,foghorn-main,foghorn-main.zip,e2bfe6ca9eed66df5ab1e493feb41fac4d4b97603224a2f461fd1defa7a2d834,545,488,57,7829,1,MIT,source reuse legally possible with attribution; live target changes are independently rederived,none; CRC/path/duplicate/case/type checks passed before extraction,three DNS hardenings converged into existing DoH owner; full DNS/plugin authority rejected,0
post-refactor-20c,freedom-main,freedom-main.zip,4b389984c0fb35603f936370c1c60de3b69e08a0d6899c274e59c382ffde2324,103,89,14,0,0,no explicit license found in archive,no direct source reuse; concepts/negative evidence/reference only,none; CRC/path/duplicate/case/type checks passed before extraction,operator documentation reference; broad root/firewall mutation rejected,0
post-refactor-20c,freenet-core-main,freenet-core-main.zip,54fffa798d2a10548c1fb3940678138fde8e1fe2bde7231c1c7822cee606f681,841,673,168,14516,1,AGPL-3.0,no direct source reuse; concepts/tests/evaluation methods only,none; CRC/path/duplicate/case/type checks passed before extraction,simulation/state/secrets methodology retained; P2P/WASM runtime authority rejected,0
post-refactor-20c,freenet-git-main,freenet-git-main.zip,90535370417ac7c71be213d0650f0047853e1a371c974c7415c2effd69625775,71,47,24,589,0,LGPL-3.0,no direct source reuse in this release; concepts/tests only,none; CRC/path/duplicate/case/type checks passed before extraction,content-addressed verification/signing/chunking reference; Freenet Git transport authority rejected,0
post-refactor-20c,freenet-telemetry-dashboard-main,freenet-telemetry-dashboard-main.zip,06f4e4fffdb56491a987b0830acac2770e03b50ff7bc90eda45ef085dd2f1103,39,36,3,2155,0,no explicit license found in archive,no direct source reuse; UX/evaluation/reference only,none; CRC/path/duplicate/case/type checks passed before extraction,bounded telemetry/time-travel UX reference; existing target WebSocket/telemetry owners supersede server authority,0
post-refactor-20c,frontend-wasm_2_,frontend-wasm(2).zip,b605d80ba81231b2179d604d009bd235f3cd6aa06edd7c85fe009dc664a0e16d,2,2,0,70,0,no explicit license found in archive,no direct source reuse; opaque executable retained only as negative provenance evidence,none; CRC/path/duplicate/case/type checks passed before extraction,host-boundary reference only; opaque executable WASM and runtime authority rejected,0
