path,change_type,ninth_order_sha256,current_sha256,accountability_class,repair_ids,semantic_record_ids,reason
Makefile,modified,f8e9f71796e12dfb1c3b85e9b0deb36c43b5add36e780eec65e1fb5e26931bff,274655b20af37175ca3bb565ee6358557d6c18d1a58a7b55b60f8cd47a9d5916,semantic-repair,FP-R015,FP-GOV,self-clean canonical verification: Makefile exports PYTHONDONTWRITEBYTECODE so repository checks cannot create __pycache__ residue that the final audit must reject
governance/convergence/eighth-order-adoption-ledger.csv,modified,b750489ac72e8495af459dd255244aa3088306dbf99bb03b6476663f21c383d9,b021bd932fc5e89a7befd221f46b27d8402d0b884cc3b6b4316f60bda8d585a8,semantic-repair,FP-R013,FP-GOV,eighth current-anchor refresh: historical E8 retry record points at the current coordinator helper after owner evolution
governance/convergence/final-pass-adoption-ledger.csv,added,n/a,03040ccbc5085060b4a523a5f16d199120b84c442d7b9e518d711e03178cd8e9,governance/evidence,FP-GOV,n/a,"final cross-wave convergence evidence, historical layering, topology registration, or canonical verification wiring"
governance/convergence/final-pass-baseline-files.csv,added,n/a,308f956307d14b77236985d886ba08c3e1bbbe8795c31c0ca634d3c99f444e60,semantic-repair,FP-R012,FP-GOV,historical successor layering: ninth-order checker freezes its original target against final-pass successor baseline instead of reinterpreting history
governance/convergence/final-pass-directories.csv,added,n/a,36c742961e1602e48933fa79d5878c6278481ea391ec7d523d7851f6bb54030f,governance/evidence,FP-GOV,n/a,"final cross-wave convergence evidence, historical layering, topology registration, or canonical verification wiring"
governance/convergence/final-pass-donors.csv,added,n/a,35a39a4d645e0510831545d508e4d328a080fee7551cd215b2deb3a9392da5d6,governance/evidence,FP-GOV,n/a,"final cross-wave convergence evidence, historical layering, topology registration, or canonical verification wiring"
governance/convergence/final-pass-high-level-plane-audit.csv,added,n/a,71470e80200d4214ccb65bb18dc4b6b43b9df1194536fc9e84c70af531bc8f71,governance/evidence,FP-GOV,n/a,"final cross-wave convergence evidence, historical layering, topology registration, or canonical verification wiring"
governance/convergence/final-pass-license-map.csv,added,n/a,cc6580f5cce66decd6197ff31bbf86bfcdc3e661c473b1abbda71b8b2f31ad77,governance/evidence,FP-GOV,n/a,"final cross-wave convergence evidence, historical layering, topology registration, or canonical verification wiring"
governance/convergence/final-pass-modules.csv,added,n/a,0fdc7b55bf9dce64484e09f6a418265d22672608649cf8108f296da4dc02729c,governance/evidence,FP-GOV,n/a,"final cross-wave convergence evidence, historical layering, topology registration, or canonical verification wiring"
governance/convergence/final-pass-omission-audit.md,added,n/a,281685e891c7232e31143d3e9c7949c3e68df48f779669a167c6d8848d3719c7,governance/evidence,FP-GOV,n/a,"final cross-wave convergence evidence, historical layering, topology registration, or canonical verification wiring"
