record_id,parent_record_id,composition_group_id,donor,domain,value_unit,source_granularity,value_form,separability,donor_path,donor_sha256,donor_symbol,transformation,mapping_topology,disposition,decision_rationale,target_capability,target_nodes,invariant,negative_invariant,test_node,operator_surface,migration_impact,license_note,risk_tier,dependency_record_ids,evidence_confidence,validation_status
S7-001,n/a,CG-S7-001,strongswan-master,runtime,IKEv2 public-key system-tunnel engine,file/symbol family,executable behavior,standalone target-native equivalent,src/charon-cmd/cmd/cmd_options.c,eb498eb9e9beeecd33addd6f54f0d57794f1ff06ef9d9354786efad737aae38d,n/a,rederivation,idea-to-native,inspired-native,charon-cmd provides a separable simple IKEv2 client; LumiNet keeps process ownership in runtimecore and only supplies a non-interactive public-key profile.,IKEv2 public-key system-tunnel engine,src/apps/daemon/internal/runtime/runtimecore/ikev2_engine.go#ikev2Engine;src/apps/daemon/internal/runtime/runtimecore/manager.go#EngineIKEv2,Only the non-interactive public-key charon-cmd profile is admitted through runtimecore.,No TTY-secret profile is silently started.,src/apps/daemon/internal/runtime/runtimecore/ikev2_engine_test.go#TestNormalizeIKEv2RequestAndArgs,Operations / Runtime engines,additive/no durable migration,GPL-2.0-or-later overall with component-specific notices; target invokes external charon-cmd and does not copy source,high,n/a,high,verified
S7-002,n/a,CG-S7-002,strongswan-master,protocol,IKE/ESP proposal and traffic-selector controls,file/symbol family,executable behavior,standalone target-native equivalent,src/charon-cmd/cmd/cmd_options.c,eb498eb9e9beeecd33addd6f54f0d57794f1ff06ef9d9354786efad737aae38d,n/a,rederivation,one-to-many,extracted,IKE/ESP proposal and traffic-selector controls dispositioned against current LumiNet ownership.,IKE/ESP proposal and traffic-selector controls,src/apps/daemon/internal/runtime/runtimecore/ikev2_engine.go#commandArgs;src/packages/control-ui/src/pages/Operations.tsx#IKE proposals,Proposal lists are bounded and traffic selectors remain explicit operator inputs.,Control characters and unbounded proposal lists are rejected.,src/apps/daemon/internal/runtime/runtimecore/ikev2_engine_test.go#TestNormalizeIKEv2RequestRejectsUnsafeAndUnboundedProposals,Operations / IKEv2 profile,additive/no durable migration,GPL-2.0-or-later overall with component-specific notices; target invokes external charon-cmd and does not copy source,medium,S7-001,high,verified
S7-003,n/a,CG-S7-003,strongswan-master,credentials,charon-cmd interactive EAP/PSK/passphrase profiles,file/symbol family,negative lesson,standalone target-native equivalent,src/charon-cmd/cmd/cmd_creds.c,ace06368f5c8adcf3230337b76ca5799ffd535e01bcd911b49260f4a2a19ed59,n/a,negative-to-guardrail,negative-to-guardrail,rejected-with-reason,charon-cmd interactive EAP/PSK/passphrase profiles dispositioned against current LumiNet ownership.,charon-cmd interactive EAP/PSK/passphrase profiles,src/apps/daemon/internal/runtime/runtimecore/ikev2_engine.go#normalizeIKEv2Request,Daemon-started IKEv2 must be non-interactive.,TTY getpass-dependent credentials are not exposed as an unattended engine mode.,src/apps/daemon/internal/runtime/runtimecore/ikev2_engine_test.go#TestNormalizeIKEv2RequestRejectsInteractiveProfileShape,Operations / IKEv2 profile,additive/no durable migration,GPL-2.0-or-later overall with component-specific notices; target invokes external charon-cmd and does not copy source,high,S7-001,high,verified
S7-004,n/a,CG-S7-004,strongswan-master,control-plane,VICI/swanctl daemon control ecosystem,file/symbol family,executable behavior,context-dependent,src/libcharon/plugins/vici/README.md,899bf6a5b3d73ca8fb2f7ce1103cab782a8043f1489f94ff5c0f655960fe864e,n/a,reference,many-to-one,reference-only,"Powerful full-daemon control plane, but runtimecore already owns long-lived engine authority; importing VICI would create a second mutation surface.",n/a,n/a,n/a,n/a,n/a,n/a,none,GPL-2.0-or-later overall with component-specific notices; target invokes external charon-cmd and does not copy source,medium,n/a,high,reviewed
S7-005,n/a,CG-S7-005,strongswan-master,protocol,"IKE SA lifecycle, rekey, MOBIKE, NAT traversal and payload machinery",file/symbol family,executable behavior,context-dependent,src/libcharon/sa/ike_sa.c,1e9b2c2a2caf97f3aa4e86d22100a0e03e6f2f88b4fe488ec5b00066dd993d47,n/a,reference,many-to-many,reference-only,Mature protocol implementation retained as evidence; seventh-order scope delegates protocol execution to external charon-cmd rather than reimplementing IKE state machines.,n/a,n/a,n/a,n/a,n/a,n/a,none,GPL-2.0-or-later overall with component-specific notices; target invokes external charon-cmd and does not copy source,high,n/a,high,reviewed
S7-006,n/a,CG-S7-006,strongswan-master,credentials,"PKI, certificate, credential-set and crypto plugin machinery",file/symbol family,executable behavior,context-dependent,src/libstrongswan/credentials/credential_factory.c,466684d1960c42d873ddf8f328d54d323223ebb4530726b34420247ae2dc762f,n/a,reference,many-to-many,reference-only,Retained as deep credential/interoperability reference; target does not transplant the plugin graph.,n/a,n/a,n/a,n/a,n/a,n/a,none,GPL-2.0-or-later overall with component-specific notices; target invokes external charon-cmd and does not copy source,high,n/a,high,reviewed
S7-007,n/a,CG-S7-007,strongswan-master,networking,"kernel IPsec, route and libipsec backends",file/symbol family,executable behavior,context-dependent,src/libcharon/kernel/kernel_interface.c,492975d7c6b9f4394e0e55cd9f942eecb570f406d8ac61bb5f122a71e40d9cb4,n/a,reference,many-to-one,reference-only,Kernel dataplane ownership stays with strongSwan process/OS; LumiNet does not create a competing in-process IPsec stack.,n/a,n/a,n/a,n/a,n/a,n/a,none,GPL-2.0-or-later overall with component-specific notices; target invokes external charon-cmd and does not copy source,high,n/a,high,reviewed
S7-008,n/a,CG-S7-008,strongswan-master,authentication,EAP/XAuth authentication plugin families,file/symbol family,executable behavior,context-dependent,src/libcharon/plugins/eap_identity/eap_identity.c,5abf8c9772f71e8ce556a8f05265bebdebe342f901e44adaec13ce004082a792,n/a,reference,many-to-many,reference-only,Authentication plugin richness is recorded but not exposed through unattended charon-cmd because those profiles require additional secret/interaction contracts.,n/a,n/a,n/a,n/a,n/a,n/a,none,GPL-2.0-or-later overall with component-specific notices; target invokes external charon-cmd and does not copy source,medium,n/a,high,reviewed
S7-009,n/a,CG-S7-009,strongswan-master,reliability,"HA, address-pool and session-state mechanisms",file/symbol family,executable behavior,context-dependent,src/libcharon/plugins/ha/ha_cache.c,a333008f84d828e6a49205ec70e397a396d00d8a9fa660209931cbd85c412388,n/a,reference,many-to-many,reference-only,Useful high-availability/state evidence; no matching target-owned IKE cluster/session authority exists in this wave.,n/a,n/a,n/a,n/a,n/a,n/a,none,GPL-2.0-or-later overall with component-specific notices; target invokes external charon-cmd and does not copy source,medium,n/a,high,reviewed
S7-010,n/a,CG-S7-010,strongswan-master,validation,IKE/IPsec interoperability tests and fuzz corpora,file/symbol family,test/oracle,context-dependent,testing/tests/ikev2/net2net-route/description.txt,7dd2d9b3c1ec1fe4adb8cb901d1ef61dc2bc792336e6b1673fec04cb39a0797d,n/a,reference,many-to-many,reference-only,Large test/fuzz corpus retained as future interoperability oracle; live charon-cmd interoperability cannot be executed here without required binaries/capabilities.,n/a,n/a,n/a,n/a,n/a,n/a,none,GPL-2.0-or-later overall with component-specific notices; target invokes external charon-cmd and does not copy source,medium,n/a,high,reviewed
