group_id,peer_units,winning_target_owner,decision,tiny_or_large_value,why_it_wins,negative_boundary,evidence
SUP-001,defyx SEM001; ZedPass SEM011,foundation/secrets native stores + secret refs,target supersedes both donor storage models,small target secret-reference boundary beats client preference/storage subsystems,"secrets stay provider-backed and UI/non-secret config holds references, not plaintext credentials",no ordinary preferences or client-side storage as secret authority,src/apps/daemon/internal/foundation/secrets/store.go#Store
SUP-002,Aether SEM055; second-order FO-007,foundation/remoteaction,negative donor primitive becomes target-wide replay authority,one unsafe retry loop yields a stronger global guardrail,operation-specific idempotency/reconciliation proves replay safety and bounds attempts,unreconcilable create remains single-attempt,src/apps/daemon/internal/foundation/remoteaction/remoteaction.go#Do
SUP-003,defyx SEM006; Goida SEM025; configs SEM041; site SEM043/SEM088,foundation/updateadmission + API plan,"distribution planes decomposed; signed admission promoted, download/apply rejected",small trust-boundary primitive supersedes multiple full updater workflows,"signature, actual-current-version CAS, rollback identity, size/time bounds without granting installation authority",no download/install/execute/self-update authority,src/apps/daemon/internal/foundation/updateadmission/updateadmission.go#Verify
SUP-004,goida-configs source catalogs; Aether SEM063; goida-configs SEM105,ProfileService source plane,many donor source/cache/error units recomposed into one owner,last-good ordering + bounded mirrors beat separate cache/downloader subsystems,"primary remains authoritative, mirrors bounded, health independent, errors redacted, egress SSRF-safe",no donor URL promotion or TLS downgrade,src/apps/daemon/internal/integrations/sub/profile_service.go#orderedProfileSources
SUP-005,Goida SEM021/SEM022/SEM102,platform/system host-network transaction + plan,"exact-preimage transaction retained, aggressive takeover rejected, preview promoted",read-only planning primitive sits above larger host mutation UI,"same owner provides validation, snapshot, rollback and crash recovery without UI authority",preview cannot mutate or authorize apply,src/apps/daemon/internal/platform/system/host_network.go#PlanHostNetwork
SUP-006,Aether-GUI SEM013-018; Aether SEM073/SEM093,daemon runtime/workflow context lifetimes,bounded primitives retained/superseded without second supervisor hierarchy,target cancellation ownership beats global killswitch/sidecar orchestration,task/process lifetimes follow owner contexts and existing runtime authorities,no global abort tree or dormant supervisor promoted as production authority,src/apps/daemon/internal/runtime/runtimecore/manager.go#Close
SUP-007,Aether quiche SEM074-086,existing Xray/sing-box/native transport libraries + target parser bounds,fine-grained safety/test ideas mined; complete QUIC/H3 stack remains non-live,bounds/fuzz/telemetry lessons kept while thousands of transport internals are rejected as a second authority,target avoids duplicate crypto/congestion/path/QPACK/FFI ownership and operational burden,no donor QUIC runtime promotion without target owner+differential proof,governance/convergence/fourth-order-symbol-review.csv#semantic
SUP-008,Aether SEM062; target diagnostic/subscription worker pools,foundation/resourcebudget ceiling,hardware hint restricted to non-amplifying envelope,small deterministic policy safely influences multiple high-fanout owners,intersects existing subsystem caps rather than overriding them,never increases concurrency above owner ceiling,src/apps/daemon/internal/foundation/resourcebudget/resourcebudget.go#CapWorkers
SUP-009,Aether config quarantine below SEM052; existing target atomic writer,foundation/config,tiny recovery primitive complements already-adopted durable write,small corrupt-state move closes a failure mode without replacing config subsystem,preserves exact damaged bytes collision-safely and still fails closed,no auto-reset and no quarantine for secret/provider failures,src/apps/daemon/internal/foundation/config/quarantine.go#quarantineCorruptConfig
SUP-010,defyx SEM008; Aether-GUI SEM019,control UI Logs + target telemetry history,live bounded target log UI supersedes both donor viewer/store ideas,single 500-line target view subsumes duplicate client log-history widgets,one product surface consumes target telemetry and remains bounded/non-authoritative,no unbounded or duplicate log state,src/packages/control-ui/src/pages/Logs.tsx#MAX_LOG_LINES
SUP-011,Aether-GUI SEM018; target proxy/Tor/control ReadString call sites,foundation/boundedio + protocol owners,tiny bounded-partial-line invariant generalized across live line protocols,one small allocation guard supersedes multiple unbounded line accumulators without importing the PTY subsystem,one tested foundation primitive enforces caller-defined byte ceilings while protocol-specific owners retain parsing and connection lifecycle,oversized peer lines fail closed; no partial oversized payload is forwarded and no generic parser authority is introduced,src/apps/daemon/internal/foundation/boundedio/line.go#ReadLine
