donor,primary_role,strongest_value,disposition,target_result,rationale
LEGION2-main,network/security scanner and exploit corpus,observation pipelines and scanner UX/recovery examples,rejected-with-reason,retain LumiNet scanner authority,Broad exploit/NASL/recon authority materially expands attack surface; no separable mechanism beat LumiNet owners enough to justify that expansion.
OnionHop-master,Tor bridge and circumvention client,fronted bridge reachability plus public-target admission,hardened/extracted,Tor bridge diagnostic plus shared netpolicy,Reimplemented bounded front-aware probing and generalized destination safety without importing donor runtime state.
SIMORGH-main,Android Xray client and public config selector,latency cache/health selection and build download fallback,reference-only,LumiNet existing health/update owners retained,No root code license identified and target already has stronger median/jitter/trust/backoff and update-admission mechanisms.
Xray-core-main,proxy runtime core,observatory DNS routing protocol implementations,superseded,temporary CoreManager boundary retained,LumiNet already owns long-lived runtime state and has richer target-native qualification/health policy; wholesale core adoption would duplicate authority.
Xray-docs-next-main,protocol/runtime documentation,configuration semantics and operator knowledge,reference-only,documentation evidence only,Useful descriptive evidence was reviewed but does not justify runtime ownership or equivalence claims.
Xray-tun-main,TUN-enabled Xray variant,TUN and observatory/routing branch-specific mechanisms,superseded,LumiNet mobile/host TUN owners retained,Branch differs materially from Xray-core but its TUN/runtime ownership conflicts with canonical LumiNet owners; no stronger separable primitive remained after comparison.
iperf-master,iperf3 reference implementation,actual iperf3 protocol and result semantics,adapted,bounded external iperf3 diagnostic,Replaced false raw-socket surrogate with real iperf3 JSON execution while avoiding embedding C source.
lantern-main,circumvention/VPN client,physical underlay observation and kill-switch/liveness lessons,inspired-native,passive Android UnderlyingNetworkTracker,Adopted passive NOT_VPN observation; did not copy external tun2socks restart because LumiNet has in-process TUN fd ownership.
metacubexd-main,proxy operator web UI,traffic/rule/operator interaction patterns,superseded,existing control UI remains authoritative,Useful UX reference did not expose a stronger state or authority model than LumiNet Operations/traffic/rule surfaces.
nexvpn-main,mobile VPN client,per-app include/exclude mode plus TUN-preserving child restart lesson,hardened,Android PerAppVpnPolicy,Reimplemented mutually exclusive package modes with stronger prevalidation; external-child restart does not fit LumiNet in-process TUN ownership.
rethink-app-main,Android firewall/VPN,DNS/firewall/per-app routing and lockdown semantics,hardened,Android PerAppVpnPolicy plus existing DNS/firewall owners,Mode separation corroborated and was rederived; larger firewall/DNS authority would duplicate target owners.
sing-box-testing,proxy runtime core,remote rule-set conditional refresh and last-known-good update lifecycle,recomposed,subscription profile refresh authority,Fused ETag/304/validate-before-swap into existing mirror/backoff owner rather than adding a second rule-set manager.
v2board-master,subscription commerce/account backend,account/reseller/billing control plane,rejected-with-reason,no product authority added,Commerce and reseller state is unrelated to LumiNet network-client authority and would create a new source of truth.
v2ray-core-main,alternate/older V2Ray core,DNS/routing/protocol compatibility mechanisms,superseded,existing proxy/core boundary retained,No branch-level mechanism justified displacing target runtime or DNS owners after overlap/supersession analysis.
v2ray-core-master,V2Ray core with NAT traversal,multi-observation STUN/NAT mapping evidence,hardened,RFC5389 evidence-bounded STUN mapping,Reimplemented only the directly supportable mapped-address comparison and intentionally rejected unsupported cone/filter labels.
v2ray-go-main,V2Ray Go branch,DNS/proxy/routing/core mechanisms,superseded,existing target owners retained,Mechanisms overlap core families and do not outperform the target enough to justify parallel runtime authority.
v2rayA-main,V2Ray management/control plane,DNS management observatory process lifecycle and latency selection,superseded,existing DNS/supervisor/health owners retained,Target already has bounded DNS state process supervision and richer health selection; control-plane transplant would duplicate sources of truth.
v2rayN-master,desktop proxy client,STUN/operator diagnostics and configuration UX,guardrail-derived,truthful STUN diagnostic,Used shallow STUN behavior as negative evidence: a successful binding alone cannot justify NAT-type labels.
v2ray_client-master,legacy Python V2Ray client,subscription/process management examples,reference-only,no source adoption,No root code license identified and target already has stronger subscription/supervision owners.
