record_id,donor,domain,value_unit,disposition,reversal_result,target_evidence,reversal_rationale,validation_status
SEM001,defyxVPN,secrets,OS-backed client secret storage,superseded,stays-non-live-after-target-recheck,src/apps/daemon/internal/foundation/secrets/store.go#Store,LumiNet backend secret references/platform stores are deeper and keep UI non-authoritative. Stronger target owner: backend secret references plus platform-backed stores.,reviewed
SEM004,defyxVPN,mobile-state,native connection status reconciliation,superseded,stays-non-live-after-target-recheck,src/apps/daemon/internal/runtime/mobilecore/controller.go#Status,LumiNet service/daemon state is already authoritative and UI state is derived. Stronger target owner: daemon/mobilecore runtime state remains authoritative.,reviewed
SEM005,defyxVPN,mobile,iOS PacketTunnel host lifecycle,reference-only,stays-non-live-after-target-recheck,governance/convergence/peer-validation.md#sem005,"Useful future iOS host evidence, but iOS is not a current LumiNet product surface.",reviewed
SEM006,defyxVPN,distribution,client update dialog workflow,reference-only,stays-non-live-after-target-recheck,governance/convergence/peer-validation.md#sem006,"Useful UX reference, but self-update would create unsigned code-download authority without target promotion/rollback contract.",reviewed
SEM007,defyxVPN,diagnostics,client speed-test presentation,superseded,stays-non-live-after-target-recheck,src/apps/daemon/internal/adapters/api/handlers_speedtest.go#RunSpeedtest,LumiNet already has speedtest API and qualification workflow. Stronger target owner: server-owned speed diagnostics and qualification already exist.,reviewed
SEM008,defyxVPN,observability,operator log viewer affordances,reference-only,stays-non-live-after-target-recheck,governance/convergence/peer-validation.md#sem008,Bounded/log-access UX is useful reference; LumiNet already bounds and serves logs.,reviewed
SEM009,ZedPass,protocol,SSTP client/profile plane,reference-only,stays-non-live-after-target-recheck,governance/convergence/peer-validation.md#sem009,"SSTP is a potentially useful future protocol, but adding it now would create an unverified parallel VPN transport/credential plane.",reviewed
SEM012,ZedPass,ui-product,DNS/proxy/TLS profile editing UX,reference-only,stays-non-live-after-target-recheck,governance/convergence/peer-validation.md#sem012,Useful operator information architecture; LumiNet already owns equivalent backend settings and does not need donor Flutter state.,reviewed
SEM016,Aether-GUI,process-supervision,pre-connect port collision check,reference-only,stays-non-live-after-target-recheck,governance/convergence/peer-validation.md#sem016,"Useful operator preflight; LumiNet already has host/network readiness probes and binding errors, so no duplicate sidecar preflight owner.",reviewed
SEM017,Aether-GUI,process-recovery,PID-file orphan termination,rejected-with-reason,stays-non-live-after-target-recheck,governance/convergence/peer-validation.md#sem017,PID-only killing risks terminating an unrelated process after PID reuse.,reviewed
SEM018,Aether-GUI,resource-bounds,bounded PTY partial-line buffer,reference-only,stays-non-live-after-target-recheck,governance/convergence/peer-validation.md#sem018,16 KiB partial buffer is a useful sidecar-stream bound; LumiNet has no PTY sidecar plane today.,reviewed
SEM019,Aether-GUI,observability,bounded client log history,superseded,stays-non-live-after-target-recheck,src/packages/control-ui/src/api/contracts.ts#LogsResponse,LumiNet already uses a 500-line bounded product log surface. Stronger target owner: target product log surface is already bounded and daemon-derived.,reviewed
SEM020,Aether-GUI,configuration,profile migration/validation,superseded,stays-non-live-after-target-recheck,src/apps/daemon/internal/integrations/sub/profile_service.go#ProfileService,"LumiNet profile service already validates, snapshots metadata, cancels stale refreshes and owns profile lifecycle. Stronger target owner: profile validation/refresh/cancellation lifecycle is target-owned.",reviewed
SEM022,Goida-AI-Unlocker,host-mutation,aggressive DNS service/process/ACL takeover,rejected-with-reason,stays-non-live-after-target-recheck,governance/convergence/peer-validation.md#sem022,"Stopping services, killing processes and taking ownership broadens authority beyond the requested hosts mutation.",reviewed
SEM023,Goida-AI-Unlocker,cache,small remote-main-line TTL cache,reference-only,stays-non-live-after-target-recheck,governance/convergence/peer-validation.md#sem023,Useful desktop cache pattern but target provider/profile caches already own TTL semantics.,reviewed
SEM024,Goida-AI-Unlocker,localization,language normalization and fallback,reference-only,stays-non-live-after-target-recheck,governance/convergence/peer-validation.md#sem024,Useful localization fallback reference; current control UI is not yet localized enough to justify a new runtime plane.,reviewed
SEM025,Goida-AI-Unlocker,distribution,desktop update workflow,reference-only,stays-non-live-after-target-recheck,governance/convergence/peer-validation.md#sem025,"One of several donor updater surfaces; target lacks signed update authority/rollback, so implementation is deferred.",reviewed
SEM026,Goida-AI-Unlocker,operations,retrying delete/external-open helpers,reference-only,stays-non-live-after-target-recheck,governance/convergence/peer-validation.md#sem026,Operational helper patterns retained; no natural target owner requires them today.,reviewed
SEM028,Unlock_AI_and_EN_Services_for_Russia,routing-data,hard-coded service destination IPs,rejected-with-reason,stays-non-live-after-target-recheck,governance/convergence/peer-validation.md#sem028,"Destination IPs are volatile outcomes, not stable policy, and would create brittle pinning.",reviewed
SEM029,Unlock_AI_and_EN_Services_for_Russia,blocking-policy,28K+ blocking domain corpus,reference-only,stays-non-live-after-target-recheck,governance/convergence/peer-validation.md#sem029,Large block corpus is useful evaluation evidence but too broad/high-false-positive to become default target policy.,reviewed
SEM030,Unlock_AI_and_EN_Services_for_Russia,routing-data,15 unlabeled positive domains,reference-only,stays-non-live-after-target-recheck,governance/convergence/peer-validation.md#sem030,Unlabeled positives lack semantic ownership; retained for evaluation rather than live routing.,reviewed
SEM031,Unlock_AI_and_EN_Services_for_Russia,deployment,Magisk/root module packaging,reference-only,stays-non-live-after-target-recheck,governance/convergence/peer-validation.md#sem031,Root/Magisk deployment is not a supported LumiNet installation authority.,reviewed
SEM036,goida-vpn-configs,remote-fetch,TLS verification disabled and HTTPS downgrade retry,rejected-with-reason,stays-non-live-after-target-recheck,governance/convergence/peer-validation.md#sem036,Donor downloader weakens transport security; target keeps HTTPS-only validated egress with bounded bodies.,reviewed
SEM039,goida-vpn-configs,routing-data,SNI/domain catalog,reference-only,stays-non-live-after-target-recheck,governance/convergence/peer-validation.md#sem039,Useful future scanner/routing evaluation corpus; not promoted without freshness and target-specific classification.,reviewed
SEM040,goida-vpn-configs,distribution,QR subscription distribution outputs,reference-only,stays-non-live-after-target-recheck,governance/convergence/peer-validation.md#sem040,Product distribution artifact reference; target already exposes config/API surfaces and need not store generated QR images.,reviewed
SEM041,goida-vpn-configs,distribution,GitHub release discovery/update tooling,reference-only,stays-non-live-after-target-recheck,governance/convergence/peer-validation.md#sem041,Useful updater/reference mechanism but deferred until signed target upgrade authority exists.,reviewed
SEM042,goida-vpn-site,pwa,offline cache/service worker strategy,reference-only,stays-non-live-after-target-recheck,governance/convergence/peer-validation.md#sem042,Useful public-site PWA reference; LumiNet has no public download/PWA product plane.,reviewed
SEM043,goida-vpn-site,distribution,GitHub release asset discovery with TTL cache,reference-only,stays-non-live-after-target-recheck,governance/convergence/peer-validation.md#sem043,One of several updater/distribution mechanisms; retained until target has signed update authority.,reviewed
SEM044,goida-vpn-site,ui-security,external-link confirmation affordance,reference-only,stays-non-live-after-target-recheck,governance/convergence/peer-validation.md#sem044,Useful browser UX pattern; current control UI exposes no equivalent external-link surface needing it.,reviewed
SEM045,goida-vpn-site,localization,multi-language product translation corpus,reference-only,stays-non-live-after-target-recheck,governance/convergence/peer-validation.md#sem045,Localization structure is useful reference but donor strings/product taxonomy do not belong in LumiNet.,reviewed
SEM046,goida-vpn-site,product-analytics,client download/project statistics presentation,reference-only,stays-non-live-after-target-recheck,governance/convergence/peer-validation.md#sem046,Public-site analytics UI has no target operator-plane need.,reviewed
SEM047,goida-vpn-site,product-web,SEO/meta routes and templates,reference-only,stays-non-live-after-target-recheck,governance/convergence/peer-validation.md#sem047,Public marketing site behavior is outside current LumiNet application authority.,reviewed
SEM055,Aether,remote-mutation,automatic registration POST retries,rejected-with-reason,stays-non-live-after-target-recheck,governance/convergence/peer-validation.md#sem055,Registration creates remote account/device state and target has no proven idempotency key/reconciliation; timeout retry can duplicate side effects.,reviewed
SEM056,Aether,certificate-lifecycle,MASQUE certificate lifetime/renewal window,reference-only,stays-non-live-after-target-recheck,governance/convergence/peer-validation.md#sem056,"Strong lifecycle predicate, but LumiNet currently has no persisted MASQUE certificate owner to harden without introducing a new transport/auth plane.",reviewed
SEM057,Aether,routing-policy,block-before-proxy precedence,rejected-with-reason,stays-non-live-after-target-recheck,governance/convergence/peer-validation.md#sem057,Target intentionally protects service/anticensorship categories from broad block/direct categories and current corpora show no conflict requiring donor precedence.,reviewed
SEM058,Aether,backpressure,bounded per-tick network queues/drop-on-full,superseded,stays-non-live-after-target-recheck,src/apps/daemon/internal/runtime/proxy/evasion_tunnel.go#EvasionTunnelManager,LumiNet already has bounded queues/context cancellation in its runtime owners; importing smoltcp netstack would duplicate transport authority. Stronger target owner: runtime owners already use bounded queues/context cancellation.,reviewed
SEM059,Aether,wireguard-resilience,bounded transient UDP receive error tolerance,reference-only,stays-non-live-after-target-recheck,governance/convergence/peer-validation.md#sem059,Useful tunnel-loop oracle; LumiNet WARP plane does not expose the same long-lived userspace receive loop to patch directly.,reviewed
SEM060,Aether,probing,CIDR ordering/sampling and MASQUE reachability probes,superseded,stays-non-live-after-target-recheck,src/apps/daemon/internal/runtime/warp/warp_scanner.go#WARPScanner,Target scanners/WARP scanner already own configurable concurrency/timeouts/real handshake verification. Stronger target owner: target scanner already owns concurrency/timeouts/real endpoint verification.,reviewed
SEM061,Aether,probing,WireGuard range sampling/verification,superseded,stays-non-live-after-target-recheck,src/apps/daemon/internal/runtime/warp/warp_scanner.go#WARPScanner,Target WARP scanner already does real WireGuard handshake and endpoint qualification. Stronger target owner: same live WARP scanner supersedes donor range probe.,reviewed
SEM062,Aether,performance-policy,hardware-adaptive socket/buffer profile,reference-only,stays-non-live-after-target-recheck,governance/convergence/peer-validation.md#sem062,"Adaptive tiering is useful performance reference, but hidden hardware-derived behavior would reduce operator predictability without target benchmarks.",reviewed
SEM063,Aether,state,last connection cache,superseded,stays-non-live-after-target-recheck,src/apps/daemon/internal/foundation/pingcache/pingcache.go#PingCache,Target profile/pingcache/state owners are deeper and already provide TTL/dedup lifecycle. Stronger target owner: target TTL cache and profile state own connection history.,reviewed
SEM064,Aether,identity,Cloudflare Access/Zero Trust token login/cache,reference-only,stays-non-live-after-target-recheck,governance/convergence/peer-validation.md#sem064,Potential future authenticated-edge integration; no current target authority/consumer justifies importing interactive token acquisition.,reviewed
