donor,archive,archive_sha256,member_count,file_surfaces,directories,symbols,symlinks,license_posture,source_reuse_policy,archive_issues,final_disposition
3xui-telegram-bot-main,3xui-telegram-bot-main.zip,aba0c1ac694e08186a17b9b4c412b2d3979cf0859f370d42a6246605620be778,39,32,7,210,0,MIT,direct adaptation permitted with attribution,none; validated before extraction,revalidated against current target; detailed semantics in final-pass adoption ledger
AgentDNS-main,AgentDNS-main.zip,add33e8ac55099939a21258081c4beb9d6b2859f0cbef000cdabf71dcf15c608,16,13,3,26,0,"no explicit LICENSE in archive; README claims MIT, treated as unverified/no-license for source reuse",no direct source reuse; concepts/negative evidence/reference only,none; validated before extraction,revalidated against current target; detailed semantics in final-pass adoption ledger
Auto_Tor_IP_changer-master(2),Auto_Tor_IP_changer-master(2).zip,2b14f6d735fa3932c25f779ebe5bb11f08294251ea14c709786484853e4080f3,4,3,1,2,0,no explicit license; exact-byte duplicate of sixth-order donor archive,no source copying; evidence/reference/independent rederivation only,none; validated before extraction,revalidated against current target; detailed semantics in final-pass adoption ledger
BPB-Warp-Scanner-main,BPB-Warp-Scanner-main.zip,bbad6899e5ca76685ef362a2facf19cdd88bedaa51d77af34f431c2bdc704d1b,17,14,3,65,0,"GPL-3.0; selected semantics independently rederived, no source copied",no source copying; evidence/reference/independent rederivation only,none; validated before extraction,revalidated against current target; detailed semantics in final-pass adoption ledger
BWLimiter-main,BWLimiter-main.zip,e109e52d8743cdecd8fb14696f510e0fe7614a02f4788715151d76e74afbf7a6,9,7,2,157,0,no explicit license; negative/guardrail evidence only,no source copying; evidence/reference/independent rederivation only,none; validated before extraction,revalidated against current target; detailed semantics in final-pass adoption ledger
DNS-Persist-master,DNS-Persist-master.zip,0396f84ecbd482d9e84ca7b9862513fdf5475740dfb7854e4cbebf2adedb0778,35,30,5,69,0,MIT,"permissive source eligible for comparison/adaptation, but target-native authority and correctness gates still apply",none; validated before extraction,revalidated against current target; detailed semantics in final-pass adoption ledger
Go-netowrking-tools-main,Go-netowrking-tools-main.zip,08c1cd69049b710afae52cffd390d7ac4a64046aaf69d08f288f30997926125d,13,5,8,8,0,no explicit license,no direct source reuse; concepts/negative evidence/reference only,none; validated before extraction,revalidated against current target; detailed semantics in final-pass adoption ledger
GodMode-main,GodMode-main.zip,b5dc0d8ab15ee4d702166a2ac80baa8b0cddc25b13bdaac0277f62405a94fea4,157,130,27,117,0,MIT,"permissive source eligible for comparison/adaptation, but target-native authority and correctness gates still apply",none; validated before extraction,revalidated against current target; detailed semantics in final-pass adoption ledger
GoodbyeDPI-master,GoodbyeDPI-master.zip,aa7901bb23afcc7fddb7cbf0157a5b52d952f18e3b87fbf7207a1a0a15237eea,35,29,6,16,0,Apache-2.0,direct adaptation permitted with attribution,none; validated before extraction,revalidated against current target; detailed semantics in final-pass adoption ledger
InterceptSuite-main,InterceptSuite-main.zip,cc1b8f5a1c2c52aa7b26730b9f265a0e3a01546024db1d2e0768f887660a75c4,3,2,1,0,0,no explicit license,no direct source reuse; concepts/negative evidence/reference only,none; validated before extraction,revalidated against current target; detailed semantics in final-pass adoption ledger
InviZible-master,InviZible-master.zip,a4a2dbd2b99f1a618452b4f5bfb441809b39c686e0bbd6d772887f03a65573de,1563,1248,315,930,0,GPL-family copyleft; target uses independent target-native semantics only,no direct donor source reuse for eighth-order changes; independent target-native rederivation/evidence only unless pre-existing compatible boundary already exists,none; validated before extraction,revalidated against current target; detailed semantics in final-pass adoption ledger
Marzban-master,Marzban-master.zip,df758c350081cd41def22cd62c079e21c2824e59d3b0c3575b15aa4c0f864e3c,557,434,123,1318,0,"AGPL-3.0; selected semantics independently rederived, no source copied",no source copying; evidence/reference/independent rederivation only,none; validated before extraction,revalidated against current target; detailed semantics in final-pass adoption ledger
Proxy-client-collection-main,Proxy-client-collection-main.zip,4ff3369055dd0c600ec9b36cf9496e3949e73ccc2da250f6ae58281341aa6f0d,3,2,1,0,0,no explicit license; descriptive reference only,no source copying; evidence/reference/independent rederivation only,none; validated before extraction,revalidated against current target; detailed semantics in final-pass adoption ledger
Se7en-Pro-1.0.0,Se7en-Pro-1.0.0.zip,39cd04fdc9b0c63e1c9315c47d9519e46c842bb5ee46feb4f237b26e237a0772,199,172,27,78,0,MIT,"permissive source eligible for comparison/adaptation, but target-native authority and correctness gates still apply",none; validated before extraction,revalidated against current target; detailed semantics in final-pass adoption ledger
Serverless-for-Iran-main,Serverless-for-Iran-main.zip,e8a850592802028c60b84e8bac3fa3fea492d8b763d51be9f71bd0bf3d54d766,9,7,2,0,0,"GPL-3.0; preset concepts only, no source/config copied",no source copying; evidence/reference/independent rederivation only,none; validated before extraction,revalidated against current target; detailed semantics in final-pass adoption ledger
