decision_id,domain,baseline_path,baseline_sha256,selected_authority,retained_value,negative_invariant,validation_gate,validation_status
SB-001,runtime-source-authority,core/src/lib.rs,e5147d5fc3edd8a725e393fd63107f7e3700cea068cd22bcbdd74c99c8c1fdf2,Supported source roots contain only reachable shipped code; dormant/native peers stay hash-preserved in governed labs.,Source purity and product reachability are explicit rather than inferred from folder location.,Live source roots must not regain unreachable/foreign implementation islands.,scripts/checks/check_lumicore_source_purity.py; scripts/checks/check_daemon_reachability.py,verified
SB-002,android-vpn-lifecycle,server/internal/proxy/mobile_bind.go,ec6419a76bef2dae6137ef4d77a59805cee7eb4ce6ad01c548f30d2d69f6b1a6,One Android VPN lifecycle: VpnEngineService -> generated mobilebind AAR -> VPNEngine/CoreController -> system.StartTun2Socks.,Transferred TUN ownership and real userspace forwarding survive compatibility entry points.,"No second VpnService, handwritten JNI, fake TUN drain, or unowned transferred FD may become live authority.",scripts/checks/check_mobile_tun_ownership.py; scripts/checks/check_mobile_binding.py; scripts/checks/check_mobile_product.py,statically-validated
SB-003,control-session-discovery,desktop/main.go,25f8b0ec65d2ac1ace1d92356e101bb7217288f844f3328bb602e596df9efb5b,"One versioned local session descriptor is shared by daemon, desktop, and CLI while both historical descriptor shapes remain accepted for migration.",A discovered local daemon is authoritative and legacy descriptors migrate without parallel control state.,Invalid/unreachable/rejecting discovered sessions must not silently start a second in-process manager.,packages/contracts/session/session_test.go,verified
SB-004,shared-control-ui,desktop/frontend/package.json,cca75ba4d7328721172b012c46dab60b1e61af8c6a9a4035b0e8cc960b2bb076,React source and production embed bytes have one owner under packages/control-ui; daemon browser mode and Wails desktop consume the same Dist seam.,One authored UI and one generated bundle serve both hosts.,apps/desktop/frontend and apps/daemon/internal/webui must not return as independent live UI authorities.,packages/control-ui/scripts/test-contracts.mjs; scripts/checks/repo_audit.py,verified
SB-005,api-route-authority,server/internal/api/route_specs.go,b3729f7b769063b8eaf77a0d1046a6a73ae9184415feadfdd4ad0ca2a17ff664,Actual Gin registrations are route authority; the historical 60-row registry is reference evidence and live /api/routes introspects the serving router.,Published route inventory cannot claim endpoints that are not registered.,Static reference rows must never become an independent executable route authority.,src/apps/daemon/internal/adapters/api/live_routes_test.go; scripts/checks/repo_audit.py,verified
SB-006,public-error-contract,server/internal/api/errors_envelope.go,a6b8e869f3e81c00769b278b008a72daabde1cd4df21c82b3c8f851938632840,Historical shared public-error synthesis was fully retired after its daemon/scanner adapters disappeared and zero production consumers remained.,No test-only schema module remains in active source and no live route falsely claims a repository-wide error envelope.,A shared error contract may return only when at least two live adapters consume one real interface; endpoint-specific error shapes must remain truthful.,scripts/checks/validate_convergence.py; scripts/checks/check_daemon_reachability.py,statically-validated
SB-007,build-version-identity,server/main.go,e40d699af3b6c92d3273b2407e026b3342251530e7f23a581ea5f11bbfb97e7e,"One link-time buildinfo contract feeds daemon, watchdog, desktop, CLI, and HTTP version/status surfaces with deterministic commit-derived metadata.",Equivalent source builds report one version/commit/build-date identity.,Build wrappers and executables must not link or hardcode competing version variables.,packages/contracts/buildinfo/buildinfo_test.go; scripts/checks/repo_audit.py,verified
SB-008,rust-go-ffi-authority,server/internal/bridge/lumiffi.h,56118e90448e6ad74ae5f4e4c0260bbabbb0380ac54dc06dd8e0a128ddcb806a,"Rust owns implementations and Cargo owns native link requirements; Go owns one checked private lumicore_abi.h declaration surface, including packed scan layouts.",Every Go-used C export/layout is checked against live Rust and host link flags come from Cargo.,"No generated root header, cbindgen build step, hardcoded native library path, stale export, or mismatched packed layout may return.",scripts/checks/check_lumicore_abi.py; scripts/checks/test_lumicore_link.py,statically-validated
SB-009,release-orchestration,.goreleaser.yaml,e456c78a7cadbe8f51569ba97d3a3c87b81f73f406ed9278270ec7078d76f1c3,GitHub Actions is the release authority for host products plus Android AAR and linked APK; the old GoReleaser configuration is reference-only evidence.,CI/release build the product-specific dependency graph and publish the linked Android app as a first-class artifact.,A root GoReleaser authority or AAR-only Android release must not return.,scripts/checks/check_mobile_product.py; scripts/checks/repo_audit.py,statically-validated
SB-010,desktop-platform-alternates,desktop/android/README.md,6d7a47a5e6ab8704976680548cd198d33918e175fa93b6e96e589144c40b4d3a,The supported desktop root is one Wails package; unlinked platform/prototype sidecars are preserved byte-for-byte under governed desktop labs.,Platform experiments remain reconstructible without masquerading as shipped desktop runtime.,Unimported platform sidecars must not return beneath apps/desktop.,scripts/checks/check_desktop_reachability.py,verified
