record_id,parent_record_id,composition_group_id,donor,domain,value_unit,source_granularity,value_form,separability,donor_path,donor_sha256,donor_symbol,transformation,mapping_topology,disposition,decision_rationale,target_capability,target_nodes,invariant,negative_invariant,test_node,operator_surface,migration_impact,license_note,risk_tier,dependency_record_ids,evidence_confidence,validation_status,source_peer_record_ids
FO-001,n/a,config-recovery,Aether,configuration,structural config corruption quarantine preserving forensic bytes,semantic-child-below-prior-record,defensive-recovery-primitive,independently-decidable,aether/src/config.rs,a686ad604b3db036a58c5b3468a651bfcebaa15cd5670ff20d26f4d0b8784766,quarantine,clean-room adaptation and hardening,one-to-one,hardened,"The prior pass adopted Aether's private atomic write but did not promote its corrupt-state quarantine. LumiNet now adopts only the structurally-invalid JSON recovery primitive: the exact damaged bytes are moved aside collision-safely, the load still errors, and secret/provider failures are never quarantined as if they were corruption.",configuration forensic recovery,src/apps/daemon/internal/foundation/config/quarantine.go#quarantineCorruptConfig;src/apps/daemon/internal/foundation/config/config.go#Load,structurally invalid active config bytes are preserved before any later rewrite and the caller still fails closed,never quarantine on secret-store/provider failures and never overwrite older corrupt evidence,src/apps/daemon/internal/foundation/config/quarantine_test.go#TestLoadQuarantinesStructurallyCorruptConfig,config load error names quarantine path,additive recovery behavior only,provenance retained; target-native implementation,high,n/a,high,verified,SEM052
FO-002,n/a,host-capacity-envelope,Aether,performance-policy,host CPU/memory evidence as a non-amplifying concurrency ceiling,semantic-successor,resource-policy,independently-decidable,aether/src/sysprofile.rs,7a0447923cb81cf1d2b7d45c83faa4ef6cbfddb18d37a873cd062fb352e38f46,udp_socket_buf_bytes,adaptation and restriction,one-to-many,adapted,"The earlier objection was opaque hardware-driven behavior. The target-native version is only an upper envelope intersected with each owner's existing limit, so it cannot increase work. It lowers high-fanout diagnostics on constrained hosts and leaves the four-worker subscription ceiling intact.",host resource envelope,src/apps/daemon/internal/foundation/resourcebudget/resourcebudget.go#For;src/apps/daemon/internal/foundation/resourcebudget/resourcebudget.go#CapWorkers;src/apps/daemon/internal/analysis/diagnostics/sni_spoof_scan.go#runSniSpoofScanWithProbe;src/apps/daemon/internal/integrations/sub/aggregate.go#resolveInputsBounded,host-derived policy may only reduce concurrent work relative to subsystem ceilings,hardware detection never raises a subsystem ceiling or becomes a scheduler,src/apps/daemon/internal/foundation/resourcebudget/resourcebudget_test.go#TestCapWorkersIntersectsAllCeilings,n/a,runtime concurrency may reduce on constrained hosts,provenance retained; target-native policy,medium,n/a,high,verified,SEM062
FO-003,n/a,profile-source-plane,goida-vpn-configs,subscription,bounded subscription source mirrors with static admission and per-source fallback,configuration-catalog-to-native-capability,source-catalog-and-recovery-pattern,context-dependent-on-ProfileService,source/config/urls.json,33b1ff7e0323cd7fe2a39ee2a57d4f8da836bab1a639a2039ea461ee4b8d7cc0,source URL catalog,idea-to-native recomposition,many-to-one,recomposed,"The donor catalog demonstrates multiple interchangeable feed sources. LumiNet recomposes that value into ProfileService rather than importing donor URLs: one authoritative primary plus at most three deduplicated HTTPS mirrors, per-source health/backoff, and failover. Storage admission shares the egress syntax boundary; runtime still resolves public addresses before network I/O.",subscription source resilience,src/apps/daemon/internal/integrations/sub/profile_service.go#normalizeProfileMirrors;src/apps/daemon/internal/integrations/sub/profile_service.go#orderedProfileSources;src/apps/daemon/internal/integrations/sub/egress.go#ValidateProfileSourceURL;src/apps/daemon/internal/adapters/api/handlers_subscription_profiles.go#validateSubscriptionSources,primary source remains authoritative while mirrors are bounded alternatives with independent health and no unsafe egress,"no HTTP/userinfo/non-443 source storage, no TLS downgrade, no mirror promotion into authoritative primary",src/apps/daemon/internal/integrations/sub/profile_source_health_test.go#TestProfileRefreshFallsBackToMirrorAndPrefersLastGoodSource,subscription profile API mirrors/last_source_url/source_health_by_url,additive profile fields; in-memory service state only,data/pattern provenance retained; donor endpoints are not copied,high,FO-004;FO-008,high,verified,SEM039;SEM037;SEM105
FO-004,n/a,profile-source-plane,Aether,state,last successful source preference inside authoritative ProfileService,semantic-successor,recovery-ordering-primitive,context-dependent-on-ProfileService,aether/src/lastconn.rs,266ae50fdc1d4ad77fcbf6a8d07285bdec992a58c929c6a5f2843753e78be55a,LastConn,decomposition and recomposition,one-to-one,recomposed,"The donor's standalone last-connection file remains a weaker state owner. Its useful ordering primitive is extracted into ProfileService: a still-configured, backoff-eligible last successful source is tried first, while the authoritative primary field never changes.",subscription source recovery ordering,src/apps/daemon/internal/integrations/sub/profile_service.go#LastSourceURL;src/apps/daemon/internal/integrations/sub/profile_service.go#orderedProfileSources,last-good preference is advisory ordering only and must refer to a still-configured eligible source,no duplicate last-connection file and no implicit rewrite of the primary source,src/apps/daemon/internal/integrations/sub/profile_source_health_test.go#TestProfileRefreshFallsBackToMirrorAndPrefersLastGoodSource,subscription profile last_source_url,additive in-memory metadata,provenance retained; target-native implementation,medium,n/a,high,verified,SEM063
FO-005,n/a,signed-update-admission,goida-vpn-site,distribution,signed update admission separated from download/install authority,cross-donor-plane-synthesis,trust-boundary-and-dry-run-plan,independently-decidable,source/app/services/github.py,901bf688e23578e653d30d8133926e9565c8ec38341bd1fb7a64c1ef8f44566e,fetch_download_links,many-to-one synthesis with negative guardrails,many-to-one,synthesized,"The four updater/distribution families reveal a useful higher-level plane only after discovery is separated from promotion. LumiNet adds signed manifest admission using configured Ed25519 trust roots, exact current build binding, artifact identity/size/validity bounds and rollback identity, but returns a dry-run plan with apply_authorized=false. There is no downloader or installer.",signed software update admission,src/apps/daemon/internal/foundation/updateadmission/updateadmission.go#Verifier;src/apps/daemon/internal/foundation/updateadmission/updateadmission.go#Verify;src/apps/daemon/internal/adapters/api/handlers_update_admission.go#PlanSignedUpdate,only a valid trusted signature bound to the daemon actual current version can produce a bounded non-authoritative plan,"admission never downloads, installs, executes or grants apply authority; client claims cannot choose current version",src/apps/daemon/internal/foundation/updateadmission/updateadmission_test.go#TestVerifyProducesNonAuthoritativePlan,POST /api/system/update/plan,additive public trust-root config and planning endpoint,cross-donor behavior rederived target-native; no updater implementation copied,critical,n/a,high,verified,SEM006;SEM025;SEM041;SEM043;SEM088
FO-006,n/a,host-network-authority,Goida-AI-Unlocker,host-ux,read-only host-network mutation preview attached to authoritative transaction owner,semantic-successor,operator-plan-surface,context-dependent-on-host-network-owner,source/app/gui/main_window.py,3e8a843c408789ba2773703809a892f9a3faf81c07a296ae1c96e45fbac79a43,MainWindow,inspired-native derivation,one-to-many,inspired-native,"The donor status/preview workflow becomes safe only because the target already owns exact apply, snapshot, rollback and crash recovery. Preview calls the same validation/state observation owner, reports rollback/recovery properties, sets apply_authorized=false, and creates no durable mutation records.",host network change planning,src/apps/daemon/internal/platform/system/host_network.go#HostNetworkPlan;src/apps/daemon/internal/platform/system/host_network.go#PlanHostNetwork;src/apps/daemon/internal/adapters/api/handlers_host_network_plan.go#PlanHostNetwork,preview reflects owner-observed state and requested change while remaining side-effect free,"preview never acquires mutation authority, writes recovery state, or changes host DNS/proxy/NCSI/routes",src/apps/daemon/internal/platform/system/host_network_test.go#TestHostNetworkPlanCapturesDNSWithoutMutationOrStateFiles,POST /api/system/host-network/plan,additive planning endpoint,workflow insight rederived target-native,high,n/a,high,verified,SEM102;SEM021
FO-007,n/a,remote-action-authority,Aether,remote-mutation,automatic mutation retry only under target-owned replay-safety proof,semantic-successor-and-second-order-revalidation,authority-policy,standalone policy primitive,aether/src/account.rs,52e03a64005190de3bc5919618abf00b45f7a1a4f7547da92ea0410117ae4d84,send_with_retry,negative-to-guardrail synthesis,one-to-many,guardrail-derived,"Fourth-order review reconfirms the donor blind-registration loop remains unsafe while the second-order target solution is complete: per-operation classification, bounded retry, Retry-After saturation, cancellation rebinding, reconciliation before replay, and single-attempt protection.",remote HTTP mutation replay authority,src/apps/daemon/internal/foundation/remoteaction/remoteaction.go#Do;governance/convergence/remote-http-actions.csv#cloudflare.dns.create,every automatic replay is justified by idempotency or successful owner reconciliation,generic retry never grants authority to replay non-idempotent remote creation,src/apps/daemon/internal/foundation/remoteaction/remoteaction_test.go#TestReconcilePreventsDuplicateReplay,governance/convergence/remote-http-actions.csv,no new runtime change; fourth-order revalidation of live second-order owner,negative evidence retained; target-native authority,critical,n/a,high,verified,SEM055
FO-008,n/a,profile-source-plane,goida-vpn-configs,operator-errors,bounded redacted per-source failure health and backoff,semantic-successor,operator-diagnostics-and-recovery,context-dependent-on-ProfileService,source/src/network.py,926ff571611e61274806e4220aaf3d9b6789430344a7ffec130b6241819512be,_format_fetch_error,adaptation and hardening,one-to-many,hardened,"The donor concise fetch-error idea is promoted without its unsafe downloader. LumiNet records bounded/redacted errors per configured source, drives exponential eligibility backoff, and retains aggregate profile health for compatibility.",subscription source diagnostics,src/apps/daemon/internal/integrations/sub/profile_service.go#recordSourceFailure;src/apps/daemon/internal/integrations/sub/profile_service.go#boundedSourceError,each source failure retains bounded non-secret diagnostic context and independently influences eligibility,diagnostic formatting never weakens TLS/SSRF policy or exposes full credential-bearing URLs,src/apps/daemon/internal/integrations/sub/profile_source_health_test.go#TestProfileSourceHealthBackoffAndRecovery,subscription profile source_health_by_url,additive source health metadata,provenance retained; target-native implementation,medium,n/a,high,verified,SEM105
FO-009,n/a,operator-observability,defyxVPN,observability,bounded operator log viewer now superseded by target live UI,semantic-successor,product-affordance-comparison,independently-decidable,lib/modules/main/presentation/widgets/logs_widget.dart,bdf8b16a323143929d0377ae4014ae7bfd2071a326adcaa24b9c97bb8c6a3a14,LogsNotifier,comparison,one-to-one,superseded,"The former reference is no longer a gap: the live control UI already has a 500-line operational log view with refresh/clear and telemetry subscription, so importing donor UI would duplicate a stronger target owner.",operator logs,src/packages/control-ui/src/pages/Logs.tsx#MAX_LOG_LINES;src/packages/control-ui/src/pages/Logs.tsx#Logs,client log history remains bounded and non-authoritative,no duplicate donor log store or unbounded accumulation,governance/convergence/peer-validation.md#sem008,control UI Logs page,none,comparison only,low,n/a,high,statically-validated,SEM008
FO-010,n/a,bounded-line-io,Aether-GUI,resource-bounds,allocation-bounded line reader generalized from the donor partial-line bound,semantic-primitive-extraction,defensive-io-primitive,independently-decidable,src-tauri/src/aether/pty.rs,7cc64d8f81a8da415d6bf09abd0f511a4da82feecacda064eca062c3c79e899b,MAX_PARTIAL,primitive extraction and target-native generalization,one-to-many,hardened,"The donor PTY plane is still superseded, but its MAX_PARTIAL invariant exposed a smaller reusable safety primitive. LumiNet replaces unbounded line accumulation at several peer-controlled control/proxy seams with one foundation reader that enforces caller-selected byte ceilings, returns no oversized partial payload, and leaves parsing/lifecycle authority with each protocol owner.",bounded line-oriented control I/O,src/apps/daemon/internal/foundation/boundedio/line.go#ReadLine;src/apps/daemon/internal/runtime/proxy/https_connect_fragmentor.go#ResponseLineReader;src/apps/daemon/internal/platform/system/tor_controller.go#readLineLocked;src/apps/daemon/internal/platform/system/control_filter.go#handleConn,line-oriented peer input cannot allocate without a caller-defined byte ceiling while waiting for a terminator,oversized lines are never forwarded as partial payloads and callers must fail the protocol/connection path rather than resume on a desynchronized stream,src/apps/daemon/internal/foundation/boundedio/line_test.go#TestReadLineRejectsOversizeWithoutUnboundedAccumulation,n/a,oversized proxy/Tor/control lines now fail closed instead of accumulating indefinitely,behavioral invariant extracted and independently reimplemented; donor PTY code not copied,high,n/a,high,verified,SEM018
