change_id,findings_closed,invariant,dependencies,compatibility_migration,rollback_recovery,verification,effort,risk,status
R-001,F-001,Provision progress cannot block job completion or race channel closure,provision jobs,No external contract change,Remove fanout; history remains authoritative,100x race harness,small,low,Verified
R-002,F-002,Remote command diagnostics are bounded and secret-safe,SSH runner,Error strings become less verbose by design,No persisted migration,100x race harness + vet,small,low,Verified
R-003,F-003,Engine replacement is transactional with restore on failed replacement,runtimecore adapters,Public Start/Stop interface preserved,Rollback reconstructs previous request,100x race harness,medium,medium,Verified
R-004,F-004,Durable config mutations require revision CAS,HTTP config mutation adapter,Internal interface narrowed; no production caller migration,Existing revision model is rollback path,static consumer audit + governance,small,low,Implemented
R-005,F-005;F-013,Proven-dead privileged/shallow modules do not remain latent authorities,topology ledger,No consumers,Restore only by explicit future design,topology/declaration checks,small,low,Verified
R-006,F-006,Internal DNS interface exposes only behavior with real consumers,DNS callers/tests,Internal interface narrowed,Reintroduce only with evidence and tests,consumer audit + declaration checker,medium,low,Implemented
R-007,F-007;F-008;F-014,Active Go selections are syntax-clean and free of duplicate top-level declarations,stdlib Go parser/build matcher,No product behavior change,Checker is additive,cross-platform checker + 100x package harnesses,medium,low,Verified
R-008,F-009;F-010;F-011,Relay live transport authenticates TLS and has race-safe/correct retry buffering,relay adapters,Rejects previously accepted invalid certs,Normal PKI trust; no persisted migration,100x race/TLS/rollback harnesses,medium,medium,Verified
R-009,F-012,WebTunnel uses canonical relay adapter and explicit PKI-or-pin trust,runtime proxy + relay adapter,Trust semantics intentionally harden unpinned TLS,Pin remains supported for private/self-signed endpoints,100x race TLS harness + vet,medium,medium,Verified
R-015,F-015,Every live SSH session authenticates server identity,provisioning + runtime SSH,Requires request/config migration and operator trust material,Must support rotation/mismatch recovery,future negative/rotation tests,medium,medium,Design first
R-016,F-016,Privileged bootstrap executes only pinned/verified installation material,provisioning supported-host policy,May narrow supported unmanaged hosts,Document package/digest rollback,future provisioning integration tests,medium,medium,Design first
R-017,F-017,Rust FFI keeps unchanged C ABI while input ownership/errors are explicit and unsafe surface localized,Cargo/ABI/CGO,No exported symbol/layout change,Revert internal implementation if ABI verification fails,Cargo fmt/clippy/test/Miri + Go ABI/CGO,medium,medium,Blocked
R-018,F-018,Relay net.Conn seam honors deadline/cancellation and bounded queue semantics,relay polling protocol,Behavioral contract change,Protocol-level backpressure/timeout recovery required,future model/negative tests,medium,medium,Design first
