donor,path,direct_surface_count,recursive_surface_count,semantic_record_ids,resolution,notes
Auto_Tor_IP_changer-master(1).zip,Auto_Tor_IP_changer-master,3,3,S6-001;S6-026,resolved-by-descendant-surfaces,Every descendant file is separately hashed and linked; this directory row summarizes exact descendant accountability.
OrbotIPtProxy-master.zip,OrbotIPtProxy-master,8,10,S6-008;S6-007,resolved-by-descendant-surfaces,Every descendant file is separately hashed and linked; this directory row summarizes exact descendant accountability.
OrbotIPtProxy-master.zip,OrbotIPtProxy-master/OrbotTun.go,2,2,S6-008;S6-007,resolved-by-descendant-surfaces,Every descendant file is separately hashed and linked; this directory row summarizes exact descendant accountability.
PowerShell-VPNGate-main.zip,PowerShell-VPNGate-main,3,3,S6-006,resolved-by-descendant-surfaces,Every descendant file is separately hashed and linked; this directory row summarizes exact descendant accountability.
RKh-SNI-Spoofing-main(1).zip,RKh-SNI-Spoofing-main,3,3,S6-004;S6-005,resolved-by-descendant-surfaces,Every descendant file is separately hashed and linked; this directory row summarizes exact descendant accountability.
VUMP-limited-master.zip,VUMP-limited-master,3,4,S6-017,resolved-by-descendant-surfaces,Every descendant file is separately hashed and linked; this directory row summarizes exact descendant accountability.
VUMP-limited-master.zip,VUMP-limited-master/.github,1,1,S6-017,resolved-by-descendant-surfaces,Every descendant file is separately hashed and linked; this directory row summarizes exact descendant accountability.
abstract-tls-master.zip,abstract-tls-master,1,4,S6-025,resolved-by-descendant-surfaces,Every descendant file is separately hashed and linked; this directory row summarizes exact descendant accountability.
abstract-tls-master.zip,abstract-tls-master/bug,1,1,S6-025,resolved-by-descendant-surfaces,Every descendant file is separately hashed and linked; this directory row summarizes exact descendant accountability.
abstract-tls-master.zip,abstract-tls-master/lib,2,2,S6-025,resolved-by-descendant-surfaces,Every descendant file is separately hashed and linked; this directory row summarizes exact descendant accountability.
ahmia-crawler-master.zip,ahmia-crawler-master,7,24,S6-002;S6-003;S6-027,resolved-by-descendant-surfaces,Every descendant file is separately hashed and linked; this directory row summarizes exact descendant accountability.
ahmia-crawler-master.zip,ahmia-crawler-master/ahmia,2,10,S6-002;S6-003;S6-027,resolved-by-descendant-surfaces,Every descendant file is separately hashed and linked; this directory row summarizes exact descendant accountability.
ahmia-crawler-master.zip,ahmia-crawler-master/ahmia/ahmia,6,8,S6-002;S6-003;S6-027,resolved-by-descendant-surfaces,Every descendant file is separately hashed and linked; this directory row summarizes exact descendant accountability.
ahmia-crawler-master.zip,ahmia-crawler-master/ahmia/ahmia/spiders,2,2,S6-002;S6-003;S6-027,resolved-by-descendant-surfaces,Every descendant file is separately hashed and linked; this directory row summarizes exact descendant accountability.
ahmia-crawler-master.zip,ahmia-crawler-master/torfleet,6,7,S6-027;S6-002,resolved-by-descendant-surfaces,Every descendant file is separately hashed and linked; this directory row summarizes exact descendant accountability.
ahmia-crawler-master.zip,ahmia-crawler-master/torfleet/privoxy_configs,1,1,S6-027,resolved-by-descendant-surfaces,Every descendant file is separately hashed and linked; this directory row summarizes exact descendant accountability.
awesome-anti-censorship-master(1).zip,awesome-anti-censorship-master,2,2,S6-012,resolved-by-descendant-surfaces,Every descendant file is separately hashed and linked; this directory row summarizes exact descendant accountability.
awesome-privacy-master.zip,awesome-privacy-master,4,4,S6-013,resolved-by-descendant-surfaces,Every descendant file is separately hashed and linked; this directory row summarizes exact descendant accountability.
awesome-tor-master.zip,awesome-tor-master,3,3,S6-014,resolved-by-descendant-surfaces,Every descendant file is separately hashed and linked; this directory row summarizes exact descendant accountability.
g2rayXHTTPS-master.zip,g2rayXHTTPS-master,1,6,S6-009,resolved-by-descendant-surfaces,Every descendant file is separately hashed and linked; this directory row summarizes exact descendant accountability.
g2rayXHTTPS-master.zip,g2rayXHTTPS-master/.devcontainer,4,4,S6-009,resolved-by-descendant-surfaces,Every descendant file is separately hashed and linked; this directory row summarizes exact descendant accountability.
g2rayXHTTPS-master.zip,g2rayXHTTPS-master/docs,1,1,S6-009,resolved-by-descendant-surfaces,Every descendant file is separately hashed and linked; this directory row summarizes exact descendant accountability.
nahan-main.zip,nahan-main,6,6,S6-011;S6-028;S6-010,resolved-by-descendant-surfaces,Every descendant file is separately hashed and linked; this directory row summarizes exact descendant accountability.
node-bot-master.zip,node-bot-master,3,5,S6-024,resolved-by-descendant-surfaces,Every descendant file is separately hashed and linked; this directory row summarizes exact descendant accountability.
node-bot-master.zip,node-bot-master/lib,1,1,S6-024,resolved-by-descendant-surfaces,Every descendant file is separately hashed and linked; this directory row summarizes exact descendant accountability.
node-bot-master.zip,node-bot-master/test,1,1,S6-024,resolved-by-descendant-surfaces,Every descendant file is separately hashed and linked; this directory row summarizes exact descendant accountability.
node-dom-master.zip,node-dom-master,3,14,S6-021;S6-020,resolved-by-descendant-surfaces,Every descendant file is separately hashed and linked; this directory row summarizes exact descendant accountability.
node-dom-master.zip,node-dom-master/lib,1,10,S6-020;S6-021,resolved-by-descendant-surfaces,Every descendant file is separately hashed and linked; this directory row summarizes exact descendant accountability.
node-dom-master.zip,node-dom-master/lib/browser,6,6,S6-020;S6-021,resolved-by-descendant-surfaces,Every descendant file is separately hashed and linked; this directory row summarizes exact descendant accountability.
node-dom-master.zip,node-dom-master/lib/ew,1,1,S6-021,resolved-by-descendant-surfaces,Every descendant file is separately hashed and linked; this directory row summarizes exact descendant accountability.
node-dom-master.zip,node-dom-master/lib/language,1,1,S6-021,resolved-by-descendant-surfaces,Every descendant file is separately hashed and linked; this directory row summarizes exact descendant accountability.
node-dom-master.zip,node-dom-master/lib/proxy,1,1,S6-021,resolved-by-descendant-surfaces,Every descendant file is separately hashed and linked; this directory row summarizes exact descendant accountability.
node-dom-master.zip,node-dom-master/test,1,1,S6-021,resolved-by-descendant-surfaces,Every descendant file is separately hashed and linked; this directory row summarizes exact descendant accountability.
node-gadgets-master.zip,node-gadgets-master,3,5,S6-023;S6-022,resolved-by-descendant-surfaces,Every descendant file is separately hashed and linked; this directory row summarizes exact descendant accountability.
